id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000004e2,body,1255,199,1562,433,000004c0,ボブ,,42
000004e3,body,1239,870,1273,975,00000473,ルシィ,,42
000004e4,text,907,731,1009,893,,,"大丈夫よ
いじめたりしないから
リハビリのつもりなんだ",42
000004e5,face,958,481,1102,617,000004c0,ボブ,,42
000004e6,body,923,460,1118,643,000004c0,ボブ,,42
000004e7,body,968,152,1077,435,000004c0,ボブ,,42
000004e8,face,1007,171,1043,209,000004c0,ボブ,,42
000004e9,text,1045,990,1144,1085,,,だって何を教えろっての！？,42
000004ea,body,1402,114,1564,431,00000473,ルシィ,,42
000004eb,text,330,587,344,618,,,来た,42
000004ec,face,1107,224,1143,264,00000473,ルシィ,,42
000004ed,frame,1133,458,1562,647,,,,42
000004ee,text,1050,107,1064,148,,,ヘへっ,42
000004ef,text,1502,461,1545,538,,,ああそれそれ,42
000004f0,text,1057,743,1096,813,,,冗談じゃないよ！,42
000004f1,frame,901,458,1120,645,,,,42
000004f2,text,887,468,966,629,,,ゲッ,42
000004f3,frame,82,566,407,1089,,,,42
000004f4,body,1052,209,1184,433,00000473,ルシィ,,42
000004f5,body,1300,466,1511,655,00000473,ルシィ,,42
000004f6,text,116,624,157,754,,,"時間どおり
ピッ",42
000004f7,text,1240,462,1330,600,,,"今日から４週間よろしくね
先生っ",42
000004f8,text,916,251,951,297,,,ルシィは？,42
000004f9,text,1273,102,1378,177,,,ルシィ！もう飛べるのかい？,42
000004fa,text,1164,375,1194,407,,,なまいきっ,42
000004fb,body,1278,868,1310,976,000004c0,ボブ,,42
000004fc,frame,3,95,825,551,,,,42
000004fd,text,640,631,707,820,,,"ロードリーダーより各機へ
ツビッ",42
000004fe,face,1420,161,1481,220,00000473,ルシィ,,42
000004ff,face,1355,521,1436,584,00000473,ルシィ,,42
00000500,text,908,103,993,212,,,教官としちゃこっちも新米だけどね…,42
00000501,text,1517,100,1556,166,,,元気してた？,42
00000502,text,438,805,525,919,,,そろそろＶＡ1205中隊との合流ポイントだ,42
00000503,text,530,990,556,1030,,,ザッ,42
00000504,frame,390,568,748,1093,,,,42
00000505,body,1135,454,1247,649,000004c0,ボブ,,42
00000506,face,1300,220,1361,289,000004c0,ボブ,,42
00000507,face,1143,476,1216,561,000004c0,ボブ,,42
00000508,text,1398,242,1432,294,,,バッチリよっ！,42
00000509,frame,1243,95,1560,437,,,,42
0000050a,frame,901,97,1237,433,,,,42
0000050b,frame,901,668,1560,1089,,,,42
0000050c,text,1137,102,1223,192,,,新人の初級訓練教官やってるんだって？,42
0000050d,text,1390,691,1477,762,,,評価Ａのきみに評価Ｂのぼくが！？,42
