id,type,xmin,ymin,xmax,ymax,text_content,page_number
00000644,text,620,147,709,227,"ピッ
こちらストライクリーダー",54
00000645,text,1394,784,1451,843,"ザッ
確認",54
00000646,frame,5,468,823,1095,,54
00000647,text,1385,556,1418,618,コマンドファーム,54
00000648,frame,833,4,1647,586,,54
00000649,text,186,431,249,551,"オーバー！
ザッ",54
0000064a,frame,835,603,1649,831,,54
0000064b,frame,827,854,1653,1092,,54
0000064c,text,1459,614,1539,678,ＴＦＷ744ＴＦＷ197全機発進完了,54
0000064d,text,556,266,667,380,"全機っ
散開の後各個に作戦を遂行せよ",54
0000064e,frame,88,2,756,444,,54
0000064f,text,1038,831,1151,997,"ツピッ
これよりリエントリーシークエンスにはいる",54
