id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00000708,text,703,531,717,574,ＯＫっ,,,60
00000709,text,478,302,490,345,ビーッ,,,60
0000070a,body,1316,849,1564,1096,,00000657,タイロン,60
0000070b,frame,903,595,1566,834,,,,60
0000070c,text,1001,866,1014,926,！,,,60
0000070d,text,421,99,539,202,"敵か！？
ロツクオンされてる！",,,60
0000070e,text,539,931,555,981,ピーッ,,,60
0000070f,body,248,749,747,918,,00000661,エリン,60
00000710,text,487,728,523,776,大丈夫なの！？,,,60
00000711,text,987,1063,1000,1106,ビーッ,,,60
00000712,text,250,825,272,877,ピーッ,,,60
00000713,text,686,806,702,911,タイロン！？,,,60
00000714,text,147,1033,167,1087,ピーッ,,,60
00000715,face,577,156,693,261,,00000657,タイロン,60
00000716,face,499,323,723,500,,00000661,エリン,60
00000717,face,1157,865,1234,997,,00000657,タイロン,60
00000718,face,313,953,574,1098,,00000657,タイロン,60
00000719,frame,483,96,752,316,,,,60
0000071a,text,615,552,672,633,一撃で決めてやる！！,,,60
0000071b,body,475,312,735,506,,00000661,エリン,60
0000071c,body,277,928,706,1098,,00000657,タイロン,60
0000071d,frame,481,299,751,504,,,,60
0000071e,text,1034,1006,1045,1048,ビーッ,,,60
0000071f,body,529,100,749,317,,00000657,タイロン,60
00000720,text,140,650,152,694,ビーッ,,,60
00000721,text,237,934,273,1014,そんなのわかんねぇ,,,60
00000722,text,508,229,520,272,ビーッ,,,60
00000723,text,211,770,223,814,ビーッ,,,60
00000724,face,1433,876,1515,941,,00000657,タイロン,60
00000725,frame,85,523,748,728,,,,60
00000726,text,1003,172,1029,248,うわっ,,,60
00000727,frame,5,2,469,500,,,,60
00000728,frame,86,750,750,936,,,,60
00000729,frame,85,918,753,1098,,,,60
0000072a,text,727,335,742,399,どこ！？,,,60
0000072b,text,653,935,669,1018,タイロン！,,,60
0000072c,text,429,479,452,526,ピーッ,,,60
0000072d,text,685,108,745,166,警報！,,,60
0000072e,frame,834,1,1646,665,,,,60
0000072f,frame,902,853,1569,1097,,,,60
00000730,face,345,749,589,917,,00000661,エリン,60
00000731,body,1106,849,1311,1094,,00000657,タイロン,60
00000732,text,106,129,161,194,こいつの向う側だ！,,,60
00000733,text,1298,846,1350,974,"ぬけたっ
敵は？",,,60
00000734,text,642,73,655,118,ビーッ,,,60
