id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00000c11,body,937,810,1128,1169,00000a20,成島一行,,14
00000c12,text,291,101,309,192,,,見てたのか,14
00000c13,body,487,872,702,1118,0000097b,藤田歩,,14
00000c14,face,323,472,398,597,0000097b,藤田歩,,14
00000c15,body,1381,762,1623,1162,00000a20,成島一行,,14
00000c16,text,175,94,210,129,,,"う
うん",14
00000c17,body,1269,767,1494,1123,00000a20,成島一行,,14
00000c18,face,988,852,1031,887,00000a20,成島一行,,14
00000c19,text,1572,137,1594,376,,,あ～っ,14
00000c1a,body,1162,805,1345,1081,0000097b,藤田歩,,14
00000c1b,text,106,188,122,296,,,ごめんなさい,14
00000c1c,frame,184,767,482,1118,,,,14
00000c1d,face,1299,840,1381,911,00000a20,成島一行,,14
00000c1e,text,553,788,614,899,,,あたしったら昼あんな……,14
00000c1f,frame,68,771,178,1118,,,,14
00000c20,face,175,226,250,297,0000097b,藤田歩,,14
00000c21,text,146,798,161,849,,,いいよ,14
00000c22,frame,487,769,759,1118,,,,14
00000c23,body,455,106,622,359,00000a20,成島一行,,14
00000c24,face,1226,846,1263,885,0000097b,藤田歩,,14
00000c25,body,573,181,738,361,0000097b,藤田歩,,14
00000c26,text,1196,91,1358,379,,,もーーいやだっ‼こんな生活っ‼,14
00000c27,face,1410,807,1443,848,00000a20,成島一行,,14
00000c28,text,686,785,703,839,,,あの…,14
00000c29,body,89,151,276,359,0000097b,藤田歩,,14
00000c2a,text,392,780,475,871,,,あんなひどいこといっちゃって……,14
00000c2b,body,62,343,454,769,0000097b,藤田歩,,14
00000c2c,face,543,149,571,180,00000a20,成島一行,,14
00000c2d,body,229,940,320,1120,00000a20,成島一行,,14
00000c2e,frame,72,91,331,359,,,,14
00000c2f,body,336,963,405,1100,0000097b,藤田歩,,14
00000c30,text,1010,593,1062,704,,,あ…歩ちゃん!?,14
00000c31,face,577,948,650,1038,0000097b,藤田歩,,14
00000c32,face,672,204,709,243,0000097b,藤田歩,,14
00000c33,body,1452,292,1525,494,00000a20,成島一行,,14
00000c34,face,366,151,439,244,00000a20,成島一行,,14
00000c35,frame,898,0,1418,529,,,,14
00000c36,frame,1220,540,1625,1165,,,,14
00000c37,frame,1187,542,1515,1165,,,,14
00000c38,frame,898,538,1372,1165,,,,14
00000c39,body,380,375,738,763,00000a20,成島一行,,14
00000c3a,face,532,478,635,588,00000a20,成島一行,,14
00000c3b,body,342,91,447,337,00000a20,成島一行,,14
00000c3c,frame,455,91,759,361,,,,14
00000c3d,text,649,84,761,173,,,きゅ…急に大声出さないでください…,14
00000c3e,text,97,954,138,1084,,,本当のことなんだから,14
00000c3f,face,1472,309,1503,344,00000a20,成島一行,,14
00000c40,frame,334,87,444,359,,,,14
00000c41,frame,66,360,756,756,,,,14
00000c42,frame,1428,0,1625,525,,,,14
00000c43,body,892,234,1143,528,00000a20,成島一行,,14
