id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00000e91,frame,915,718,1600,1110,,,,27
00000e92,frame,342,0,490,544,,,,27
00000e93,frame,32,549,762,702,,,,27
00000e94,text,233,581,249,676,そうでしょ？,,,27
00000e95,text,124,98,194,221,また恋をすればいいんだから,,,27
00000e96,text,1069,92,1143,204,急に太ったみたいですね,,,27
00000e97,body,1266,166,1397,370,,00000e0e,おじいさん,27
00000e98,face,190,318,263,419,,0000097b,藤田歩,27
00000e99,body,162,204,338,540,,0000097b,藤田歩,27
00000e9a,face,1292,450,1350,525,,00000e0e,おじいさん,27
00000e9b,frame,913,377,1596,660,,,,27
00000e9c,face,669,117,695,147,,00000d89,Other,27
00000e9d,face,1512,429,1549,489,,0000097b,藤田歩,27
00000e9e,body,594,277,685,515,,0000097b,藤田歩,27
00000e9f,text,511,99,587,193,大丈夫‼大丈夫よね成島さん,,,27
00000ea0,body,627,168,673,228,,00000d89,Other,27
00000ea1,frame,34,86,345,540,,,,27
00000ea2,body,672,112,760,232,,00000d89,Other,27
00000ea3,face,607,317,638,339,,0000097b,藤田歩,27
00000ea4,body,1245,431,1361,624,,00000e0e,おじいさん,27
00000ea5,face,1204,474,1260,535,,00000df5,おばあさん,27
00000ea6,body,1230,377,1594,658,,0000097b,藤田歩,27
00000ea7,text,269,106,288,163,そうよ,,,27
00000ea8,face,1301,202,1359,271,,00000e0e,おじいさん,27
00000ea9,face,1192,208,1252,277,,00000df5,おばあさん,27
00000eaa,frame,909,86,1596,371,,,,27
00000eab,frame,492,87,760,543,,,,27
00000eac,text,1117,472,1164,523,また出てくの？,,,27
00000ead,text,1461,91,1564,202,どうしたんだ重夫のやつさっきまでやつれていたのに,,,27
00000eae,body,1157,457,1275,656,,00000df5,おばあさん,27
00000eaf,body,1161,187,1292,371,,00000df5,おばあさん,27
00000eb0,frame,23,703,764,1164,,,,27
00000eb1,text,397,130,446,242,失恋したって大丈夫‼,,,27
00000eb2,face,635,178,655,202,,00000d89,Other,27
00000eb3,text,529,570,620,670,誰かほかの人を好きになればいいんだから,,,27
00000eb4,body,261,673,664,1169,,0000097b,藤田歩,27
00000eb5,face,331,884,509,1021,,0000097b,藤田歩,27
