id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00002087,body,186,496,314,599,00001dcf,黒蛭丸,,20
00002088,text,91,891,131,949,,,ノロいノロい,20
00002089,text,85,489,128,581,,,この…黒蛭丸を…？,20
0000208a,body,1278,97,1509,332,00001d7b,裂鬼助,,20
0000208b,text,671,345,689,403,,,く…,20
0000208c,face,625,136,693,193,00001dcf,黒蛭丸,,20
0000208d,text,942,212,974,290,,,は…,20
0000208e,body,68,0,311,374,00001d7b,裂鬼助,,20
0000208f,frame,382,2,572,592,,,,20
00002090,text,1453,1014,1500,1072,,,!?,20
00002091,text,69,991,89,1069,,,………,20
00002092,face,513,848,630,957,00001dcf,黒蛭丸,,20
00002093,body,924,341,1155,659,00001dcf,黒蛭丸,,20
00002094,face,939,95,1118,270,00001d98,山本青葉,,20
00002095,body,922,817,1091,953,00001d7b,裂鬼助,,20
00002096,frame,47,613,472,1169,,,,20
00002097,body,484,620,709,1025,00001dcf,黒蛭丸,,20
00002098,text,940,497,997,585,,,速…,20
00002099,face,1172,813,1234,860,00001dcf,黒蛭丸,,20
0000209a,frame,1377,642,1607,1169,,,,20
0000209b,text,1117,236,1247,422,,,!!?,20
0000209c,text,78,351,115,409,,,!?,20
0000209d,text,657,626,701,803,,,真っ二つにしてやるアアッ!!!,20
0000209e,body,918,0,1130,331,00001d98,山本青葉,,20
0000209f,text,512,109,546,199,,,こ…この…このっ…,20
000020a0,body,1189,438,1588,620,00001dcf,黒蛭丸,,20
000020a1,body,56,769,122,841,00001d7b,裂鬼助,,20
000020a2,face,1325,250,1449,301,00001d7b,裂鬼助,,20
000020a3,frame,483,611,727,1169,,,,20
000020a4,body,1135,658,1420,1156,00001dcf,黒蛭丸,,20
000020a5,frame,1110,0,1596,642,,,,20
000020a6,text,371,630,437,804,,,かああああああっ!!!,20
000020a7,frame,49,445,368,592,,,,20
000020a8,frame,918,0,1121,337,,,,20
000020a9,text,1327,672,1393,972,,,ぐ…あああらァア！,20
000020aa,body,226,730,393,879,00001dcf,黒蛭丸,,20
000020ab,text,264,109,345,393,,,強さを見かけで計る　まあ下級刀魔に多い傾向だな…,20
000020ac,text,325,464,357,531,,,…下級だと…？,20
000020ad,face,991,391,1123,542,00001dcf,黒蛭丸,,20
000020ae,frame,580,0,727,592,,,,20
000020af,face,75,99,244,214,00001d7b,裂鬼助,,20
000020b0,frame,920,654,1417,1167,,,,20
000020b1,frame,40,977,282,1103,,,,20
000020b2,text,424,422,449,580,,,クソガキが…,20
000020b3,text,640,450,706,582,,,なんて重い打撃…!!,20
000020b4,body,583,31,725,478,00001dcf,黒蛭丸,,20
000020b5,frame,60,2,369,427,,,,20
000020b6,frame,920,316,1157,657,,,,20
