id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00002c91,text,661,337,681,469,ほら乗れっ！,,,89
00002c92,face,1054,812,1247,928,,00002912,須磨一成,89
00002c93,text,1224,489,1247,612,すごいよっ！,,,89
00002c94,face,532,197,575,219,,00002918,柏木晶吉,89
00002c95,face,923,561,1064,698,,00002918,柏木晶吉,89
00002c96,frame,1395,1,1606,416,,,,89
00002c97,frame,447,1,742,259,,,,89
00002c98,frame,921,3,1386,459,,,,89
00002c99,frame,49,3,196,259,,,,89
00002c9a,text,1050,533,1083,624,……一成君…？,,,89
00002c9b,body,923,480,1066,696,,00002918,柏木晶吉,89
00002c9c,face,678,870,738,919,,00002918,柏木晶吉,89
00002c9d,face,1397,41,1600,365,,00002987,谷尾周,89
00002c9e,text,1347,497,1367,563,すごいっ,,,89
00002c9f,frame,50,1073,363,1107,,,,89
00002ca0,frame,199,5,492,259,,,,89
00002ca1,face,50,577,342,857,,00002987,谷尾周,89
00002ca2,frame,53,1011,368,1052,,,,89
00002ca3,text,678,96,724,219,…何でもねェよっ…！,,,89
00002ca4,body,543,355,698,500,,00001d44,Other,89
00002ca5,frame,917,718,1386,1166,,,,89
00002ca6,frame,49,279,740,552,,,,89
00002ca7,face,1232,634,1358,707,,00002918,柏木晶吉,89
00002ca8,text,67,348,100,531,!? 何がおかしい!?,,,89
00002ca9,face,607,829,696,885,,00002912,須磨一成,89
00002caa,face,233,935,322,984,,00002912,須磨一成,89
00002cab,frame,51,900,365,989,,,,89
00002cac,text,637,621,663,742,…憧れの…,,,89
00002cad,body,1179,577,1382,699,,00002918,柏木晶吉,89
00002cae,frame,1069,481,1391,702,,,,89
00002caf,frame,919,481,1062,700,,,,89
00002cb0,face,580,413,642,458,,00001d44,Other,89
00002cb1,text,292,587,375,727,「正義の忍」がこんなんで…悪かったね…,,,89
00002cb2,body,318,336,544,529,,00002987,谷尾周,89
00002cb3,body,1029,664,1286,1168,,00002912,須磨一成,89
00002cb4,body,578,779,698,1169,,00002912,須磨一成,89
00002cb5,body,528,176,588,259,,00002918,柏木晶吉,89
00002cb6,body,1071,486,1183,702,,00002912,須磨一成,89
00002cb7,frame,51,578,363,880,,,,89
00002cb8,body,676,833,738,1167,,00002918,柏木晶吉,89
00002cb9,body,138,311,354,552,,00001d44,Other,89
00002cba,body,225,901,333,990,,00002912,須磨一成,89
00002cbb,body,1145,253,1238,388,,00002912,須磨一成,89
00002cbc,frame,372,570,736,1166,,,,89
00002cbd,body,1401,0,1600,369,,00002987,谷尾周,89
00002cbe,text,941,279,970,445,っ…一成君っ…,,,89
00002cbf,text,1324,253,1355,346,………,,,89
00002cc0,body,922,4,1121,248,,00002987,谷尾周,89
00002cc1,text,156,348,236,439,くっはははは,,,89
00002cc2,body,1236,131,1304,202,,00002918,柏木晶吉,89
00002cc3,text,443,105,494,196,どっか…痛いの…？,,,89
00002cc4,body,1401,760,1598,1030,,00002912,須磨一成,89
00002cc5,text,326,155,364,243,何でもねェよっ!!,,,89
00002cc6,body,50,575,365,882,,00002987,谷尾周,89
00002cc7,body,375,646,665,1167,,00002987,谷尾周,89
00002cc8,face,237,378,324,436,,00001d44,Other,89
00002cc9,text,526,971,562,1036,チャリ…,,,89
00002cca,body,581,130,678,260,,00002912,須磨一成,89
00002ccb,frame,1395,405,1608,1169,,,,89
00002ccc,face,395,640,561,835,,00002987,谷尾周,89
