id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00002f1d,face,1308,696,1381,743,00002d05,梢つつじ,,10
00002f1e,text,1511,861,1559,988,,,"そんな物で懐柔
されるかっ！",10
00002f1f,face,207,673,309,754,00002d05,梢つつじ,,10
00002f20,text,366,871,393,971,,,１４歳ーーー,10
00002f21,frame,1245,846,1564,1091,,,,10
00002f22,body,1443,237,1518,299,00002d03,ハムル・キンスキー２世,,10
00002f23,face,205,1041,244,1072,00002d03,ハムル・キンスキー２世,,10
00002f24,body,1412,447,1546,564,00002d03,ハムル・キンスキー２世,,10
00002f25,body,890,220,980,301,00002d03,ハムル・キンスキー２世,,10
00002f26,face,969,633,997,659,00002f27,Other,,10
00002f28,body,488,222,571,301,00002d03,ハムル・キンスキー２世,,10
00002f29,body,968,629,1017,697,00002f27,Other,,10
00002f2a,frame,87,327,404,568,,,,10
00002f2b,text,1258,857,1309,965,,,"・・・・今一瞬
迷ってたな・・",10
00002f2c,face,1418,981,1481,1033,00002d03,ハムル・キンスキー２世,,10
00002f2d,body,553,696,725,829,00002d03,ハムル・キンスキー２世,,10
00002f2e,text,706,597,755,701,,,"その上　我は
大悪魔",10
00002f2f,face,494,234,548,267,00002d03,ハムル・キンスキー２世,,10
00002f30,body,225,871,394,1089,00002d05,梢つつじ,,10
00002f31,body,1412,707,1533,824,00002d03,ハムル・キンスキー２世,,10
00002f32,text,1163,71,1180,196,,,行ってきまーす,10
00002f33,text,97,878,136,955,,,黒魔術,10
00002f34,face,205,412,309,490,00002d05,梢つつじ,,10
00002f35,face,469,1002,533,1066,00002d05,梢つつじ,,10
00002f36,face,931,650,953,672,00002f27,Other,,10
00002f37,face,1059,156,1111,197,00002d05,梢つつじ,,10
00002f38,text,364,349,389,450,,,１２歳ーーー,10
00002f39,frame,889,323,1206,566,,,,10
00002f3a,text,991,2,1097,51,,,情報元,10
00002f3b,body,1257,958,1391,1087,00002d05,梢つつじ,,10
00002f3c,text,365,615,393,717,,,１３歳ーーー,10
00002f3d,body,1275,660,1400,825,00002d05,梢つつじ,,10
00002f3e,body,445,964,547,1093,00002d05,梢つつじ,,10
00002f3f,text,1257,72,1322,162,,,"いいかげん
私の望み
かなえてよ",10
00002f40,text,1263,331,1309,453,,,"ヒマワリの種
あげるからさァ",10
00002f41,text,517,18,694,52,,,なんとなく,10
00002f42,text,461,600,511,706,,,"無敵と
言ってもいい",10
00002f43,body,1065,732,1152,821,00002d03,ハムル・キンスキー２世,,10
00002f44,text,709,340,755,447,,,"悪魔に弱点は
ない",10
00002f45,text,467,861,490,948,,,苦手なのか,10
00002f46,frame,887,58,1202,301,,,,10
00002f47,body,170,627,346,826,00002d05,梢つつじ,,10
00002f48,frame,1247,58,1564,301,,,,10
00002f49,face,1417,475,1459,529,00002d03,ハムル・キンスキー２世,,10
00002f4a,face,610,180,659,233,00002d05,梢つつじ,,10
00002f4b,body,1414,972,1508,1072,00002d03,ハムル・キンスキー２世,,10
00002f4c,body,926,639,961,705,00002f27,Other,,10
00002f4d,body,920,922,1073,1089,00002d05,梢つつじ,,10
00002f4e,face,213,156,311,230,00002d05,梢つつじ,,10
00002f4f,frame,88,60,403,305,,,,10
00002f50,face,1449,246,1488,279,00002d03,ハムル・キンスキー２世,,10
00002f51,frame,447,848,766,1095,,,,10
00002f52,text,1159,335,1178,424,,,さて・・と,10
00002f53,body,598,142,732,303,00002d05,梢つつじ,,10
