id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00003ed8,text,678,864,739,991,"どーやって
公衆電話　使った
んだろ・・・・",,,69
00003ed9,text,438,344,566,558,"公衆電話からだ！
今　人間界の曙商店の
アジサイにいる
来い!!",,,69
00003eda,body,512,927,558,980,,00002d03,ハムル・キンスキー２世,69
00003edb,text,899,356,999,527,"今　魔界ゲートだ
本来　貴様が私の下に
喜んで馳せ参じる
べきなのだ",,,69
00003edc,text,332,346,374,446,"エスカさん
ですかーー",,,69
00003edd,body,1252,458,1328,569,,00002d05,梢つつじ,69
00003ede,face,267,397,312,435,,00002d03,ハムル・キンスキー２世,69
00003edf,frame,890,851,1208,1096,,,,69
00003ee0,body,258,381,316,454,,00002d03,ハムル・キンスキー２世,69
00003ee1,text,544,9,637,53,不思議,,,69
00003ee2,frame,890,327,1208,570,,,,69
00003ee3,body,1269,365,1331,436,,00002d03,ハムル・キンスキー２世,69
00003ee4,face,1384,637,1447,680,,00002d05,梢つつじ,69
00003ee5,body,635,470,701,567,,00002d03,ハムル・キンスキー２世,69
00003ee6,body,233,255,290,304,,00002d03,ハムル・キンスキー２世,69
00003ee7,text,941,12,1160,56,エスカとゆー奴,,,69
00003ee8,body,1042,955,1130,1023,,00002d03,ハムル・キンスキー２世,69
00003ee9,body,428,170,540,307,,00002d03,ハムル・キンスキー２世,69
00003eea,text,1351,25,1471,54,そーいや,,,69
00003eeb,face,1037,718,1078,763,,00002d03,ハムル・キンスキー２世,69
00003eec,text,1165,613,1193,731,１週間後ーー,,,69
00003eed,face,638,493,657,536,,00002d03,ハムル・キンスキー２世,69
00003eee,frame,890,589,1209,832,,,,69
00003eef,body,210,919,274,977,,00003ef0,エスカ・ゴルス,69
00003ef1,face,1073,182,1137,229,,00002d03,ハムル・キンスキー２世,69
00003ef2,body,1049,153,1154,272,,00002d03,ハムル・キンスキー２世,69
00003ef3,text,1256,874,1304,939,遅っ,,,69
00003ef4,text,691,343,741,467,"どーやって我に
曜話を・・・・",,,69
00003ef5,text,689,616,740,737,"しょーがない
行くか",,,69
00003ef6,face,1289,791,1323,814,,00002d03,ハムル・キンスキー２世,69
00003ef7,body,302,450,383,568,,00002d05,梢つつじ,69
00003ef8,text,1538,82,1564,184,負けた・・・・,,,69
00003ef9,face,1317,232,1374,272,,0000349e,夢野アキラ,69
00003efa,frame,1252,589,1573,831,,,,69
00003efb,frame,428,60,751,307,,,,69
00003efc,frame,67,326,387,569,,,,69
00003efd,body,568,907,663,1086,,00002d05,梢つつじ,69
00003efe,body,1365,129,1560,304,,00003e80,キョンキョン,69
00003eff,body,1356,105,1406,163,,00002d03,ハムル・キンスキー２世,69
00003f00,text,914,977,952,1083,着信拒否,,,69
00003f01,text,1513,867,1563,992,"エスカが今
家を出たそうだ",,,69
00003f02,body,143,594,305,795,,00003ef0,エスカ・ゴルス,69
00003f03,face,459,203,530,274,,00002d03,ハムル・キンスキー２世,69
00003f04,frame,428,325,751,571,,,,69
00003f05,face,1070,436,1137,485,,00002d03,ハムル・キンスキー２世,69
00003f06,text,75,11,382,53,コンクリートも食べるらしいね,,,69
00003f07,frame,428,850,751,1093,,,,69
00003f08,text,81,352,138,468,"私はこっちだ
バカ者！",,,69
00003f09,body,147,419,214,472,,00003ef0,エスカ・ゴルス,69
00003f0a,body,1375,359,1452,494,,0000349e,夢野アキラ,69
00003f0b,face,1323,912,1381,952,,00002d05,梢つつじ,69
00003f0c,body,468,616,630,829,,00002d05,梢つつじ,69
00003f0d,body,1304,205,1394,304,,0000349e,夢野アキラ,69
00003f0e,body,1059,412,1150,530,,00002d03,ハムル・キンスキー２世,69
00003f0f,frame,890,66,1209,309,,,,69
00003f10,text,899,611,993,764,"貴様は貴族と
言っても先の戦争
からだ　我々は由緒
正しき格式ある・・",,,69
00003f11,text,351,94,371,170,ここだ,,,69
00003f12,text,1165,361,1191,462,翌日ーーー,,,69
00003f13,frame,1250,326,1571,569,,,,69
00003f14,body,1015,687,1134,770,,00002d03,ハムル・キンスキー２世,69
00003f15,text,80,610,145,764,"私は由緒正しき
魔界の貴族だぞ",,,69
00003f16,body,1290,879,1432,1092,,00002d05,梢つつじ,69
00003f17,frame,68,60,386,306,,,,69
00003f18,body,585,731,713,831,,00002d03,ハムル・キンスキー２世,69
00003f19,text,306,876,372,995,"それにしても
このアジサイは
美味だな",,,69
00003f1a,body,279,170,383,303,,00002d05,梢つつじ,69
00003f1b,text,1509,343,1562,446,"明日も
くるから！",,,69
00003f1c,body,1347,608,1489,831,,00002d05,梢つつじ,69
00003f1d,face,1367,112,1396,148,,00002d03,ハムル・キンスキー２世,69
00003f1e,body,69,950,166,1093,,00002d05,梢つつじ,69
00003f1f,text,450,605,458,720,・・・・・・・・,,,69
00003f20,face,305,476,381,568,,00002d05,梢つつじ,69
00003f21,text,1261,78,1314,196,"勝負のシーン
なしっ!?",,,69
00003f22,face,1426,1007,1456,1053,,00002d03,ハムル・キンスキー２世,69
00003f23,text,1496,604,1560,710,"アキラちゃん
嬢聖高校
なのか・・・・",,,69
00003f24,face,598,766,680,827,,00002d03,ハムル・キンスキー２世,69
00003f25,text,653,97,746,233,"パ力者！
着信拒否など
しおって",,,69
00003f26,text,905,89,992,272,"今　家を出たぞ
私がわざわざ行って
やるのだ感謝しろ",,,69
00003f27,frame,1250,64,1571,309,,,,69
00003f28,text,89,869,115,964,一緒じゃん,,,69
00003f29,frame,428,590,751,831,,,,69
00003f2a,body,1344,327,1503,563,,00003e80,キョンキョン,69
00003f2b,body,1288,786,1333,827,,00002d03,ハムル・キンスキー２世,69
00003f2c,text,322,614,380,769,"そんな下等生物と
一緒にするな！",,,69
00003f2d,face,1398,387,1428,411,,0000349e,夢野アキラ,69
00003f2e,frame,1250,849,1572,1093,,,,69
00003f2f,frame,69,590,387,830,,,,69
00003f30,body,1410,981,1505,1094,,00002d03,ハムル・キンスキー２世,69
00003f31,frame,68,849,387,1094,,,,69
00003f32,body,131,891,194,987,,00002d03,ハムル・キンスキー２世,69
00003f33,face,501,658,589,717,,00002d05,梢つつじ,69
00003f34,face,281,204,331,263,,00002d05,梢つつじ,69
