id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0000413b,text,113,316,198,465,えーっこれはお客様にもウケよかったよおー,,,4
0000413c,body,1018,673,1134,926,,00004137,海,4
0000413d,text,1418,85,1442,111,海,,,4
0000413e,frame,447,696,762,1105,,,,4
0000413f,face,685,780,723,814,,00004137,海,4
00004140,face,514,719,571,764,,00004141,モグオ,4
00004142,text,123,930,243,1083,ちがーーう図書館だよー今日　返しに行かなきゃならんの,,,4
00004143,face,1172,110,1267,212,,00004137,海,4
00004144,face,1068,719,1127,776,,00004137,海,4
00004145,text,1410,962,1415,979,…,,,4
00004146,frame,892,660,1322,1108,,,,4
00004147,text,530,19,579,40,つかえてる,,,4
00004148,frame,371,3,766,594,,,,4
00004149,frame,85,576,762,726,,,,4
0000414a,text,1122,973,1250,1087,聞いた？今日　ハナ君店長モデルでカットの練習すんだってー居残り～,,,4
0000414b,frame,38,3,367,571,,,,4
0000414c,text,498,947,578,1044,ねねね♡♡海ちゃん「ショコラ」寄ってかん？,,,4
0000414d,text,228,344,351,456,"MOGUO♡メモ
年齢不詳。
美容師には必要ないくらいの身長の持ち主。
かわいいものと甘いものがスキ。",,,4
0000414e,frame,85,726,446,1102,,,,4
0000414f,body,990,30,1366,634,,00004137,海,4
00004150,face,1214,789,1273,847,,00004151,女A,4
00004152,body,409,47,743,591,,00004141,モグオ,4
00004153,text,1334,874,1359,925,うん❀,,,4
00004154,frame,891,905,1041,1108,,,,4
00004155,text,386,897,450,1028,あっこめーんあたし行くとこあんだー,,,4
00004156,frame,1241,662,1490,1169,,,,4
00004157,text,706,152,759,418,や～～～～ん,,,4
00004158,text,1366,239,1451,332,それ終わったら上がっていいよー,,,4
00004159,frame,891,1,1498,637,,,,4
0000415a,face,538,131,616,223,,00004141,モグオ,4
0000415b,body,453,654,588,1104,,00004141,モグオ,4
0000415c,text,1090,643,1160,656,姫子カット。,,,4
0000415d,text,1449,671,1483,731,おつかれーお先です,,,4
0000415e,text,127,173,158,261,どこで見つけてくんの？,,,4
0000415f,body,575,747,761,1100,,00004137,海,4
00004160,text,1031,227,1047,309,あ　はーい,,,4
00004161,text,125,496,187,581,それマジウケてるんちゃう？,,,4
00004162,body,371,344,521,591,,00004137,海,4
00004163,text,331,955,353,1042,デート？,,,4
00004164,body,1111,734,1299,981,,00004151,女A,4
00004165,text,559,491,577,555,モグオ…,,,4
00004166,text,1379,792,1439,866,あれっ海　きょう早番？,,,4
00004167,text,1039,856,1103,1012,うっほーーマジ？,,,4
00004168,text,205,119,307,237,あんた　そのジャミーな帽子やめてよーただでさえ190あるっつーに,,,4
00004169,face,371,458,515,593,,00004137,海,4
