id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00004923,face,1288,856,1337,899,00004563,松岡,,51
00004924,frame,1189,1,1364,657,,,,51
00004925,body,1195,32,1364,446,00004482,雛村マリ,,51
00004926,face,1475,300,1600,494,00004480,華子,,51
00004927,frame,887,313,1187,657,,,,51
00004928,text,907,203,965,267,,,あのことはだまっておこう……,51
00004929,body,209,715,330,886,00004482,雛村マリ,,51
0000492a,face,944,681,1082,878,00004563,松岡,,51
0000492b,face,559,237,614,299,0000448d,井出喜市,,51
0000492c,frame,885,658,1159,884,,,,51
0000492d,body,451,182,664,419,0000448d,井出喜市,,51
0000492e,body,1260,846,1339,1108,00004563,松岡,,51
0000492f,face,257,962,302,1020,00004482,雛村マリ,,51
00004930,text,1360,447,1422,558,,,あたし絶対春までに松岡オトす！,51
00004931,text,1079,113,1166,206,,,やつばラブ・イズ・パワー！なんだね,51
00004932,text,1449,722,1472,746,,,あ,51
00004933,frame,1349,658,1575,1169,,,,51
00004934,body,179,24,331,181,00004482,雛村マリ,,51
00004935,frame,41,0,800,178,,,,51
00004936,frame,889,85,1185,313,,,,51
00004937,text,1082,699,1146,809,,,お前はこれから一生「ピヨ村」だ♡,51
00004938,body,1467,821,1573,1167,00004563,松岡,,51
00004939,frame,38,882,805,1167,,,,51
0000493a,text,911,776,928,862,,,いーな？,51
0000493b,face,1188,884,1239,952,00004482,雛村マリ,,51
0000493c,face,967,909,1124,1080,00004482,雛村マリ,,51
0000493d,text,1503,87,1567,238,,,がぜんバワ湧くいてきたもんね,51
0000493e,face,1534,867,1572,927,00004563,松岡,,51
0000493f,body,422,447,635,688,0000448d,井出喜市,,51
00004940,frame,39,180,792,417,,,,51
00004941,frame,1159,660,1343,1110,,,,51
00004942,face,518,492,577,570,0000448d,井出喜市,,51
00004943,text,1085,369,1134,505,,,だってあたしたちは,51
00004944,text,207,485,245,608,,,マリ！,51
00004945,text,925,1021,961,1089,,,…ハイ…,51
00004946,body,1365,199,1606,659,00004480,華子,,51
00004947,body,887,658,1107,878,00004563,松岡,,51
00004948,text,1247,721,1282,820,,,ピヨ村,51
00004949,face,1189,199,1360,446,00004482,雛村マリ,,51
0000494a,face,236,755,279,800,00004482,雛村マリ,,51
0000494b,frame,887,882,1159,1110,,,,51
0000494c,body,887,884,1157,1114,00004482,雛村マリ,,51
0000494d,text,947,371,995,437,,,恋に忙しい,51
0000494e,frame,40,684,786,881,,,,51
0000494f,body,1184,888,1286,1108,00004482,雛村マリ,,51
00004950,body,230,911,372,1169,00004482,雛村マリ,,51
00004951,frame,1363,0,1606,658,,,,51
00004952,body,1344,760,1521,1165,00004482,雛村マリ,,51
00004953,frame,40,416,789,686,,,,51
