id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0000519b,body,474,236,750,518,00005142,遠山先生,,12
0000519c,body,970,296,1230,554,00005081,カッポーレ,,12
0000519d,text,1480,310,1557,435,,,わァ森魚クンおじいちゃんと仲よしー,12
0000519e,body,1353,934,1450,1111,00005081,カッポーレ,,12
0000519f,frame,471,0,747,513,,,,12
000051a0,body,81,760,310,1169,00005081,カッポーレ,,12
000051a1,text,1280,301,1330,426,,,博士実践物理学って,12
000051a2,frame,86,539,309,1169,,,,12
000051a3,text,203,543,298,693,,,おお！！なおすのかっまかせたまえ,12
000051a4,face,1502,985,1513,997,00005023,笑,,12
000051a5,face,405,741,490,851,00005081,カッポーレ,,12
000051a6,body,827,770,1342,1167,00005142,遠山先生,,12
000051a7,frame,1356,286,1560,705,,,,12
000051a8,face,222,409,353,511,00005142,遠山先生,,12
000051a9,frame,86,106,458,379,,,,12
000051aa,frame,84,398,459,514,,,,12
000051ab,face,1314,957,1340,976,0000508a,リリカ,,12
000051ac,text,91,145,187,298,,,最強にして無敵それが実践物理学だ！！,12
000051ad,body,134,96,461,378,00005081,カッポーレ,,12
000051ae,text,293,110,457,255,,,実験でもシミュレーションでも理論でもない実行によってなす物理学,12
000051af,face,108,792,300,1027,00005081,カッポーレ,,12
000051b0,body,1041,107,1497,264,0000508a,リリカ,,12
000051b1,face,1140,117,1344,247,0000508a,リリカ,,12
000051b2,text,891,734,964,832,,,なんてことだ,12
000051b3,body,1449,961,1501,1104,00004ff4,森魚,,12
000051b4,text,104,403,166,509,,,人の話を聞きたまえ,12
000051b5,frame,831,727,1653,1169,,,,12
000051b6,face,569,812,649,911,00005142,遠山先生,,12
000051b7,body,1494,975,1540,1075,00005023,笑,,12
000051b8,text,420,409,454,457,,,君達,12
000051b9,text,493,542,730,726,,,どうしてくれるんですこの有様を困るんですよ明日は学校あるんですよどうにかしてくださいなおしてください,12
000051ba,body,1153,401,1310,554,00004ff4,森魚,,12
000051bb,body,1390,463,1537,704,00005023,笑,,12
000051bc,body,325,699,550,1064,00005081,カッポーレ,,12
000051bd,face,1022,309,1108,412,00005081,カッポーレ,,12
000051be,text,925,127,1007,251,,,炉の内圧計の針が振り切っちゃってますゥ,12
000051bf,text,909,423,972,550,,,よく聞いた少年よっ,12
000051c0,text,475,92,559,205,,,ああ一体どうしてくれるんです,12
000051c1,body,1037,580,1251,707,0000508a,リリカ,,12
000051c2,face,539,266,683,403,00005142,遠山先生,,12
000051c3,face,1392,934,1417,959,00005081,カッポーレ,,12
000051c4,body,161,398,452,515,00005142,遠山先生,,12
000051c5,frame,903,286,1337,554,,,,12
000051c6,face,1460,970,1478,991,00004ff4,森魚,,12
000051c7,face,1432,524,1488,586,00005023,笑,,12
000051c8,body,1299,943,1361,1074,0000508a,リリカ,,12
000051c9,body,324,883,474,1087,00005023,笑,,12
000051ca,frame,900,101,1560,263,,,,12
000051cb,face,375,937,423,999,00005023,笑,,12
000051cc,text,1439,740,1569,864,,,ああ大穴があけられている,12
000051cd,face,1089,607,1161,667,0000508a,リリカ,,12
000051ce,body,475,804,745,1090,00005142,遠山先生,,12
000051cf,text,1518,106,1555,184,,,博士ェ,12
000051d0,text,906,582,1018,685,,,じゃないとリリカメルトダウンしちゃうんだから,12
000051d1,face,1191,426,1246,485,00004ff4,森魚,,12
000051d2,frame,322,537,748,1089,,,,12
000051d3,text,648,76,745,253,,,誰が壊してもね責任は当番の私にくるんですよ,12
000051d4,frame,903,579,1337,705,,,,12
000051d5,text,1278,581,1334,671,,,誰かァ聞いてよォ,12
000051d6,text,350,551,392,624,,,んーなおす？,12
000051d7,face,169,120,394,375,00005081,カッポーレ,,12
000051d8,text,1369,297,1386,350,,,うれし,12
000051d9,text,465,992,508,1079,,,あ遠山先生だ,12
