id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00005243,frame,1377,1,1639,1169,,,15
00005244,frame,4,1,1368,1167,,,15
00005245,body,1377,704,1629,1169,00005142,遠山先生,15
00005246,face,1395,784,1631,1104,00005142,遠山先生,15
00005247,body,1462,93,1640,395,00005081,カッポーレ,15
00005248,body,1411,476,1629,751,00004ff4,森魚,15
00005249,face,1499,547,1626,710,00004ff4,森魚,15
0000524a,body,1388,272,1621,701,00005023,笑,15
0000524b,face,1392,341,1506,467,00005023,笑,15
0000524c,face,1475,117,1640,329,00005081,カッポーレ,15
0000524d,body,1387,96,1511,286,0000508a,リリカ,15
0000524e,face,1404,137,1473,207,0000508a,リリカ,15
