id,type,xmin,ymin,xmax,ymax,text_content,page_number
000052a8,text,1178,876,1243,975,名ｐμ２ξ五寧蓮ａ方旧鑑署けをＯ,18
000052a9,text,1199,119,1239,186,警囚こ隔にちｑ,18
000052aa,text,1048,297,1139,319,聯力・乱’：堕,18
000052ab,frame,955,866,1249,1100,,18
000052ac,text,961,505,1005,578,ｎ昏ら吻萎＆,18
000052ad,text,1159,621,1241,726,αを「葦うｈみら４”占りに席り星奪ずδｒ審フ,18
000052ae,text,979,433,1020,469,灘コ,18
000052af,frame,955,616,1249,847,,18
000052b0,text,1133,367,1243,510,骨能肥座Ｂ－～が５、巨鳥座Ａな薯弱色亀ブ気ユ小ーレ鄭響τ．．．２ｒし」,18
000052b1,frame,957,111,1251,342,,18
000052b2,frame,957,361,1251,595,,18
000052b3,text,1116,159,1142,200,侮働．,18
000052b4,text,963,872,1003,933,暮晒重明ロ,18
000052b5,text,961,363,1111,412,田蚕鵬鵡,18
000052b6,text,963,115,1017,193,木甲富時空予報,18
