id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0000599d,text,905,91,1030,233,俺…俺すっげえ感動した,,,56
0000599e,body,1245,413,1307,561,,00004ff4,森魚,56
0000599f,face,1273,668,1343,736,,00004ff4,森魚,56
000059a0,body,996,883,1108,999,,00005863,グンソー,56
000059a1,text,922,872,966,1014,初志貫徹！！,,,56
000059a2,body,1257,654,1359,746,,00004ff4,森魚,56
000059a3,frame,834,0,1651,632,,,,56
000059a4,text,1273,878,1372,1003,わぁもう早朝トレーニングはいいんだよォ,,,56
000059a5,frame,911,871,1388,1087,,,,56
000059a6,frame,1402,878,1567,1088,,,,56
000059a7,text,1490,92,1559,252,森魚！！お前すごいぜ,,,56
000059a8,body,1083,656,1362,782,,000052c1,龍,56
000059a9,body,1414,313,1554,628,,00005023,笑,56
000059aa,text,1459,661,1498,773,いやがっているが…,,,56
000059ab,body,1095,927,1273,1087,,00004ff4,森魚,56
000059ac,body,1404,909,1564,1087,,00004ff4,森魚,56
000059ad,text,947,663,1060,774,これから当分勝負つくことになってしまうとは知らない森魚であった,,,56
000059ae,frame,915,655,1567,783,,,,56
000059af,face,1432,931,1552,1063,,00004ff4,森魚,56
000059b0,face,1165,951,1217,1005,,00004ff4,森魚,56
000059b1,body,1219,403,1279,563,,000052c1,龍,56
