id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
000063ff,frame,888,833,1586,1105,,,,20
00006400,text,51,761,86,828,氷で冷やすか？,,,20
00006401,face,197,938,245,981,,0000604c,森崎眞一郎,20
00006402,body,139,691,282,806,,00006392,玄じい,20
00006403,body,276,683,451,835,,0000604c,森崎眞一郎,20
00006404,text,623,38,729,318,兄さんのお馬鹿あぁぁ！！！,,,20
00006405,face,555,831,735,1016,,0000604c,森崎眞一郎,20
00006406,body,1092,297,1651,808,,00006111,沢渡アリサ,20
00006407,text,56,880,170,992,だからあれはアリサが勝手に･･･！,,,20
00006408,text,79,111,125,226,ふ不潔ですっ！,,,20
00006409,frame,65,450,764,636,,,,20
0000640a,face,1180,322,1253,407,,00006111,沢渡アリサ,20
0000640b,body,442,474,528,617,,00006111,沢渡アリサ,20
0000640c,text,277,675,293,725,わはは,,,20
0000640d,body,1166,832,1529,1102,,0000606a,森崎琴美,20
0000640e,text,571,457,618,532,むにゃ･･･あやや？,,,20
0000640f,frame,889,1,1653,810,,,,20
00006410,frame,46,1047,251,1144,,,,20
00006411,body,952,861,1170,1100,,00006051,沢渡有紗,20
00006412,text,966,70,1096,263,しんちゃあぁんダメだよぉそんなとこさわっちゃあ,,,20
00006413,text,93,675,126,775,手形くっきりじゃの,,,20
00006414,text,971,334,994,401,やんっ,,,20
00006415,text,330,880,436,971,フンっだ兄さんのスケベ！！,,,20
00006416,body,148,901,293,1103,,0000604c,森崎眞一郎,20
00006417,frame,0,867,451,1106,,,,20
00006418,text,717,684,737,746,くそっ,,,20
00006419,face,1004,902,1101,989,,00006051,沢渡有紗,20
0000641a,face,1281,910,1430,1016,,0000606a,森崎琴美,20
0000641b,frame,459,667,764,1136,,,,20
0000641c,body,1120,114,1653,518,,0000604c,森崎眞一郎,20
0000641d,body,893,418,1145,807,,0000606a,森崎琴美,20
0000641e,text,1473,65,1491,143,う～～ん,,,20
0000641f,text,478,708,543,841,なんでオレがこんな目に･･････,,,20
00006420,body,469,668,763,1133,,0000604c,森崎眞一郎,20
00006421,face,195,705,226,743,,00006392,玄じい,20
00006422,frame,0,668,450,837,,,,20
00006423,face,82,1059,193,1140,,0000604c,森崎眞一郎,20
00006424,frame,0,0,765,422,,,,20
00006425,body,993,647,1345,808,,00006051,沢渡有紗,20
00006426,face,467,499,501,535,,00006111,沢渡アリサ,20
00006427,body,45,1045,249,1140,,0000604c,森崎眞一郎,20
