id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0000681c,body,364,57,734,760,00006111,沢渡アリサ,,38
0000681d,face,392,278,449,336,000060ce,Other,,38
0000681e,face,1033,964,1074,1019,000060ce,Other,,38
0000681f,face,15,622,40,652,000060ce,Other,,38
00006820,body,227,603,343,713,000060ce,Other,,38
00006821,face,955,1008,1012,1063,000060ce,Other,,38
00006822,frame,893,0,1653,565,,,,38
00006823,text,919,614,986,736,,,決まったあー！！,38
00006824,frame,1264,823,1653,1167,,,,38
00006825,body,288,596,499,715,00006111,沢渡アリサ,,38
00006826,face,352,344,382,384,000060ce,Other,,38
00006827,body,1075,919,1256,1099,000060ce,Other,,38
00006828,body,434,558,538,715,000060ce,Other,,38
00006829,body,1128,710,1154,783,000060ce,Other,,38
0000682a,body,489,807,772,1104,0000604c,森崎眞一郎,,38
0000682b,body,0,193,194,429,000060ce,Other,,38
0000682c,face,152,630,177,654,000060ce,Other,,38
0000682d,face,1021,672,1050,712,000060ce,Other,,38
0000682e,body,1518,1070,1629,1166,000060ce,Other,,38
0000682f,face,79,614,113,650,000060ce,Other,,38
00006830,text,1532,840,1599,1027,,,ゲームセット！B組の勝利！,38
00006831,body,2,325,78,429,000060ce,Other,,38
00006832,body,1598,1104,1644,1163,000060ce,Other,,38
00006833,body,0,588,71,712,000060ce,Other,,38
00006834,body,1307,704,1352,765,000060ce,Other,,38
00006835,body,1367,1000,1504,1166,00006111,沢渡アリサ,,38
00006836,body,905,981,1034,1101,000060ce,Other,,38
00006837,body,1011,940,1094,1100,000060ce,Other,,38
00006838,body,1346,669,1414,777,000060ce,Other,,38
00006839,text,1358,831,1387,981,,,やったぁ！,38
0000683a,body,22,561,127,712,000060ce,Other,,38
0000683b,face,464,596,489,630,000060ce,Other,,38
0000683c,face,1556,1086,1578,1105,000060ce,Other,,38
0000683d,text,906,850,1007,981,,,なんだかこのまま優勝できそーな気がしてきたよ,38
0000683e,face,1236,104,1345,231,00006111,沢渡アリサ,,38
0000683f,body,338,320,419,426,000060ce,Other,,38
00006840,text,1115,837,1246,950,,,すごいよアリサひとりで８点も入れちゃった,38
00006841,body,448,953,590,1106,000060ce,Other,,38
00006842,body,1619,659,1632,732,000060ce,Other,,38
00006843,body,1261,624,1300,691,00006111,沢渡アリサ,,38
00006844,body,124,607,210,711,000060ce,Other,,38
00006845,frame,421,746,772,1108,,,,38
00006846,face,106,252,158,314,000060ce,Other,,38
00006847,face,1139,1008,1179,1080,00006111,沢渡アリサ,,38
00006848,body,502,614,557,713,000060ce,Other,,38
00006849,body,1158,713,1196,790,000060ce,Other,,38
0000684a,body,1138,975,1257,1103,00006111,沢渡アリサ,,38
0000684b,face,512,625,534,647,000060ce,Other,,38
0000684c,body,1195,705,1240,778,000060ce,Other,,38
0000684d,body,1270,753,1391,789,000060ce,Other,,38
0000684e,face,1099,958,1149,1002,000060ce,Other,,38
0000684f,body,1077,6,1649,496,00006111,沢渡アリサ,,38
00006850,text,737,756,751,831,,,まったく,38
00006851,face,195,345,214,383,000060ce,Other,,38
00006852,text,362,469,465,586,,,声がちいさいぞもーいちどーー！,38
00006853,body,211,619,274,710,000060ce,Other,,38
00006854,body,1422,710,1529,793,000060ce,Other,,38
00006855,frame,0,460,710,716,,,,38
00006856,face,224,629,249,651,000060ce,Other,,38
00006857,face,459,1064,490,1103,000060ce,Other,,38
00006858,face,275,631,300,656,000060ce,Other,,38
00006859,face,1326,1085,1347,1109,000060ce,Other,,38
0000685a,face,16,348,54,374,000060ce,Other,,38
0000685b,face,514,1029,562,1078,000060ce,Other,,38
0000685c,text,443,757,537,886,,,いつのまにこんな騒がしいヤツになったのやら･･･,38
0000685d,body,1631,658,1646,736,000060ce,Other,,38
0000685e,body,1362,1104,1397,1166,000060ce,Other,,38
0000685f,body,228,255,352,427,000060ce,Other,,38
00006860,face,1429,1024,1458,1054,00006111,沢渡アリサ,,38
00006861,body,158,331,257,425,000060ce,Other,,38
00006862,body,1294,1074,1385,1165,000060ce,Other,,38
00006863,face,638,922,719,1013,0000604c,森崎眞一郎,,38
00006864,frame,73,743,408,1104,,,,38
00006865,body,422,1020,501,1104,000060ce,Other,,38
00006866,face,524,118,598,200,00006111,沢渡アリサ,,38
00006867,frame,0,0,516,432,,,,38
00006868,frame,896,553,1653,795,,,,38
00006869,body,1527,669,1604,792,000060ce,Other,,38
0000686a,frame,361,0,829,742,,,,38
0000686b,text,690,70,775,208,,,このまま一気に優勝いくよーっ！,38
0000686c,body,307,214,517,428,000060ce,Other,,38
0000686d,face,302,330,335,380,000060ce,Other,,38
0000686e,body,941,606,1114,795,000060ce,Other,,38
0000686f,body,1228,681,1294,786,000060ce,Other,,38
00006870,frame,894,822,1255,1104,,,,38
00006871,text,1523,11,1641,337,,,たぁーーーーーっ,38
00006872,body,1410,668,1455,772,000060ce,Other,,38
