id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
000072aa,body,1408,266,1499,503,00006111,沢渡アリサ,83
000072ab,body,1503,867,1529,957,0000604c,森崎眞一郎,83
000072ac,body,183,158,271,363,00006111,沢渡アリサ,83
000072ad,body,963,483,1133,802,00006111,沢渡アリサ,83
000072ae,body,488,509,503,538,00006111,沢渡アリサ,83
000072af,face,1128,602,1185,687,0000604c,森崎眞一郎,83
000072b0,frame,889,0,1653,519,,,83
000072b1,face,1040,544,1073,573,00006111,沢渡アリサ,83
000072b2,face,1439,275,1456,300,00006111,沢渡アリサ,83
000072b3,body,440,696,756,1165,0000604c,森崎眞一郎,83
000072b4,body,1103,530,1222,802,0000604c,森崎眞一郎,83
000072b5,face,1320,164,1355,197,0000604c,森崎眞一郎,83
000072b6,body,1224,1056,1244,1113,0000604c,森崎眞一郎,83
000072b7,face,560,780,653,863,0000604c,森崎眞一郎,83
000072b8,face,636,188,649,205,00006111,沢渡アリサ,83
000072b9,frame,1318,722,1584,994,,,83
000072ba,body,333,189,401,299,0000604c,森崎眞一郎,83
000072bb,body,102,608,494,1166,00006111,沢渡アリサ,83
000072bc,body,1280,122,1427,537,0000604c,森崎眞一郎,83
000072bd,body,1474,869,1501,956,00006111,沢渡アリサ,83
000072be,frame,0,391,774,623,,,83
000072bf,body,625,179,669,256,00006111,沢渡アリサ,83
000072c0,face,239,179,252,205,00006111,沢渡アリサ,83
000072c1,frame,891,906,1653,1169,,,83
000072c2,frame,46,27,561,365,,,83
000072c3,face,193,704,373,840,00006111,沢渡アリサ,83
000072c4,body,1139,1004,1158,1038,00006111,沢渡アリサ,83
000072c5,face,355,202,374,219,0000604c,森崎眞一郎,83
000072c6,frame,528,0,774,261,,,83
000072c7,body,688,120,755,256,0000604c,森崎眞一郎,83
000072c8,face,699,150,721,167,0000604c,森崎眞一郎,83
000072c9,frame,0,624,828,1169,,,83
000072ca,frame,910,409,1224,805,,,83
000072cb,body,507,507,527,541,0000604c,森崎眞一郎,83
