id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
00007521,face,1359,870,1405,901,00007522,大地球子,3
00007523,body,1135,698,1403,886,00007524,細久高志,3
00007525,body,1365,791,1496,939,00007526,宇崎美々子,3
00007527,face,131,423,1016,861,00007528,パンプ・カタロナ,3
00007529,face,1323,719,1398,772,00007524,細久高志,3
0000752a,face,1395,812,1449,849,00007526,宇崎美々子,3
0000752b,body,1019,566,1204,756,0000752c,跡辺茶太郎,3
0000752d,body,1177,609,1359,754,0000752e,大月満円,3
0000752f,face,1075,588,1123,627,0000752c,跡辺茶太郎,3
00007530,face,1204,626,1260,670,0000752e,大月満円,3
00007531,body,1344,859,1522,1039,00007522,大地球子,3
00007532,body,129,3,1088,1168,00007528,パンプ・カタロナ,3
