id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0000761d,frame,896,421,1642,977,,,,7
0000761e,body,1325,423,1441,579,0000754a,狩尾先生,,7
0000761f,face,543,938,638,1002,0000754a,狩尾先生,,7
00007620,text,354,846,432,998,,,わーっ！,7
00007621,face,378,671,481,740,0000754a,狩尾先生,,7
00007622,face,211,118,254,157,0000752e,大月満円,,7
00007623,text,282,876,329,932,,,あ…跡辺？,7
00007624,text,511,915,563,975,,,あっ,7
00007625,body,994,810,1161,1007,00007524,細久高志,,7
00007626,body,936,199,1103,351,0000752c,跡辺茶太郎,,7
00007627,face,1186,674,1246,707,0000752c,跡辺茶太郎,,7
00007628,face,72,473,190,555,0000754a,狩尾先生,,7
00007629,body,425,893,648,1096,0000754a,狩尾先生,,7
0000762a,text,1497,275,1585,438,,,きゃあっ,7
0000762b,body,442,406,562,597,0000754a,狩尾先生,,7
0000762c,text,360,366,435,479,,,跡辺！だいじょうぶか〜〜〜！,7
0000762d,frame,1122,846,1578,1088,,,,7
0000762e,body,102,171,288,332,0000754a,狩尾先生,,7
0000762f,text,88,84,136,163,,,何があったんだ？,7
00007630,face,1331,485,1438,552,0000754a,狩尾先生,,7
00007631,body,194,434,338,599,0000752e,大月満円,,7
00007632,text,1124,845,1141,919,,,消えた？,7
00007633,frame,393,73,755,334,,,,7
00007634,face,996,872,1116,952,00007524,細久高志,,7
00007635,text,939,790,984,898,,,カベに…吸いこまれた!?,7
00007636,text,552,632,753,839,,,このまま跡辺が出てこなかったりしたら責任問題で私はクビになってしまうじゃないか！,7
00007637,body,229,951,341,1092,0000754a,狩尾先生,,7
00007638,face,1038,1041,1131,1088,00007526,宇崎美々子,,7
00007639,body,72,453,233,599,0000754a,狩尾先生,,7
0000763a,body,307,624,611,838,0000754a,狩尾先生,,7
0000763b,text,379,116,428,189,,,いかん！跡辺！,7
0000763c,face,1440,449,1577,533,00007522,大地球子,,7
0000763d,body,536,449,618,597,00007522,大地球子,,7
0000763e,frame,1280,387,1580,644,,,,7
0000763f,text,1297,411,1343,484,,,しまった！,7
00007640,body,598,483,695,599,0000752e,大月満円,,7
00007641,body,1438,421,1580,639,00007522,大地球子,,7
00007642,face,152,206,204,234,0000754a,狩尾先生,,7
00007643,body,98,862,190,1093,0000752c,跡辺茶太郎,,7
00007644,text,216,913,278,978,,,あ,7
00007645,body,139,626,268,789,00007524,細久高志,,7
00007646,face,100,673,148,718,00007522,大地球子,,7
00007647,text,81,364,189,458,,,ばか！何としても開けるんだ！,7
00007648,frame,348,861,753,1096,,,,7
00007649,body,1164,646,1382,813,0000752c,跡辺茶太郎,,7
0000764a,frame,346,359,755,597,,,,7
0000764b,text,619,41,751,254,,,うごああっ！,7
0000764c,face,1130,176,1163,196,00007522,大地球子,,7
0000764d,face,635,1022,723,1063,00007526,宇崎美々子,,7
0000764e,face,1340,129,1394,159,0000752c,跡辺茶太郎,,7
0000764f,body,1124,159,1204,309,00007522,大地球子,,7
00007650,face,276,90,343,121,00007524,細久高志,,7
00007651,face,910,975,1028,1072,0000752e,大月満円,,7
00007652,frame,72,357,337,599,,,,7
00007653,frame,895,1,1293,540,,,,7
00007654,frame,73,861,341,1094,,,,7
00007655,body,1301,103,1466,289,0000752c,跡辺茶太郎,,7
00007656,face,406,513,468,548,00007526,宇崎美々子,,7
00007657,body,897,934,1047,1088,0000752e,大月満円,,7
00007658,face,100,913,184,961,0000752c,跡辺茶太郎,,7
00007659,text,80,734,201,832,,,うそでもいいから生徒の心配してほしかったな,7
0000765a,text,692,372,739,449,,,おーいおーい！,7
0000765b,face,151,631,250,681,00007524,細久高志,,7
0000765c,frame,897,748,1190,1090,,,,7
0000765d,frame,73,75,383,334,,,,7
0000765e,text,335,628,356,701,,,跡辺〜！,7
0000765f,body,175,101,287,211,0000752e,大月満円,,7
00007660,frame,1214,3,1578,382,,,,7
00007661,body,619,979,754,1091,00007526,宇崎美々子,,7
00007662,body,603,404,702,597,00007524,細久高志,,7
00007663,text,649,852,749,991,,,きゃああああっ,7
00007664,frame,75,620,755,839,,,,7
00007665,body,220,75,385,242,00007524,細久高志,,7
00007666,body,1014,981,1147,1086,00007526,宇崎美々子,,7
00007667,text,1029,498,1192,610,,,えええ？,7
00007668,body,372,488,501,597,00007526,宇崎美々子,,7
00007669,face,220,454,287,512,0000752e,大月満円,,7
0000766a,body,77,622,154,732,00007522,大地球子,,7
0000766b,face,229,1009,339,1087,0000754a,狩尾先生,,7
0000766c,text,1436,1,1511,108,,,あああ,7
0000766d,text,258,365,328,460,,,だめです！やっぱり開かない！,7
