id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0000898c,text,1111,873,1187,986,ネッシーの一部かとは思うんだが…,,,102
0000898d,body,365,385,500,565,,00007510,Other,102
0000898e,frame,517,332,766,839,,,,102
0000898f,text,1390,611,1557,720,ひい……ひいいっ！たっ助けて！殺されるう〜〜！,,,102
00008990,body,96,930,319,1091,,000086fc,アキラ,102
00008991,face,293,1015,379,1073,,000086e9,ホクト,102
00008992,text,114,610,190,740,いっしょに来てもらおうかお嬢さん,,,102
00008993,body,1177,424,1404,580,,00007510,Other,102
00008994,text,885,877,952,988,さあて…わかることといえば,,,102
00008995,frame,880,599,1207,845,,,,102
00008996,body,282,148,406,304,,000086fc,アキラ,102
00008997,face,293,176,371,226,,000086fc,アキラ,102
00008998,text,462,873,566,1009,両親に死に別れた心さみしい少女がだなーー,,,102
00008999,text,472,353,494,441,へっへっへ,,,102
0000899a,text,887,446,1062,557,そ　そしておれの頭の中に話しかけてきた“おろかもの“お…………”,,,102
0000899b,body,102,366,237,567,,000086d4,キャサリン,102
0000899c,body,164,127,310,303,,000086e9,ホクト,102
0000899d,text,899,78,1000,206,ネッシーに…むかって……で……でもきかなかった…,,,102
0000899e,text,438,78,576,210,そういえぱキャサリンは？さっきまでこの辺にいたのに!!…,,,102
0000899f,text,92,884,166,996,見つけて調子にのってんだよ,,,102
000089a0,face,156,966,283,1048,,000086fc,アキラ,102
000089a1,frame,1220,0,1569,406,,,,102
000089a2,frame,880,868,1092,1093,,,,102
000089a3,face,972,729,1017,757,,000086fc,アキラ,102
000089a4,text,626,40,756,152,おれたちの手におえる相手じゃないってことぐらいで……,,,102
000089a5,body,577,586,659,774,,000086d4,キャサリン,102
000089a6,body,203,635,343,838,,00007510,Other,102
000089a7,body,879,995,976,1091,,000086e9,ホクト,102
000089a8,text,993,609,1197,725,探知器のメモリーひっくり返したらこんなものがうつってた,,,102
000089a9,face,102,424,212,476,,000086d4,キャサリン,102
000089aa,frame,77,588,514,841,,,,102
000089ab,frame,1214,605,1569,841,,,,102
000089ac,face,260,652,303,691,,00007510,Other,102
000089ad,face,607,219,717,279,,000086e9,ホクト,102
000089ae,body,310,620,454,841,,000086d4,キャサリン,102
000089af,text,90,88,224,213,おい！おい！アキラあの娘にはかまうなよ,,,102
000089b0,face,985,1005,1090,1068,,000086fc,アキラ,102
000089b1,body,897,223,992,399,,000086fc,アキラ,102
000089b2,frame,246,330,514,566,,,,102
000089b3,body,957,712,1020,843,,000086fc,アキラ,102
000089b4,body,1239,673,1338,791,,000086fc,アキラ,102
000089b5,body,625,949,662,1060,,000086e9,ホクト,102
000089b6,body,964,947,1089,1091,,000086fc,アキラ,102
000089b7,body,594,167,751,304,,000086e9,ホクト,102
000089b8,face,246,486,353,546,,000086d4,キャサリン,102
000089b9,frame,882,424,1569,580,,,,102
000089ba,frame,596,0,768,304,,,,102
000089bb,body,1083,757,1158,839,,000086e9,ホクト,102
000089bc,text,1134,75,1222,224,ど…毒毒を……まいたんだ…,,,102
000089bd,face,1271,690,1308,714,,000086fc,アキラ,102
000089be,face,376,402,424,454,,00007510,Other,102
000089bf,body,246,439,360,564,,000086d4,キャサリン,102
000089c0,frame,77,332,238,568,,,,102
000089c1,frame,77,75,586,308,,,,102
000089c2,text,1028,876,1074,951,吸水口…かな？,,,102
000089c3,face,915,246,960,270,,000086fc,アキラ,102
000089c4,face,382,652,447,685,,000086d4,キャサリン,102
000089c5,text,679,882,753,974,からかわれてんだよおまえは,,,102
000089c6,frame,77,864,445,1095,,,,102
000089c7,text,1407,436,1554,582,あれだけの毒を浴びせられて…やつはまだ生きていた………死なないんだ！,,,102
000089c8,body,577,936,640,1060,,000086fc,アキラ,102
000089c9,frame,453,866,768,1099,,,,102
000089ca,face,1114,773,1138,788,,000086e9,ホクト,102
000089cb,face,917,1030,977,1069,,000086e9,ホクト,102
000089cc,frame,1099,859,1647,1169,,,,102
000089cd,body,286,988,419,1093,,000086e9,ホクト,102
000089ce,text,347,875,421,988,自分のウソを熱心に聞いてくれる男を,,,102
000089cf,frame,878,75,1216,411,,,,102
000089d0,face,1205,426,1396,578,,00007510,Other,102
