id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00008fe4,text,258,307,374,414,ななななんでココに切り裂き魔が出るって知ってんだー,,,22
00008fe5,frame,393,0,785,644,,,,22
00008fe6,text,977,744,1044,932,わーわー待て待てオレだオレ,,,22
00008fe7,face,1108,775,1157,810,,00008b0a,芹,22
00008fe8,text,1394,775,1428,903,……っく！,,,22
00008fe9,body,396,764,613,1169,,00008b0a,芹,22
00008fea,text,108,714,112,765,―…,,,22
00008feb,text,150,554,188,611,キッ,,,22
00008fec,face,1145,217,1339,398,,00008b0a,芹,22
00008fed,text,423,466,495,628,おまえ本当修行足りねえなフツーわかんだろ！,,,22
00008fee,text,206,70,384,256,―で何？　おまえ1人でコソコソこんな時間に例の犯人捕まえよーって魂胆か？ん？,,,22
00008fef,text,650,894,688,1016,ごめん…だっ…だってさ,,,22
00008ff0,face,1427,960,1568,1079,,00008b0a,芹,22
00008ff1,face,288,469,342,501,,00008b0a,芹,22
00008ff2,body,210,488,282,639,,00008b25,桜木哲太,22
00008ff3,text,406,674,571,743,しゅ～ん,,,22
00008ff4,body,1054,734,1214,967,,00008b0a,芹,22
00008ff5,text,63,802,141,896,カァァ,,,22
00008ff6,frame,869,542,1385,1167,,,,22
00008ff7,frame,38,299,214,641,,,,22
00008ff8,text,350,706,425,771,ポソポソ,,,22
00008ff9,body,36,0,171,287,,00008b0a,芹,22
00008ffa,face,1014,957,1129,1064,,00008b0a,芹,22
00008ffb,text,222,424,384,462,パニック,,,22
00008ffc,text,1041,235,1071,284,むご,,,22
00008ffd,frame,871,0,1613,541,,,,22
00008ffe,text,293,530,380,637,あほかあのビラ配りまくってるぞ,,,22
00008fff,body,1038,82,1486,540,,00008b0a,芹,22
00009000,body,393,122,764,641,,00008b25,桜木哲太,22
00009001,text,161,191,177,279,バレてる!!!,,,22
00009002,text,312,796,418,1073,一千万円手に入ったら哲太　喜んで大工仕事しないですむかなーって思って…,,,22
00009003,text,922,1074,933,1106,オレ？,,,22
00009004,frame,44,657,309,1169,,,,22
00009005,body,999,0,1613,540,,00008b25,桜木哲太,22
00009006,text,634,110,687,238,あー!!ててて哲太!!,,,22
00009007,text,617,705,670,828,うっ…おこってる,,,22
00009008,text,1290,606,1314,778,いったー,,,22
00009009,frame,1338,554,1608,1169,,,,22
0000900a,face,41,484,148,641,,00008b25,桜木哲太,22
0000900b,frame,34,0,403,289,,,,22
0000900c,text,1056,564,1191,686,ザマーミロ!!次はこんなもんじゃすまないぞあたしのこの鉄拳で……,,,22
0000900d,body,941,936,1129,1119,,00008b0a,芹,22
0000900e,body,116,680,308,1169,,00008b25,桜木哲太,22
0000900f,text,949,323,971,445,しまった!!,,,22
00009010,face,1226,918,1324,991,,00008b25,桜木哲太,22
00009011,face,460,850,561,903,,00008b0a,芹,22
00009012,text,1369,1002,1390,1065,どーだ,,,22
00009013,frame,903,935,1136,1119,,,,22
00009014,text,1459,608,1559,875,どうしようこいつすごい力だ思ってたより強い奴なのか!?こーなったら,,,22
00009015,text,63,314,186,466,このバカッ!!1人で危ないことすんなって言っただろ？,,,22
00009016,body,46,901,238,1169,,00008b0a,芹,22
00009017,frame,208,299,388,643,,,,22
00009018,body,1036,813,1363,1169,,00008b25,桜木哲太,22
00009019,frame,311,645,788,1169,,,,22
0000901a,face,158,797,293,911,,00008b25,桜木哲太,22
0000901b,face,36,74,134,263,,00008b0a,芹,22
0000901c,body,256,443,391,533,,00008b0a,芹,22
0000901d,face,481,284,667,430,,00008b25,桜木哲太,22
0000901e,text,944,1040,967,1080,へ？,,,22
0000901f,body,41,450,189,639,,00008b25,桜木哲太,22
00009020,text,1442,190,1536,431,ヤイ！キサマコンナトコロデナニシテイル！,,,22
00009021,body,1404,873,1606,1079,,00008b0a,芹,22
