id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00009787,body,542,189,702,349,0000969f,上原ユーリー,,53
00009788,text,1423,449,1533,588,,,ちがう！ニワトリにしてくれなど言ってない！,53
00009789,text,932,434,967,528,,,おちついてネ,53
0000978a,frame,420,59,741,361,,,,53
0000978b,face,480,899,541,945,0000969f,上原ユーリー,,53
0000978c,frame,1446,0,1611,273,,,,53
0000978d,text,1144,727,1253,933,,,ズルッ,53
0000978e,text,544,241,560,257,,,ん,53
0000978f,frame,1139,640,1357,1088,,,,53
00009790,text,636,373,701,499,,,なんだよオイ！急にヘコむなよ,53
00009791,frame,919,639,1137,1090,,,,53
00009792,body,68,0,413,495,0000969f,上原ユーリー,,53
00009793,frame,920,101,1217,626,,,,53
00009794,body,1248,814,1318,929,000096a8,樺染次郎,,53
00009795,text,948,139,1202,427,,,「マジック見せてくれたらほんの少し生き返す」って言ったから見せてやったのになんだこの姿は!?「ニワトリにしろ」なんて頼んでねーっつーの神のバカヤロー,53
00009796,body,1420,281,1526,462,0000969f,上原ユーリー,,53
00009797,text,1038,658,1079,799,,,なんでネ？さっき教えるって,53
00009798,text,108,742,134,866,,,忘れてたー,53
00009799,body,115,425,278,626,000096a8,樺染次郎,,53
0000979a,frame,232,645,416,862,,,,53
0000979b,text,112,977,118,1031,,,―…,53
0000979c,text,445,372,559,498,,,ちがうネ私…マジック大好きだから反論しないネ,53
0000979d,body,928,701,1024,813,0000969f,上原ユーリー,,53
0000979e,face,952,522,1001,567,0000969f,上原ユーリー,,53
0000979f,text,666,675,740,823,,,ほーう大会？マジックのか？,53
000097a0,face,951,750,1010,795,0000969f,上原ユーリー,,53
000097a1,text,1247,678,1271,748,,,教えない,53
000097a2,text,1390,705,1450,775,,,ああさっきのヤツか？,53
000097a3,body,1022,1001,1073,1062,000096a8,樺染次郎,,53
000097a4,body,268,842,427,1036,0000969f,上原ユーリー,,53
000097a5,face,306,697,410,820,0000969f,上原ユーリー,,53
000097a6,text,526,138,733,216,,,ず～ん,53
000097a7,text,1276,99,1501,265,,,なるほどネつまり亡くなった染次郎さんはこの世に未練が残って神様にニワトリにしてもらった訳ネ？,53
000097a8,frame,44,960,140,1169,,,,53
000097a9,body,47,1001,101,1169,000096a8,樺染次郎,,53
000097aa,frame,417,366,741,639,,,,53
000097ab,text,1030,454,1044,524,,,まぁまぁ,53
000097ac,face,1451,315,1500,358,0000969f,上原ユーリー,,53
000097ad,frame,34,0,416,641,,,,53
000097ae,text,301,484,305,540,,,―…,53
000097af,body,446,864,555,1066,0000969f,上原ユーリー,,53
000097b0,body,1073,321,1219,624,000096a8,樺染次郎,,53
000097b1,body,920,490,1026,625,0000969f,上原ユーリー,,53
000097b2,face,1538,878,1576,924,0000969f,上原ユーリー,,53
000097b3,text,935,124,960,202,,,見せてー,53
000097b4,body,600,522,704,623,000096a8,樺染次郎,,53
000097b5,frame,1354,641,1609,1089,,,,53
000097b6,body,422,113,545,357,000096a8,樺染次郎,,53
000097b7,body,541,907,750,1106,000096a8,樺染次郎,,53
000097b8,frame,1219,0,1611,641,,,,53
000097b9,body,266,646,415,858,0000969f,上原ユーリー,,53
000097ba,text,60,70,174,378,,,さっきのマジック感動したネそれ…今度の大会でお客さんに見せたかったただそれだけネ,53
000097bb,face,161,172,403,373,0000969f,上原ユーリー,,53
000097bc,body,1359,941,1450,1048,000096a8,樺染次郎,,53
000097bd,frame,41,650,431,1092,,,,53
000097be,body,1141,817,1254,1088,0000969f,上原ユーリー,,53
000097bf,text,1520,651,1579,792,,,ところでその―…マジックだけどネ,53
000097c0,face,485,517,546,590,0000969f,上原ユーリー,,53
000097c1,face,975,124,1045,183,000097c2,神様,,53
000097c3,body,949,102,1066,246,000097c2,神様,,53
000097c4,body,419,482,579,636,0000969f,上原ユーリー,,53
000097c5,body,1253,441,1357,608,000096a8,樺染次郎,,53
000097c6,body,194,907,255,995,000096a8,樺染次郎,,53
000097c7,frame,385,639,775,1168,,,,53
000097c8,text,218,818,338,1092,,,ガーン,53
000097c9,text,417,667,592,824,,,うん！今度「全国中高生マジック大会」に個人出場するネそこで優勝しなきゃ退部―,53
000097ca,text,350,106,366,158,,,でも…,53
000097cb,text,980,871,1074,1078,,,お前アホか？マジシャンがタネ明かしたらおしまいじゃねーかゴケッ,53
000097cc,body,1522,841,1610,1090,0000969f,上原ユーリー,,53
000097cd,text,637,83,654,154,,,そんなぁ,53
000097ce,face,296,896,402,973,0000969f,上原ユーリー,,53
000097cf,text,1057,116,1077,159,,,マジック,53
