id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0000a1b3,frame,43,391,741,661,,,,4
0000a1b4,body,533,89,743,406,0000a1b5,男A,,4
0000a1b6,body,1226,477,1408,619,0000a1b5,男A,,4
0000a1b7,frame,1332,702,1653,1163,,,,4
0000a1b8,text,1260,721,1313,826,,,まだまだやめんよ,4
0000a1b9,face,1189,107,1354,240,0000a1b5,男A,,4
0000a1ba,face,559,141,674,331,0000a1b5,男A,,4
0000a1bb,face,1301,496,1355,572,0000a1b5,男A,,4
0000a1bc,frame,925,1,1617,376,,,,4
0000a1bd,body,1070,16,1618,361,0000a1b5,男A,,4
0000a1be,frame,479,661,742,1111,,,,4
0000a1bf,text,1511,425,1622,522,,,お…おい！白状する!!全部　白状するから...,4
0000a1c0,text,950,86,1083,233,,,足...　俺の足…　一体どうなってんだ...,4
0000a1c1,frame,39,65,525,392,,,,4
0000a1c2,text,942,947,1037,1051,,,お前はウソツキだからな,4
0000a1c3,frame,925,701,1323,1123,,,,4
0000a1c4,text,73,418,164,628,,,ぐぁああぁあああ!!,4
0000a1c5,text,1601,848,1623,935,,,............,4
0000a1c6,frame,921,406,1649,672,,,,4
0000a1c7,text,434,98,517,259,,,そういえば　今夜は依頼が　もう一件入っていたな,4
0000a1c8,face,1417,761,1516,876,0000a1c9,シェイン・ベルモンド,,4
0000a1ca,body,120,65,498,392,0000a1c9,シェイン・ベルモンド,,4
0000a1cb,text,991,426,1039,535,,,これ以上はやめてくれ!!,4
0000a1cc,text,60,87,130,195,,,のんびりはしてられんようだ,4
0000a1cd,text,1552,99,1599,252,,,ゼェ…　ゼェ…,4
0000a1ce,body,1334,732,1605,1163,0000a1c9,シェイン・ベルモンド,,4
0000a1cf,frame,43,672,470,1149,,,,4
0000a1d0,face,239,65,338,144,0000a1c9,シェイン・ベルモンド,,4
0000a1d1,text,695,25,718,180,,,―...!!,4
0000a1d2,frame,536,4,741,409,,,,4
