id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0000a83e,text,960,48,1009,104,！！,,,40
0000a83f,text,1304,805,1334,1055,ぐぁああああ！！,,,40
0000a840,frame,944,790,1137,1155,,,,40
0000a841,text,1374,884,1412,931,！！,,,40
0000a842,body,996,97,1093,300,,0000a69f,マシュワル,40
0000a843,frame,1149,784,1355,1169,,,,40
0000a844,face,135,132,352,438,,0000a1c9,シェイン・ベルモンド,40
0000a845,text,602,950,697,1133,なぜならベルモンドは魔女の力により,,,40
0000a846,frame,28,475,712,691,,,,40
0000a847,frame,942,562,1629,764,,,,40
0000a848,body,1074,572,1489,762,,0000a69f,マシュワル,40
0000a849,text,663,723,682,835,あ...あぅ...,,,40
0000a84a,face,1203,578,1396,756,,0000a69f,マシュワル,40
0000a84b,body,1150,787,1357,1169,,0000a69f,マシュワル,40
0000a84c,frame,1369,0,1651,558,,,,40
0000a84d,body,1426,863,1651,1167,,0000a69f,マシュワル,40
0000a84e,text,55,496,159,675,応えよ　“プロシュットゥのアジトはどこだ？,,,40
0000a84f,face,591,252,660,363,,0000a69f,マシュワル,40
0000a850,frame,944,2,1357,548,,,,40
0000a851,frame,527,20,714,469,,,,40
0000a852,text,1099,793,1121,839,！,,,40
0000a853,frame,27,708,714,918,,,,40
0000a854,body,76,17,423,455,,0000a1c9,シェイン・ベルモンド,40
0000a855,body,527,216,714,468,,0000a69f,マシュワル,40
0000a856,frame,0,916,715,1169,,,,40
0000a857,body,251,717,496,906,,0000a69f,マシュワル,40
0000a858,text,22,1006,86,1139,“解錠”,,,40
0000a859,frame,1363,773,1649,1169,,,,40
0000a85a,body,945,872,1128,1152,,0000a1c9,シェイン・ベルモンド,40
0000a85b,text,586,507,688,673,“我　汝の深き黒淵に偽りなき白瀬を望む“,,,40
0000a85c,text,1610,583,1640,703,ひっ...！！,,,40
0000a85d,text,383,32,511,452,"ベルモンドの尋問の要は相手の心に「隙」を作ることにある！！
隙を見せたら最後　彼の問いかけに抗うことはできない",,,40
0000a85e,face,300,726,421,903,,0000a69f,マシュワル,40
0000a85f,text,52,722,128,877,相手が言葉で答える必要はない―,,,40
0000a860,face,1153,853,1343,1164,,0000a69f,マシュワル,40
0000a861,face,1012,929,1042,966,,0000a1c9,シェイン・ベルモンド,40
0000a862,face,1574,881,1612,930,,0000a69f,マシュワル,40
0000a863,frame,0,18,519,464,,,,40
