id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0000d407,body,428,889,560,1147,0000b32a,流石したたか,,95
0000d408,face,193,171,221,253,0000b31a,斉藤つとむ,,95
0000d409,body,1376,190,1580,317,0000b32a,流石したたか,,95
0000d40a,body,258,822,343,1085,0000b320,大貫アキラ,,95
0000d40b,text,1404,86,1548,142,,,何かおもしろい遊びないかな～～,95
0000d40c,frame,1151,88,1581,322,,,,95
0000d40d,body,1151,87,1320,317,0000b333,本田原海,,95
0000d40e,body,1420,892,1557,1093,0000b333,本田原海,,95
0000d40f,face,975,110,1012,222,0000b333,本田原海,,95
0000d410,face,1453,229,1513,305,0000b32a,流石したたか,,95
0000d411,body,94,585,381,785,0000b333,本田原海,,95
0000d412,face,134,950,197,1007,0000ce12,本田原空,,95
0000d413,text,1080,520,1131,602,,,イイヤ難でも・・・,95
0000d414,text,82,822,236,919,,,おっ今度は何する気だ！？いつの間にか男ばかりふえやがって,95
0000d415,body,1156,346,1454,614,0000b333,本田原海,,95
0000d416,body,929,772,1054,1036,0000b32a,流石したたか,,95
0000d417,text,1263,664,1322,785,,,じょ冗談！男がそんなことできるかっ！,95
0000d418,face,1284,971,1363,1077,0000b32a,流石したたか,,95
0000d419,face,1038,362,1079,420,0000b333,本田原海,,95
0000d41a,face,574,642,632,732,0000b32a,流石したたか,,95
0000d41b,body,258,357,407,556,0000b32a,流石したたか,,95
0000d41c,face,615,890,655,936,0000b333,本田原海,,95
0000d41d,body,190,487,399,555,0000b31a,斉藤つとむ,,95
0000d41e,body,1370,487,1575,623,0000b32a,流石したたか,,95
0000d41f,face,652,127,687,194,0000b320,大貫アキラ,,95
0000d420,body,381,647,487,786,0000b31a,斉藤つとむ,,95
0000d421,text,911,549,937,605,,,何？,95
0000d422,text,370,822,437,882,,,よしそーこなくっちゃ！,95
0000d423,face,1438,926,1486,991,0000b333,本田原海,,95
0000d424,face,1344,693,1389,832,0000b32a,流石したたか,,95
0000d425,body,1013,346,1097,483,0000b333,本田原海,,95
0000d426,body,910,415,1079,623,0000b32a,流石したたか,,95
0000d427,text,914,351,998,416,,,どーしたのしたたか君？,95
0000d428,body,310,899,439,1130,0000b31a,斉藤つとむ,,95
0000d429,frame,907,649,1243,1094,,,,95
0000d42a,frame,82,815,247,1099,,,,95
0000d42b,text,1336,263,1365,323,,,そそーだね,95
0000d42c,text,1447,349,1561,444,,,あっそーだしたたか君！,95
0000d42d,body,1021,692,1225,1076,0000b333,本田原海,,95
0000d42e,frame,80,584,757,785,,,,95
0000d42f,frame,906,89,1139,315,,,,95
0000d430,body,1408,654,1553,857,0000b333,本田原海,,95
0000d431,face,1437,683,1492,751,0000b333,本田原海,,95
0000d432,body,472,593,569,785,0000b320,大貫アキラ,,95
0000d433,body,100,156,264,303,0000b31a,斉藤つとむ,,95
0000d434,text,915,661,1028,730,,,あたしがママでしたたか君が子供役ね,95
0000d435,text,170,82,263,166,,,ぶわははははは,95
0000d436,frame,259,812,756,1169,,,,95
0000d437,frame,85,331,442,555,,,,95
0000d438,body,907,89,1028,318,0000b333,本田原海,,95
0000d439,text,1520,885,1569,955,,,おねが～い,95
0000d43a,text,441,600,474,653,,,あれ海ちゃん,95
0000d43b,body,76,447,274,558,0000b320,大貫アキラ,,95
0000d43c,text,672,599,746,699,,,こいつらも仲間に入るってさ,95
0000d43d,body,247,99,415,305,0000b32a,流石したたか,,95
0000d43e,text,660,823,742,960,,,小学生にしてはかんろくがあるからしたたか君はパパ役ね,95
0000d43f,body,463,194,597,550,0000b31a,斉藤つとむ,,95
0000d440,text,550,57,634,170,,,こんにちは～っ！,95
0000d441,text,1186,653,1239,798,,,あははっ似合う似合う！,95
0000d442,text,413,337,438,444,,,なんだ！？,95
0000d443,frame,466,2,754,556,,,,95
0000d444,text,91,335,154,456,,,イイヤその遊びにきたんだけど・・・,95
0000d445,face,348,929,395,996,0000b31a,斉藤つとむ,,95
