id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0000d465,text,86,911,132,1030,もーいい次へいこ次へ！,,,96
0000d466,text,1503,382,1556,495,ただいま～っ,,,96
0000d467,body,885,97,972,341,,0000b333,本田原海,96
0000d468,text,894,965,912,1002,？,,,96
0000d469,body,1200,400,1340,601,,0000b320,大貫アキラ,96
0000d46a,body,1032,233,1227,345,,0000b31a,斉藤つとむ,96
0000d46b,frame,81,677,533,871,,,,96
0000d46c,body,1331,642,1443,1052,,0000b333,本田原海,96
0000d46d,face,230,990,245,1045,,0000b32a,流石したたか,96
0000d46e,face,559,283,666,414,,0000b32a,流石したたか,96
0000d46f,body,924,627,1076,838,,0000b333,本田原海,96
0000d470,text,459,907,520,1040,「ただいまのキラーカーン」！,,,96
0000d471,face,1276,421,1308,473,,0000b320,大貫アキラ,96
0000d472,face,1114,909,1218,1028,,0000b32a,流石したたか,96
0000d473,text,350,65,427,158,ハイ「ただいまのキックボクシング」！,,,96
0000d474,text,566,1005,627,1074,う　うまいぞ海,,,96
0000d475,text,894,764,946,833,なぁにパパ,,,96
0000d476,frame,558,458,758,1088,,,,96
0000d477,text,1313,640,1326,780,毎日ごくろーさま,,,96
0000d478,text,447,467,523,577,じゃあ「ただいまのキンチョール」ね！？,,,96
0000d479,body,601,687,692,789,,0000b32a,流石したたか,96
0000d47a,text,1149,58,1216,181,余計なアドリブ入れるなっ！,,,96
0000d47b,frame,36,28,448,440,,,,96
0000d47c,body,550,606,602,789,,0000b333,本田原海,96
0000d47d,text,87,681,136,826,ちがうったら～っ,,,96
0000d47e,body,317,469,532,653,,0000b333,本田原海,96
0000d47f,face,626,703,646,735,,0000b32a,流石したたか,96
0000d480,frame,1246,70,1569,347,,,,96
0000d481,body,1242,97,1347,344,,0000b333,本田原海,96
0000d482,face,181,724,265,841,,0000b32a,流石したたか,96
0000d483,frame,885,42,1233,344,,,,96
0000d484,body,713,635,743,771,,0000b320,大貫アキラ,96
0000d485,body,561,247,756,432,,0000b32a,流石したたか,96
0000d486,face,1040,90,1111,181,,0000b32a,流石したたか,96
0000d487,frame,467,2,757,226,,,,96
0000d488,face,1354,428,1389,509,,0000b32a,流石したたか,96
0000d489,body,909,866,1051,1089,,0000b333,本田原海,96
0000d48a,text,89,471,135,593,ちがうよお～っ,,,96
0000d48b,body,310,692,483,871,,0000b333,本田原海,96
0000d48c,body,1358,76,1462,225,,0000b32a,流石したたか,96
0000d48d,text,896,872,914,917,？,,,96
0000d48e,text,65,358,206,429,ばぶっ,,,96
0000d48f,face,571,618,591,648,,0000b333,本田原海,96
0000d490,text,252,901,319,960,キエーモンゴリアンチョップ,,,96
0000d491,face,905,129,950,205,,0000b333,本田原海,96
0000d492,face,1159,268,1230,342,,0000b31a,斉藤つとむ,96
0000d493,body,283,922,479,1091,,0000b333,本田原海,96
0000d494,body,1331,213,1516,343,,0000b31a,斉藤つとむ,96
0000d495,face,1477,869,1535,941,,0000b32a,流石したたか,96
0000d496,text,685,33,755,111,あっあいつ～！,,,96
0000d497,text,1168,375,1240,445,あっパパだ！,,,96
0000d498,text,568,467,743,588,そそうじゃないだろママ～どこの世界にただいまのキックボクシングする夫婦がありますか！！,,,96
0000d499,face,568,45,639,124,,0000ce12,本田原空,96
0000d49a,text,1226,642,1287,744,ところでママ何か忘れていないか？,,,96
0000d49b,text,470,29,536,121,バカッよせっやめろ！,,,96
0000d49c,face,719,647,741,685,,0000b320,大貫アキラ,96
0000d49d,face,1416,252,1467,318,,0000b31a,斉藤つとむ,96
0000d49e,body,91,690,340,869,,0000b32a,流石したたか,96
0000d49f,body,500,22,734,216,,0000ce12,本田原空,96
0000d4a0,face,1131,683,1191,754,,0000b32a,流石したたか,96
0000d4a1,face,181,504,229,609,,0000b32a,流石したたか,96
0000d4a2,body,1074,392,1164,565,,0000b31a,斉藤つとむ,96
0000d4a3,text,485,246,531,370,あーっそおかあ！,,,96
0000d4a4,text,1028,870,1093,990,ホラただいまのキ・・・キッ・・・キ,,,96
0000d4a5,body,891,371,1080,601,,0000b333,本田原海,96
0000d4a6,body,1079,885,1288,1090,,0000b32a,流石したたか,96
0000d4a7,face,1381,673,1422,726,,0000b333,本田原海,96
0000d4a8,text,894,625,929,704,え？,,,96
0000d4a9,text,463,685,518,783,「ただいまのキンカン」！,,,96
0000d4aa,face,1027,405,1065,462,,0000b333,本田原海,96
0000d4ab,face,1104,410,1145,462,,0000b31a,斉藤つとむ,96
0000d4ac,frame,81,458,527,652,,,,96
0000d4ad,face,1019,668,1062,741,,0000b333,本田原海,96
0000d4ae,frame,470,243,759,429,,,,96
0000d4af,frame,887,628,1293,837,,,,96
0000d4b0,face,1384,96,1414,137,,0000b32a,流石したたか,96
0000d4b1,face,948,890,996,969,,0000b333,本田原海,96
0000d4b2,body,1094,654,1237,834,,0000b32a,流石したたか,96
0000d4b3,text,602,623,611,645,？,,,96
0000d4b4,face,665,642,688,670,,0000b31a,斉藤つとむ,96
0000d4b5,frame,885,369,1572,603,,,,96
0000d4b6,frame,1309,629,1566,1091,,,,96
0000d4b7,text,1238,869,1291,1010,やだな～あれだよあれ！,,,96
0000d4b8,text,1478,81,1559,184,ではパパであるぼくが会社から帰宅するところから,,,96
0000d4b9,frame,889,865,1296,1093,,,,96
0000d4ba,body,638,633,706,735,,0000b31a,斉藤つとむ,96
0000d4bb,text,698,259,744,377,キ・・・キッ・・・キッ,,,96
0000d4bc,face,1282,139,1308,212,,0000b333,本田原海,96
0000d4bd,body,90,106,452,434,,0000b333,本田原海,96
0000d4be,body,130,958,260,1092,,0000b32a,流石したたか,96
0000d4bf,body,983,71,1149,274,,0000b32a,流石したたか,96
0000d4c0,face,362,495,414,561,,0000b333,本田原海,96
0000d4c1,text,1525,249,1561,335,ね～ママおっぱい～,,,96
0000d4c2,body,80,163,284,379,,0000b32a,流石したたか,96
0000d4c3,face,267,131,284,192,,0000b333,本田原海,96
0000d4c4,face,344,729,390,802,,0000b333,本田原海,96
0000d4c5,body,1437,838,1569,1064,,0000b32a,流石したたか,96
0000d4c6,text,891,375,939,526,お帰りなさいあなた～,,,96
0000d4c7,text,1466,638,1568,764,いや～きょうはまた残業でまいっちゃたよ,,,96
0000d4c8,body,1335,392,1518,602,,0000b32a,流石したたか,96
0000d4c9,body,79,472,254,653,,0000b32a,流石したたか,96
0000d4ca,frame,84,897,539,1091,,,,96
