id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0000dbb9,face,158,346,173,363,0000d57a,鉄扇,,31
0000dbba,body,1332,530,1571,824,0000d9b8,Other（赤穂浪士）,,31
0000dbbb,text,359,818,386,1021,,,おのれーーー！！,31
0000dbbc,text,709,51,749,216,,,があああ,31
0000dbbd,face,964,571,1061,668,0000d57a,鉄扇,,31
0000dbbe,face,168,1055,205,1092,0000d57a,鉄扇,,31
0000dbbf,text,1113,536,1170,612,,,"三吉！！
今だ！！",31
0000dbc0,body,0,1033,120,1134,0000d9b8,Other（赤穂浪士）,,31
0000dbc1,text,74,149,133,264,,,"ふれても
おらんのに
はじき返した！？",31
0000dbc2,body,15,413,129,530,0000d8ef,三吉,,31
0000dbc3,body,323,142,493,256,0000d9b8,Other（赤穂浪士）,,31
0000dbc4,body,217,377,263,457,0000d8bc,慎悟,,31
0000dbc5,frame,415,331,759,1168,,,,31
0000dbc6,text,127,817,151,972,,,うっひょ～～,31
0000dbc7,body,960,535,1202,708,0000d57a,鉄扇,,31
0000dbc8,frame,76,0,316,289,,,,31
0000dbc9,body,1290,782,1540,1072,0000d57a,鉄扇,,31
0000dbca,body,922,57,1044,245,0000d57a,鉄扇,,31
0000dbcb,body,130,406,214,483,0000d8ef,三吉,,31
0000dbcc,frame,901,0,1193,248,,,,31
0000dbcd,text,1445,318,1568,437,,,"だまれ！！
おのれらごとき
下郎に
我ら赤穂
積年の恨みなど
わかるものか！！",31
0000dbce,face,446,196,481,238,0000d57a,鉄扇,,31
0000dbcf,text,291,556,395,713,,,"箱に封じ込めた
雷様に ヘソォ
取られたい奴は
かかっといで！！",31
0000dbd0,text,1167,735,1190,802,,,ヘイ！！,31
0000dbd1,body,82,37,224,202,0000d9b8,Other（赤穂浪士）,,31
0000dbd2,frame,901,278,1582,484,,,,31
0000dbd3,face,66,423,102,471,0000d8ef,三吉,,31
0000dbd4,body,422,190,528,289,0000d57a,鉄扇,,31
0000dbd5,body,366,0,687,280,0000d9b8,Other（赤穂浪士）,,31
0000dbd6,face,1450,594,1491,639,0000d9b8,Other（赤穂浪士）,,31
0000dbd7,face,1398,95,1429,150,0000d57a,鉄扇,,31
0000dbd8,text,315,349,394,483,,,"骨董屋から
買ったものを
一晩かけて
直したんだぞォ！！",31
0000dbd9,text,428,344,505,625,,,"大エレキテルって
しろもんだい！！",31
0000dbda,body,146,336,231,381,0000d57a,鉄扇,,31
0000dbdb,face,1238,596,1280,641,0000d9b8,Other（赤穂浪士）,,31
0000dbdc,text,243,60,301,143,,,"な…なんだ
今のは！？
光ったぞ！！",31
0000dbdd,face,1376,812,1416,850,0000d57a,鉄扇,,31
0000dbde,body,416,574,758,1169,0000d57a,鉄扇,,31
0000dbdf,frame,1,738,406,1168,,,,31
0000dbe0,text,59,310,108,401,,,"自分は
一人で寝てた
クセに",31
0000dbe1,body,1202,554,1314,824,0000d9b8,Other（赤穂浪士）,,31
0000dbe2,text,603,386,746,552,,,"おどろいたか
ベラボーめ！！
これぞ風来山人こと
平賀源内が
その昔 作りし",31
0000dbe3,body,1121,280,1433,480,0000d996,赤穂浪士のボス,,31
0000dbe4,text,1122,60,1178,227,,,"あんたら
あの四十七士の想いが
わかんねェらしいな",31
0000dbe5,text,903,82,950,175,,,"歌舞伎を
見たことないんじゃ
ないのォ…",31
0000dbe6,face,107,542,266,728,0000d57a,鉄扇,,31
0000dbe7,body,91,541,265,727,0000d57a,鉄扇,,31
0000dbe8,frame,0,285,407,531,,,,31
0000dbe9,face,1139,968,1180,1018,0000d8ef,三吉,,31
0000dbea,frame,901,719,1115,1168,,,,31
0000dbeb,body,1385,91,1491,248,0000d57a,鉄扇,,31
0000dbec,face,510,620,675,820,0000d57a,鉄扇,,31
0000dbed,face,209,198,274,263,0000d9b8,Other（赤穂浪士）,,31
0000dbee,frame,901,512,1204,723,,,,31
0000dbef,frame,321,0,761,339,,,,31
0000dbf0,frame,1200,0,1653,252,,,,31
0000dbf1,text,1549,58,1612,193,,,"せめてもの
冥土のみやげって
訳ですか",31
0000dbf2,face,161,71,212,142,0000d9b8,Other（赤穂浪士）,,31
0000dbf3,frame,0,527,407,742,,,,31
0000dbf4,frame,1197,514,1653,1169,,,,31
0000dbf5,body,102,1033,260,1149,0000d57a,鉄扇,,31
0000dbf6,body,240,1000,307,1106,0000d9b8,Other（赤穂浪士）,,31
0000dbf7,face,1285,319,1425,480,0000d996,赤穂浪士のボス,,31
0000dbf8,frame,1092,703,1255,1166,,,,31
0000dbf9,text,1231,54,1268,154,,,"ごていねいな
こった",31
0000dbfa,face,369,186,390,208,0000d9b8,Other（赤穂浪士）,,31
0000dbfb,body,159,160,311,290,0000d9b8,Other（赤穂浪士）,,31
0000dbfc,text,948,303,1007,437,,,"お家の再興なくば
生きてゆけぬ
我らの立場が！！",31
0000dbfd,face,954,116,1041,196,0000d57a,鉄扇,,31
0000dbfe,text,1575,535,1609,668,,,死ねェい,31
0000dbff,body,1098,956,1217,1110,0000d8ef,三吉,,31
