id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0000e73b,text,1586,1024,1601,1088,えーっと,,,84
0000e73c,text,1543,607,1610,738,"数とばして勘定
するなんてのは
ナシですぜ…",,,84
0000e73d,text,1287,365,1344,482,"たった三文でも
こちとら商売
ですからねェ！！",,,84
0000e73e,frame,430,0,789,853,,,,84
0000e73f,frame,897,0,1237,1169,,,,84
0000e740,frame,0,779,753,1169,,,,84
0000e741,text,1259,993,1370,1084,"数とばして
勘定する
なんてのは
ナシって奴
ですかい？",,,84
0000e742,body,277,247,401,576,,0000e4ff,長岡,84
0000e743,frame,1248,335,1653,519,,,,84
0000e744,text,1373,99,1448,300,"ホラ あの雨の日！
あれ 落語の
“時そば”ってんでしょ",,,84
0000e745,text,469,71,521,270,"その手が…
あったか…",,,84
0000e746,text,1334,572,1366,699,"い…今
あんた なんてった",,,84
0000e747,face,189,394,269,467,,0000e502,堀田,84
0000e748,frame,1248,70,1465,332,,,,84
0000e749,frame,0,574,421,750,,,,84
0000e74a,frame,108,27,429,150,,,,84
0000e74b,frame,1383,543,1653,939,,,,84
0000e74c,body,41,181,164,354,,0000e557,阿部,84
0000e74d,frame,1246,964,1653,1169,,,,84
0000e74e,frame,0,332,276,471,,,,84
0000e74f,body,913,456,1114,1049,,0000d57a,鉄扇,84
0000e750,text,1274,213,1312,266,"チッ
ばれたか…",,,84
0000e751,face,1034,489,1087,541,,0000d57a,鉄扇,84
0000e752,frame,1466,0,1653,308,,,,84
0000e753,frame,272,171,403,575,,,,84
0000e754,face,1442,1000,1506,1069,,0000e460,そば屋,84
0000e755,body,71,744,752,1168,,0000d57a,鉄扇,84
0000e756,body,91,341,275,471,,0000e502,堀田,84
0000e757,body,430,139,786,849,,0000d57a,鉄扇,84
0000e758,face,309,306,400,422,,0000e4ff,長岡,84
0000e759,text,1314,829,1331,901,その後！！,,,84
0000e75a,face,1546,155,1613,231,,0000e460,そば屋,84
0000e75b,text,1495,48,1532,147,"ひどいっスよ
師匠ーー！！",,,84
0000e75c,text,78,617,94,690,やっと…,,,84
0000e75d,frame,0,0,426,573,,,,84
0000e75e,body,1383,744,1548,937,,0000d57a,鉄扇,84
0000e75f,body,1393,992,1588,1168,,0000e460,そば屋,84
0000e760,face,1305,293,1331,319,,0000d57a,鉄扇,84
0000e761,face,430,338,717,631,,0000d57a,鉄扇,84
0000e762,face,1412,753,1481,836,,0000d57a,鉄扇,84
0000e763,body,1467,137,1652,307,,0000e460,そば屋,84
0000e764,text,520,904,568,1057,"カラクリが
わかったよ……",,,84
0000e765,face,124,771,242,895,,0000d57a,鉄扇,84
0000e766,face,41,243,164,354,,0000e557,阿部,84
0000e767,text,1526,359,1606,510,"あれから
いくら数えても
計算が合わないんで
ピンと来たんでサ",,,84
0000e768,frame,1246,544,1377,936,,,,84
0000e769,frame,38,0,164,353,,,,84
0000e76a,text,1261,724,1310,782,"え…
こちとら
商売…",,,84
0000e76b,body,1305,277,1353,333,,0000d57a,鉄扇,84
