id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0000eda6,text,1325,358,1375,526,茜さんに相談してみましょう,,,7
0000eda7,frame,892,1000,1267,1133,,,,7
0000eda8,face,479,731,792,1050,,0000eda9,茜,7
0000edaa,face,597,206,697,298,,0000eda9,茜,7
0000edab,face,1414,250,1464,290,,0000ed7b,佐渡,7
0000edac,face,190,271,220,302,,0000edad,街子,7
0000edae,body,1061,537,1416,772,,0000ed7b,佐渡,7
0000edaf,body,360,270,610,496,,0000edad,街子,7
0000edb0,body,100,252,257,436,,0000edad,街子,7
0000edb1,face,267,284,301,322,,0000eda9,茜,7
0000edb2,text,689,339,727,450,まあアパートを！？,,,7
0000edb3,body,590,162,761,497,,0000eda9,茜,7
0000edb4,text,373,598,417,671,この人が茜さん,,,7
0000edb5,text,371,232,436,361,おまえわるなんか悪いことしたんだろ,,,7
0000edb6,face,1242,270,1337,347,,0000ed7b,佐渡,7
0000edb7,body,251,270,333,386,,0000eda9,茜,7
0000edb8,frame,897,172,1098,512,,,,7
0000edb9,frame,85,521,305,712,,,,7
0000edba,body,1439,353,1535,472,,0000ecb7,堀田兵衛,7
0000edbb,body,1175,232,1345,533,,0000ed7b,佐渡,7
0000edbc,body,261,406,347,500,,0000ed7b,佐渡,7
0000edbd,body,223,609,294,706,,0000ecb7,堀田兵衛,7
0000edbe,body,129,366,211,476,,0000ecb7,堀田兵衛,7
0000edbf,body,1236,832,1374,952,,0000ed7b,佐渡,7
0000edc0,body,1398,243,1483,470,,0000ed7b,佐渡,7
0000edc1,text,1415,95,1464,227,そうだいいことがある,,,7
0000edc2,text,96,743,292,970,もしよければこの銀河荘へいらしてくださいな　一番上の階にちょうど空き部屋があるわ,,,7
0000edc3,text,106,62,192,196,あっ　まっかになった　可愛い♡,,,7
0000edc4,face,456,300,535,368,,0000edad,街子,7
0000edc5,text,268,506,341,608,ホーッ美人だなァ,,,7
0000edc6,text,922,611,1025,720,あの女性なら相談にのってくれるかもしれない,,,7
0000edc7,body,888,219,1098,512,,0000ecb7,堀田兵衛,7
0000edc8,text,1507,819,1536,927,佐渡くん♡,,,7
0000edc9,text,1054,106,1073,123,？,,,7
0000edca,text,82,512,203,671,でしょー　ぼくの家系の突然変異なんすよ,,,7
0000edcb,frame,356,80,760,500,,,,7
0000edcc,frame,82,2,346,499,,,,7
0000edcd,face,159,645,208,680,,0000ed7b,佐渡,7
0000edce,text,1152,799,1233,951,とっとにかく行ってみましょう,,,7
0000edcf,text,300,940,371,1070,サルワタリのいとこだなんて信じられないな,,,7
0000edd0,frame,1143,799,1564,956,,,,7
0000edd1,frame,41,496,795,1169,,,,7
0000edd2,face,236,635,282,675,,0000ecb7,堀田兵衛,7
0000edd3,face,1002,115,1187,427,,0000ecb7,堀田兵衛,7
0000edd4,text,1420,557,1556,690,ぽくのいとこなんですけど渋谷でアパート経営やってるんです,,,7
0000edd5,text,934,162,956,275,あかねさん？,,,7
0000edd6,body,116,623,212,710,,0000ed7b,佐渡,7
0000edd7,body,888,0,1277,428,,0000ecb7,堀田兵衛,7
0000edd8,frame,889,540,1563,773,,,,7
0000edd9,frame,892,3,1533,536,,,,7
0000edda,frame,934,799,1562,1169,,,,7
0000eddb,face,1376,842,1467,953,,0000ecb7,堀田兵衛,7
0000eddc,face,1237,870,1316,951,,0000ed7b,佐渡,7
0000eddd,face,911,339,1048,453,,0000ecb7,堀田兵衛,7
0000edde,body,356,557,793,1169,,0000eda9,茜,7
0000eddf,body,1345,797,1508,957,,0000ecb7,堀田兵衛,7
0000ede0,face,1081,645,1404,770,,0000ed7b,佐渡,7
0000ede1,text,218,84,338,220,これっまちこちゃん初対面の方になんて口のきき方をするの,,,7
0000ede2,frame,1396,86,1566,472,,,,7
