id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0000fa0c,body,1096,743,1250,985,0000ed39,エリー,,68
0000fa0d,body,892,622,1210,984,0000ecb7,堀田兵衛,,68
0000fa0e,frame,90,82,770,315,,,,68
0000fa0f,body,690,419,766,574,0000ed39,エリー,,68
0000fa10,frame,91,612,347,776,,,,68
0000fa11,frame,92,338,607,577,,,,68
0000fa12,face,709,468,767,558,0000ed39,エリー,,68
0000fa13,face,1132,125,1214,224,0000ed39,エリー,,68
0000fa14,frame,1014,301,1135,597,,,,68
0000fa15,frame,73,864,783,1169,,,,68
0000fa16,body,455,461,578,571,0000ed39,エリー,,68
0000fa17,body,231,1080,271,1165,0000ecb7,堀田兵衛,,68
0000fa18,text,1350,465,1398,641,,,なんでこうなっちまうんだ,68
0000fa19,text,113,108,159,192,,,しっしまった！,68
0000fa1a,face,1138,363,1264,513,0000ed39,エリー,,68
0000fa1b,body,959,987,1295,1166,0000ed39,エリー,,68
0000fa1c,body,613,459,728,574,0000ecb7,堀田兵衛,,68
0000fa1d,body,116,84,343,311,0000ecb7,堀田兵衛,,68
0000fa1e,text,730,344,755,423,,,見せて！,68
0000fa1f,frame,601,338,767,574,,,,68
0000fa20,text,1070,311,1121,391,,,兵衛ごめんね,68
0000fa21,body,434,143,634,312,0000ed39,エリー,,68
0000fa22,text,1212,96,1241,208,,,へんな兵衛！,68
0000fa23,text,307,630,331,731,,,ああ…おれ,68
0000fa24,text,902,337,917,406,,,………,68
0000fa25,face,460,210,538,268,0000ed39,エリー,,68
0000fa26,text,648,90,730,310,,,あーっ♡,68
0000fa27,text,694,612,724,691,,,ケチ,68
0000fa28,face,1367,575,1557,999,0000ecb7,堀田兵衛,,68
0000fa29,frame,261,911,768,977,,,,68
0000fa2a,body,171,661,268,777,0000ecb7,堀田兵衛,,68
0000fa2b,text,906,90,1002,244,,,あんさんには今のエリーはんの裸は刺激的すぎるんだす,68
0000fa2c,text,1026,343,1041,416,,,………,68
0000fa2d,text,97,340,185,478,,,これじゃ以前とちっとも変わっとらんじゃないか～～っ,68
0000fa2e,frame,888,302,1008,598,,,,68
0000fa2f,text,1222,308,1247,351,,,あ…,68
0000fa30,text,949,308,998,444,,,ねーっこっち向いてよ,68
0000fa31,text,656,357,683,424,,,ええ!?,68
0000fa32,body,106,344,401,571,0000ecb7,堀田兵衛,,68
0000fa33,face,1129,789,1191,834,0000ed39,エリー,,68
0000fa34,text,522,934,592,1079,,,だけど　確かなのは,68
0000fa35,body,1266,392,1560,1096,0000ecb7,堀田兵衛,,68
0000fa36,text,1389,159,1461,262,,,くそ～～今まで平気だったのに,68
0000fa37,text,346,582,439,719,,,こいつ自分で挑発してんのがわかってないな,68
0000fa38,frame,889,990,1296,1169,,,,68
0000fa39,face,893,641,1091,829,0000ecb7,堀田兵衛,,68
0000fa3a,text,121,498,165,566,,,なにがもう大人じゃ,68
0000fa3b,face,463,485,511,518,0000ed39,エリー,,68
0000fa3c,body,1136,281,1260,619,0000ed39,エリー,,68
0000fa3d,text,1151,512,1180,575,,,そっか,68
0000fa3e,text,911,795,1016,964,,,うるさい　おさまるまで待てよ,68
0000fa3f,frame,93,799,768,863,,,,68
0000fa40,body,402,496,493,575,0000ee8f,ヒョエ,,68
0000fa41,frame,1260,86,1563,1099,,,,68
0000fa42,frame,887,87,1253,280,,,,68
0000fa43,frame,887,619,1255,988,,,,68
0000fa44,text,1168,652,1221,734,,,兵衛ってぱあ,68
0000fa45,body,971,187,1094,277,0000ee8f,ヒョエ,,68
0000fa46,text,302,347,405,446,,,エッ　エリーはん　レディがはしたない,68
0000fa47,face,1011,1010,1173,1151,0000ed39,エリー,,68
0000fa48,text,452,349,589,448,,,兵衛なんかかくしてる　ねえ見せて,68
0000fa49,face,648,492,691,527,0000ecb7,堀田兵衛,,68
0000fa4a,body,1105,88,1250,276,0000ed39,エリー,,68
0000fa4b,body,294,579,668,798,0000ed39,エリー,,68
0000fa4c,body,891,454,993,597,0000ecb7,堀田兵衛,,68
0000fa4d,frame,289,577,756,798,,,,68
0000fa4e,face,481,627,639,769,0000ed39,エリー,,68
0000fa4f,frame,1137,282,1261,620,,,,68
0000fa50,body,1030,453,1122,597,0000ecb7,堀田兵衛,,68
0000fa51,text,104,645,130,756,,,もう死にたい,68
0000fa52,text,72,957,171,1110,,,おれがエリーにひかれはじめているってこと――,68
