id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00001861,frame,53,82,272,459,,,,69
00001862,text,666,104,733,196,ホントに…父親というものは,,,69
00001863,body,952,200,1006,275,,0000097b,藤田歩,69
00001864,face,560,296,661,389,,0000160c,田中重義,69
00001865,text,1095,555,1179,654,そうですか……ならいいですが,,,69
00001866,text,445,505,560,616,重夫くんのお母さん…もう　帰ってみえないんですか？,,,69
00001867,text,908,594,969,679,意外とあっさりしてんのね,,,69
00001868,text,1441,558,1562,670,いえこのままじゃ私の気がすみませんので,,,69
00001869,body,1228,705,1338,812,,0000097b,藤田歩,69
0000186a,text,938,841,995,925,………………………………,,,69
0000186b,frame,896,82,1294,279,,,,69
0000186c,text,925,96,940,152,はあ…,,,69
0000186d,frame,896,824,1581,1165,,,,69
0000186e,frame,226,461,393,1112,,,,69
0000186f,body,1052,166,1147,276,,0000160c,田中重義,69
00001870,frame,53,471,227,1109,,,,69
00001871,body,274,241,381,458,,0000097b,藤田歩,69
00001872,face,68,718,220,883,,0000097b,藤田歩,69
00001873,text,1098,308,1284,439,それでは申しわけないですから私が改めてあなたから買うという形にしたいのですが…,,,69
00001874,face,310,307,368,382,,0000097b,藤田歩,69
00001875,body,1070,696,1152,793,,0000160c,田中重義,69
00001876,text,1204,549,1341,702,え～？でも私もちょうど望遠鏡ほしかった気もしたんですなーんちゃって,,,69
00001877,body,672,653,743,846,,0000097b,藤田歩,69
00001878,text,1146,98,1276,229,おまけに…なんですか天体望遠鏡まで買っていただいたそうで,,,69
00001879,text,909,456,971,512,あでもそんな,,,69
0000187a,face,697,705,736,744,,0000097b,藤田歩,69
0000187b,frame,1198,540,1582,814,,,,69
0000187c,frame,896,538,1192,812,,,,69
0000187d,body,975,694,1066,808,,0000097b,藤田歩,69
0000187e,face,274,715,365,805,,0000160c,田中重義,69
0000187f,text,1324,264,1362,320,あ…そんな,,,69
00001880,body,975,375,1108,530,,0000097b,藤田歩,69
00001881,face,1277,730,1322,797,,0000097b,藤田歩,69
00001882,text,140,266,154,309,あの,,,69
00001883,body,1418,671,1568,809,,0000160c,田中重義,69
00001884,face,1027,1008,1117,1083,,0000097b,藤田歩,69
00001885,frame,438,80,744,461,,,,69
00001886,face,1089,722,1117,744,,0000160c,田中重義,69
00001887,body,53,557,225,1111,,0000097b,藤田歩,69
00001888,body,1123,825,1582,1168,,0000160c,田中重義,69
00001889,face,1380,194,1488,297,,0000097b,藤田歩,69
0000188a,text,347,516,372,589,……先月,,,69
0000188b,text,992,304,1038,380,えっ♡ホント？,,,69
0000188c,face,973,226,997,250,,0000097b,藤田歩,69
0000188d,body,413,702,608,1058,,0000160c,田中重義,69
0000188e,face,1012,433,1085,502,,0000097b,藤田歩,69
0000188f,text,1302,832,1562,951,あいつ…そんなに天体望遠鏡ほしかったのか…よし今度の給料日に買ってやろう,,,69
00001890,body,509,191,743,459,,0000160c,田中重義,69
00001891,body,227,626,395,1084,,0000160c,田中重義,69
00001892,face,1437,707,1476,767,,0000160c,田中重義,69
00001893,frame,278,82,435,463,,,,69
00001894,text,1014,557,1029,607,あら？,,,69
00001895,body,965,923,1154,1167,,0000097b,藤田歩,69
00001896,frame,896,288,1290,530,,,,69
00001897,frame,391,471,745,1109,,,,69
00001898,text,204,120,226,165,あ…,,,69
00001899,frame,1294,69,1603,540,,,,69
0000189a,text,253,906,297,1063,正式に離婚しましたから,,,69
0000189b,body,1341,72,1598,537,,0000097b,藤田歩,69
0000189c,text,458,99,522,265,どうしても子供のことに神経がゆきとどかなくて,,,69
