id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00001aca,body,1134,861,1263,1169,00000edf,川村いく子,,81
00001acb,body,926,741,1106,1169,00000edf,川村いく子,,81
00001acc,body,188,270,343,450,00000edf,川村いく子,,81
00001acd,text,416,708,498,826,,,いく子さんじゃ重夫くんがなつかないだろうなあ…,81
00001ace,face,588,840,708,952,0000097b,藤田歩,,81
00001acf,text,624,475,742,626,,,だっていく子受験勉強あるんでしょう？そんなヒマ…,81
00001ad0,frame,1112,579,1264,1166,,,,81
00001ad1,body,1159,25,1463,565,00000edf,川村いく子,,81
00001ad2,face,209,1071,252,1108,0000097b,藤田歩,,81
00001ad3,body,212,486,486,681,00000edf,川村いく子,,81
00001ad4,text,240,933,366,1017,,,ああ　でもなんだってこんなに気持ちがゆらゆらしてんだろ,81
00001ad5,text,1137,601,1242,692,,,努力…なんてすばらしいことば‼,81
00001ad6,face,1191,910,1237,945,00000edf,川村いく子,,81
00001ad7,face,1472,403,1547,474,00000e0e,おじいさん,,81
00001ad8,text,578,78,700,213,,,藤田さんっ‼一生のお願い‼このとおり‼,81
00001ad9,text,87,484,244,619,,,平気‼うまくやりくりするから‼たのみます,81
00001ada,face,997,371,1077,451,0000097b,藤田歩,,81
00001adb,frame,75,76,476,449,,,,81
00001adc,text,172,92,211,164,,,そこをなんとか,81
00001add,text,132,725,200,842,,,不純な気持ちで家庭教師なんてできないよ…,81
00001ade,text,1380,596,1578,728,,,じゃ…藤田さん家庭教師の件は夜にでもお返事うかがいますから…考えといてください,81
00001adf,face,1211,193,1355,333,00000edf,川村いく子,,81
00001ae0,body,391,901,513,1137,0000100c,田中重夫,,81
00001ae1,face,319,548,414,658,00000edf,川村いく子,,81
00001ae2,text,984,611,1080,714,,,なんてステキなお方‼,81
00001ae3,frame,900,579,1100,1166,,,,81
00001ae4,text,77,936,184,1053,,,ちょっとステキな人に会っただけでこんなにヘンになるなんて,81
00001ae5,body,947,294,1138,566,0000097b,藤田歩,,81
00001ae6,face,898,921,982,1046,0000097b,藤田歩,,81
00001ae7,frame,30,688,377,911,,,,81
00001ae8,body,184,1026,296,1168,0000097b,藤田歩,,81
00001ae9,body,898,807,978,1169,0000097b,藤田歩,,81
00001aea,frame,32,917,383,1169,,,,81
00001aeb,text,1045,93,1093,241,,,はいっ,81
00001aec,face,1014,831,1109,1020,00000edf,川村いく子,,81
00001aed,text,1483,137,1527,235,,,は…,81
00001aee,frame,385,692,523,1169,,,,81
00001aef,body,1112,906,1181,1167,0000097b,藤田歩,,81
00001af0,face,430,942,478,988,0000100c,田中重夫,,81
00001af1,body,291,196,422,395,0000097b,藤田歩,,81
00001af2,frame,901,0,1625,566,,,,81
00001af3,face,325,238,360,264,0000097b,藤田歩,,81
00001af4,text,94,297,173,435,,,私とその家庭教師かわって‼,81
00001af5,frame,528,683,766,1165,,,,81
00001af6,frame,1369,581,1586,1099,,,,81
00001af7,text,375,96,462,188,,,そういわれても…弱ったなあ,81
00001af8,frame,74,457,766,680,,,,81
00001af9,face,1132,944,1165,972,0000097b,藤田歩,,81
00001afa,body,348,459,712,680,0000097b,藤田歩,,81
00001afb,frame,483,179,766,449,,,,81
00001afc,text,1375,825,1452,891,,,あ…はい‼どうもわざわざ,81
00001afd,text,282,712,363,847,,,いやそんなことよりも問題はあたしよ‼,81
00001afe,body,1442,352,1560,566,00000e0e,おじいさん,,81
00001aff,body,528,709,766,1169,0000097b,藤田歩,,81
