id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0000607f,frame,0,0,384,429,,,,3
00006080,face,246,507,304,565,0000606a,森崎琴美,,3
00006081,text,54,275,97,395,,,うまくいった･･････,3
00006082,text,892,540,1015,696,,,この私生徒会長じきじきに取り締まってさしあげますわ！,3
00006083,face,1066,902,1095,930,00006084,生徒会長,,3
00006085,text,1284,891,1308,997,,,なにっ！？,3
00006086,body,85,582,247,767,0000604c,森崎眞一郎,,3
00006087,face,508,603,598,680,0000606a,森崎琴美,,3
00006088,text,1451,536,1598,717,,,遅いっ！毎度担任の顔に泥を塗ってくれおって･･･！,3
00006089,frame,456,455,761,1169,,,,3
0000608a,text,53,814,84,954,,,兄さん！！,3
0000608b,body,1050,616,1161,790,00006084,生徒会長,,3
0000608c,frame,68,458,445,764,,,,3
0000608d,text,627,47,736,186,,,卑怯なり森崎眞一郎ーーーっ！！,3
0000608e,body,643,275,677,356,0000608f,森崎眞一郎の担任,,3
00006090,body,436,510,704,1167,0000606a,森崎琴美,,3
00006091,body,236,486,338,658,0000606a,森崎琴美,,3
00006092,frame,886,520,1651,792,,,,3
00006093,text,619,475,743,570,,,兄さんがもう５分早く起きてくれたらこんな･･･,3
00006094,frame,887,819,1652,1169,,,,3
00006095,text,424,804,439,848,,,･･････,3
00006096,frame,890,2,1652,495,,,,3
00006097,text,903,866,953,1030,,,裏から来るとはコソクですわっ！！,3
00006098,body,42,48,349,401,0000606a,森崎琴美,,3
00006099,text,351,464,435,625,,,ってまだ寝足りないの！？,3
0000609a,text,282,800,327,922,,,土手んとこで寝直してくるわ,3
0000609b,text,180,815,256,962,,,琴美 おまえは先に自分の教室入ってろ,3
0000609c,face,134,128,271,266,0000606a,森崎琴美,,3
0000609d,text,1495,52,1623,381,,,森崎眞一郎ーっ！！,3
0000609e,body,1171,408,1442,789,0000608f,森崎眞一郎の担任,,3
0000609f,body,597,272,629,350,00006084,生徒会長,,3
000060a0,body,2,914,187,1161,0000606a,森崎琴美,,3
000060a1,frame,354,794,446,1103,,,,3
000060a2,text,98,489,119,549,,,んあ？,3
000060a3,frame,0,794,341,1167,,,,3
000060a4,text,1425,836,1598,1024,,,裏門だーー！！森崎眞一郎が裏門から侵入しましたー！！,3
000060a5,face,369,957,435,1026,0000604c,森崎眞一郎,,3
000060a6,body,262,970,318,1055,0000604c,森崎眞一郎,,3
000060a7,face,121,629,201,707,0000604c,森崎眞一郎,,3
000060a8,face,1280,440,1364,536,0000608f,森崎眞一郎の担任,,3
000060a9,text,330,48,350,107,,,ふうっ,3
000060aa,body,1130,1036,1195,1164,0000608f,森崎眞一郎の担任,,3
000060ab,face,1081,642,1129,686,00006084,生徒会長,,3
000060ac,body,1042,901,1115,1028,00006084,生徒会長,,3
000060ad,body,354,873,442,1104,0000604c,森崎眞一郎,,3
000060ae,face,110,984,174,1092,0000606a,森崎琴美,,3
000060af,frame,394,0,761,428,,,,3
