id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00006ff7,frame,67,414,768,630,,,,70
00006ff8,text,370,1019,385,1070,いくぞ,,,70
00006ff9,body,425,47,677,761,,00006051,沢渡有紗,70
00006ffa,face,460,114,527,175,,00006051,沢渡有紗,70
00006ffb,frame,419,654,553,1105,,,,70
00006ffc,body,110,418,768,622,,0000604c,森崎眞一郎,70
00006ffd,face,204,443,454,591,,0000604c,森崎眞一郎,70
00006ffe,face,182,1010,300,1137,,0000604c,森崎眞一郎,70
00006fff,text,1566,473,1582,554,そうか･･････,,,70
00007000,text,979,1014,1016,1081,この公園･･･って,,,70
00007001,text,84,176,106,328,一緒に遊んで･･････,,,70
00007002,frame,69,991,417,1151,,,,70
00007003,text,1546,62,1590,178,そっちはどうだった？,,,70
00007004,frame,1170,465,1591,640,,,,70
00007005,text,1432,709,1448,760,あれ？,,,70
00007006,body,344,214,435,366,,00006051,沢渡有紗,70
00007007,body,666,799,723,945,,00006051,沢渡有紗,70
00007008,body,211,208,315,377,,0000604c,森崎眞一郎,70
00007009,text,738,661,752,752,ううっ･･････,,,70
0000700a,text,168,69,247,225,眞一郎さんによく似た男の子と私が･･････,,,70
0000700b,text,1108,479,1147,565,オレたちも帰るか,,,70
0000700c,body,1303,814,1400,1153,,00006051,沢渡有紗,70
0000700d,text,65,871,99,906,あっ･･････,,,70
0000700e,body,1000,519,1011,563,,00006051,沢渡有紗,70
0000700f,face,1516,724,1634,899,,00006051,沢渡有紗,70
00007010,frame,67,0,770,430,,,,70
00007011,text,977,104,1053,187,い･･･いませんでした,,,70
00007012,text,440,995,456,1090,大丈夫か？,,,70
00007013,body,1042,539,1055,597,,0000604c,森崎眞一郎,70
00007014,body,663,966,745,1147,,0000604c,森崎眞一郎,70
00007015,face,1358,38,1403,91,,0000604c,森崎眞一郎,70
00007016,frame,27,629,420,986,,,,70
00007017,frame,1510,635,1634,996,,,,70
00007018,frame,894,0,1653,436,,,,70
00007019,frame,896,666,1652,1169,,,,70
0000701a,body,1511,663,1632,992,,00006051,沢渡有紗,70
0000701b,body,1052,325,1091,431,,00006051,沢渡有紗,70
0000701c,text,552,997,638,1114,おっおいっどうした！？,,,70
0000701d,body,1171,465,1442,639,,0000604c,森崎眞一郎,70
0000701e,text,1467,471,1533,595,もう家に帰ったのかもしれねーな･･････,,,70
0000701f,frame,523,649,769,1166,,,,70
00007020,face,231,251,276,275,,0000604c,森崎眞一郎,70
00007021,text,619,75,696,157,夢に出てくる場所･･････,,,70
00007022,text,458,684,532,811,ごめんなさいちょっとふらっとして･･････,,,70
00007023,body,1299,0,1649,433,,0000604c,森崎眞一郎,70
00007024,text,360,683,376,719,ほら,,,70
00007025,frame,896,465,1158,641,,,,70
00007026,face,1296,474,1396,585,,0000604c,森崎眞一郎,70
00007027,text,905,500,944,553,あっはい！,,,70
00007028,face,357,242,392,273,,00006051,沢渡有紗,70
00007029,body,85,987,398,1145,,0000604c,森崎眞一郎,70
