id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001028d,text,531,792,546,852,……,,,15
0001028e,face,227,173,427,366,,00010068,大徳寺 緋名子,15
0001028f,text,80,310,169,445,ほら大徳寺緋名子ってコ!!,,,15
00010290,frame,60,67,749,480,,,,15
00010291,text,633,761,718,887,ひなこちゃんお茶にさそおーかなー,,,15
00010292,frame,64,756,505,1102,,,,15
00010293,body,61,64,588,476,,00010068,大徳寺 緋名子,15
00010294,text,106,901,162,1080,バカなやつらめ何も知らないで!!,,,15
00010295,text,430,773,487,915,何がかわいいだ!!,,,15
00010296,frame,56,497,745,739,,,,15
00010297,body,57,496,268,737,,00010066,村上 哲郎,15
00010298,face,526,965,569,1009,,00010066,村上 哲郎,15
00010299,body,184,764,522,1168,,00010066,村上 哲郎,15
0001029a,text,610,835,670,957,はははは,,,15
0001029b,text,593,83,621,191,あの娘だ!!,,,15
0001029c,face,154,588,230,670,,00010066,村上 哲郎,15
0001029d,frame,505,756,755,1103,,,,15
0001029e,face,245,869,360,1018,,00010066,村上 哲郎,15
0001029f,body,505,921,615,1102,,00010066,村上 哲郎,15
000102a0,text,674,517,694,652,かわいーなー,,,15
000102a1,text,263,513,348,597,一年女子の中じゃダントツだよな,,,15
