id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000102a2,body,903,70,1118,336,000100ab,如月 唯,,16
000102a3,text,323,781,358,1016,,,バスケットぉ!?,16
000102a4,body,422,680,753,1101,00010068,大徳寺 緋名子,,16
000102a5,frame,365,65,757,387,,,,16
000102a6,face,560,169,624,233,000100d4,桜井 亮,,16
000102a7,face,935,825,1135,989,000100d4,桜井 亮,,16
000102a8,body,905,367,1083,657,00010066,村上 哲郎,,16
000102a9,face,971,103,1027,167,000100ab,如月 唯,,16
000102aa,face,1191,424,1288,512,000100d4,桜井 亮,,16
000102ab,face,150,902,236,981,000100ab,如月 唯,,16
000102ac,face,215,196,292,266,00010066,村上 哲郎,,16
000102ad,frame,60,64,355,384,,,,16
000102ae,text,84,280,116,367,,,……,16
000102af,frame,64,734,754,1101,,,,16
000102b0,text,1220,213,1259,330,,,オレならゴメンだぜ!!,16
000102b1,text,1261,931,1297,1002,,,！,16
000102b2,frame,1260,680,1598,1095,,,,16
000102b3,face,406,235,450,278,00010066,村上 哲郎,,16
000102b4,face,948,488,1070,600,00010066,村上 哲郎,,16
000102b5,body,488,130,694,387,000100d4,桜井 亮,,16
000102b6,text,660,91,729,199,,,ーって話が生徒会で出ててね,16
000102b7,face,1493,514,1552,561,00010066,村上 哲郎,,16
000102b8,text,1148,694,1234,830,,,そろそろ一勝くらいした方がいいんじゃない？,16
000102b9,frame,897,358,1079,662,,,,16
000102ba,body,1381,843,1454,1075,000100d4,桜井 亮,,16
000102bb,body,903,675,1250,1169,000100d4,桜井 亮,,16
000102bc,face,1242,67,1307,120,00010068,大徳寺 緋名子,,16
000102bd,body,1447,475,1598,659,00010066,村上 哲郎,,16
000102be,frame,905,64,1600,341,,,,16
000102bf,body,1472,860,1555,1020,00010066,村上 哲郎,,16
000102c0,body,156,130,358,380,00010066,村上 哲郎,,16
000102c1,body,87,828,280,1105,000100ab,如月 唯,,16
000102c2,face,481,836,629,969,00010068,大徳寺 緋名子,,16
000102c3,text,1496,209,1570,312,,,あんなクソえげつないプロレス女!!,16
000102c4,frame,1086,355,1598,650,,,,16
000102c5,text,1552,381,1567,412,,,やあ,16
000102c6,body,1134,1,1617,333,00010068,大徳寺 緋名子,,16
000102c7,frame,0,439,236,753,,,,16
000102c8,text,1287,703,1457,906,,,いや……たしかもうすぐだよねバスケットボール部の定期戦！,16
000102c9,text,418,81,478,140,,,!!,16
000102ca,body,130,121,182,294,000100d4,桜井 亮,,16
000102cb,body,364,202,498,380,00010066,村上 哲郎,,16
000102cc,body,1086,353,1343,660,000100d4,桜井 亮,,16
000102cd,text,1100,527,1146,615,,,哲郎くんしばらく!!,16
000102ce,frame,893,681,1254,1169,,,,16
000102cf,text,1540,718,1587,803,,,桜井じゃん何の用っ!?,16
