id,type,xmin,ymin,xmax,ymax,text_content,page_number
00010cfb,text,1269,839,1328,874,この忙しい時に……,78
00010cfc,text,1505,379,1573,521,へんしゅーのしんちゃんはドライな新人種です,78
00010cfd,text,1158,912,1186,986,プロディ…,78
00010cfe,text,1306,343,1487,369,その１　へんしゅー者編,78
00010cff,text,1096,481,1145,545,へーこれってプロレスまんがだったの？,78
00010d00,text,966,965,1022,1030,このネームが忙しい時に！,78
00010d01,text,922,450,949,560,えっへん,78
00010d02,text,1435,377,1473,423,だっ,78
00010d03,text,1365,834,1381,878,……,78
00010d04,text,1511,839,1573,926,しんちゃんお仕事…してね,78
00010d05,text,1144,451,1229,585,大宮はこのプロレスまんがの作者です,78
00010d06,text,1534,539,1572,637,そんなしんちゃんも,78
00010d07,text,1260,687,1334,830,おのれの存在さえ見失ってしまったかのようでした…,78
00010d08,text,908,247,1530,296,ブルーザー・プロディをしのんで…特別緊急４コマまんが天下ご免のふとどき者,78
00010d09,text,904,752,984,887,大宮さーんプロディが死んじゃったー,78
00010d0a,text,1507,693,1571,805,立ち上がれないほどのショックを受け…,78
00010d0b,text,1095,783,1120,830,うう……,78
00010d0c,text,975,902,1025,960,誰？それ,78
00010d0d,text,955,417,1112,436,その２　まんが家編,78
00010d0e,text,1122,596,1225,723,だからプロレス関係の資材をいっぱい持ってるのさ,78
00010d0f,text,1263,527,1324,673,大好きなブロディが亡くなった日には,78
00010d10,text,1269,382,1294,522,よ～ん,78
00010d11,text,1123,760,1227,888,宝はぜんぶ㋬のしんちゃんの私有物なんだけどね………,78
