id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00011411,body,1,699,285,1167,00011046,茜　純太,,21
00011412,body,277,496,753,1168,000111e0,イエスマン,,21
00011413,body,969,586,1123,712,00011065,ナギサ,,21
00011414,body,1344,781,1413,896,000111e0,イエスマン,,21
00011415,face,1412,767,1460,817,000111e0,イエスマン,,21
00011416,body,967,831,1138,988,000110d2,ジェド,,21
00011417,face,1505,80,1620,190,000111e0,イエスマン,,21
00011418,frame,1222,2,1652,745,,,,21
00011419,frame,2,508,756,1167,,,,21
0001141a,text,1170,749,1199,837,,,わァあ,21
0001141b,face,1013,632,1104,708,00011065,ナギサ,,21
0001141c,face,140,954,291,1169,000110d2,ジェド,,21
0001141d,body,1390,3,1652,684,000111e0,イエスマン,,21
0001141e,body,917,78,1258,565,000110d2,ジェド,,21
0001141f,frame,915,714,1140,989,,,,21
00011420,body,1462,783,1648,1169,000110d2,ジェド,,21
00011421,text,1492,776,1609,948,,,〝複製人間〟…そうかかつて組織に戦斗クローンを開発していた幹部がいた……〝奴〟かッ！,21
00011422,body,1210,835,1339,1022,000110d2,ジェド,,21
00011423,body,914,750,1143,949,00011046,茜　純太,,21
00011424,text,27,283,112,439,,,俺の名もイエスマン,21
00011425,face,447,571,565,682,000111e0,イエスマン,,21
00011426,frame,58,294,400,485,,,,21
00011427,body,410,295,755,486,000111e0,イエスマン,,21
00011428,face,267,647,350,734,000111e0,イエスマン,,21
00011429,text,618,309,740,507,,,俺の名はイエスマン,21
0001142a,text,945,533,977,682,,,ジェド！,21
0001142b,face,93,864,175,960,00011046,茜　純太,,21
0001142c,text,1255,213,1299,305,,,何ッ!!?,21
0001142d,body,58,294,399,483,000111e0,イエスマン,,21
0001142e,face,1356,799,1400,845,000111e0,イエスマン,,21
0001142f,face,179,342,317,479,000111e0,イエスマン,,21
00011430,text,22,518,94,877,,,イエスマンだ,21
00011431,face,985,870,1044,911,00011046,茜　純太,,21
00011432,body,1097,492,1296,735,00011046,茜　純太,,21
00011433,face,1022,786,1086,845,00011046,茜　純太,,21
00011434,face,1163,939,1223,989,00011046,茜　純太,,21
00011435,face,1256,435,1391,561,000110d2,ジェド,,21
00011436,frame,406,296,752,486,,,,21
00011437,frame,917,988,1141,1167,,,,21
00011438,face,941,167,1094,320,000110d2,ジェド,,21
00011439,face,437,311,600,479,000111e0,イエスマン,,21
0001143a,text,1366,963,1452,1079,,,この俺自身が隠し武器だったワケさ,21
0001143b,body,1358,748,1476,940,000111e0,イエスマン,,21
0001143c,text,591,886,724,1154,,,マリオネットの大幹部ノーマン閣下に誓いし服従の戦士,21
0001143d,face,1470,911,1650,1164,000110d2,ジェド,,21
0001143e,body,1577,422,1649,739,000111e0,イエスマン,,21
0001143f,frame,1149,733,1481,1107,,,,21
00011440,body,142,600,417,1168,000111e0,イエスマン,,21
00011441,body,1224,363,1626,738,000110d2,ジェド,,21
00011442,frame,3,2,754,273,,,,21
00011443,body,1150,864,1370,1107,00011046,茜　純太,,21
00011444,frame,915,1,1269,707,,,,21
00011445,face,1583,531,1650,737,000111e0,イエスマン,,21
00011446,frame,1461,753,1651,1167,,,,21
00011447,face,1111,587,1218,682,00011046,茜　純太,,21
