id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001205e,text,1084,591,1199,764,私達は母親から父が優しかった事やステキな想い出を聞いて育ったの,,,86
0001205f,text,528,996,665,1115,女のコの甘い香りで――俺…もうダメだ,,,86
00012060,frame,1222,577,1343,1108,,,,86
00012061,body,1461,316,1563,387,,000110c6,羽月ひかる,86
00012062,body,1076,416,1196,553,,00011257,レティシア,86
00012063,text,594,81,723,294,おんなじだ…この娘達はひかるちゃんと,,,86
00012064,body,905,575,1103,916,,00011257,レティシア,86
00012065,frame,2,2,491,712,,,,86
00012066,body,1533,175,1630,256,,00011259,ネーナ,86
00012067,body,199,897,749,1167,,00011046,茜　純太,86
00012068,text,1277,585,1302,644,！,,,86
00012069,text,697,906,726,1045,う…あっ…,,,86
0001206a,face,1045,415,1160,506,,00011257,レティシア,86
0001206b,body,2,908,188,1167,,00011257,レティシア,86
0001206c,face,72,1105,154,1168,,00011046,茜　純太,86
0001206d,body,1190,424,1323,551,,00011255,テュッティ,86
0001206e,body,2,2,488,666,,00011257,レティシア,86
0001206f,frame,901,64,1149,393,,,,86
00012070,text,545,705,736,867,わかったらひかるの前で堕ちなさい！　キミは私達の兵隊にしてあげる,,,86
00012071,body,156,689,482,874,,00011046,茜　純太,86
00012072,body,1392,211,1541,300,,00011257,レティシア,86
00012073,frame,904,575,1244,1168,,,,86
00012074,text,513,679,589,728,ぱくっ♡,,,86
00012075,body,479,122,754,667,,00011046,茜　純太,86
00012076,text,389,51,438,146,私は…,,,86
00012077,body,954,925,1164,1166,,00011255,テュッティ,86
00012078,face,218,898,537,1161,,00011046,茜　純太,86
00012079,face,476,344,751,633,,00011046,茜　純太,86
0001207a,frame,474,64,753,668,,,,86
0001207b,face,968,1012,1133,1153,,00011255,テュッティ,86
0001207c,face,68,64,485,491,,00011257,レティシア,86
0001207d,body,903,64,1151,390,,00011046,茜　純太,86
0001207e,body,1044,775,1243,1169,,00011259,ネーナ,86
0001207f,text,81,701,151,832,わ…！――待て…ッ,,,86
00012080,text,524,902,544,944,ハア,,,86
00012081,text,217,1095,241,1155,ハア…,,,86
00012082,face,908,654,1033,802,,00011257,レティシア,86
00012083,face,8,962,95,1042,,00011257,レティシア,86
00012084,face,1224,656,1343,865,,00011046,茜　純太,86
00012085,body,1223,578,1341,941,,00011046,茜　純太,86
00012086,body,1309,415,1447,552,,00011259,ネーナ,86
00012087,text,90,908,181,1037,ドールガンがいたら　こんなの大喜びされちゃうよ…,,,86
00012088,body,1343,712,1650,1164,,00011257,レティシア,86
00012089,face,192,697,307,820,,00011046,茜　純太,86
0001208a,text,1167,219,1286,375,足場の不安定なこの屋根の上で女のコを乱暴にはできない…！,,,86
0001208b,text,1456,422,1583,547,マリオネットのクズ幹部達と私達を一緒にしないでほしいわね,,,86
0001208c,face,1393,880,1634,1163,,00011257,レティシア,86
0001208d,text,39,1084,63,1138,え!?,,,86
0001208e,body,347,692,750,876,,00011259,ネーナ,86
0001208f,face,903,175,1079,358,,00011046,茜　純太,86
00012090,frame,52,689,752,883,,,,86
00012091,text,58,429,102,583,お父さんに,,,86
00012092,text,933,421,1057,548,ひかると私達が一緒になれば…〝あの男〟が動くハズだからよ,,,86
00012093,frame,1156,1,1651,390,,,,86
00012094,text,899,960,1004,1100,父の温もりに代わるモノが欲しいのよ！,,,86
00012095,text,717,1079,740,1118,ハア,,,86
00012096,text,1535,40,1614,162,ダ…ダメだ！振り払いたい…けど……,,,86
00012097,body,1430,190,1526,262,,00011255,テュッティ,86
00012098,text,1045,85,1146,201,おまえらもドールガンの遺産が目当てなのかよ!?,,,86
00012099,frame,905,411,1601,554,,,,86
0001209a,face,1336,417,1447,483,,00011259,ネーナ,86
0001209b,frame,1,897,190,1169,,,,86
0001209c,text,205,906,274,1045,せ…せめてあいつがいなくて良かったかも…,,,86
0001209d,frame,196,897,754,1168,,,,86
0001209e,text,1248,937,1336,1093,父は私達が物心つくより前に死んだ……,,,86
0001209f,body,2,1085,183,1165,,00011046,茜　純太,86
000120a0,text,1468,607,1600,792,私達の目的はドールガンを殺した男,,,86
000120a1,face,390,705,477,802,,00011259,ネーナ,86
000120a2,face,1109,842,1233,983,,00011259,ネーナ,86
000120a3,frame,1341,577,1653,1168,,,,86
