id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000123e8,face,696,894,772,945,00012293,ハディード,,14
000123e9,body,1384,3,1595,305,0001237b,人魚,,14
000123ea,frame,48,2,822,1165,,,,14
000123eb,face,1414,38,1568,178,0001237b,人魚,,14
000123ec,text,90,113,141,319,,,すごい！,14
000123ed,body,152,3,627,518,00012293,ハディード,,14
000123ee,body,626,972,957,1167,0001237b,人魚,,14
000123ef,frame,1341,2,1596,436,,,,14
000123f0,text,97,559,240,864,,,あんな人魚たちと布一枚で戦ってる！！,14
000123f1,frame,830,0,1599,1169,,,,14
000123f2,frame,1125,123,1501,591,,,,14
000123f3,body,148,561,625,1169,0001224f,ミュリエル,,14
000123f4,face,259,195,614,512,00012293,ハディード,,14
000123f5,face,282,644,409,754,0001224f,ミュリエル,,14
000123f6,body,582,814,844,990,00012293,ハディード,,14
000123f7,face,1351,799,1590,1099,0001237b,人魚,,14
000123f8,frame,975,732,1229,1166,,,,14
000123f9,face,1012,369,1124,462,00012293,ハディード,,14
000123fa,body,1256,624,1590,1169,0001237b,人魚,,14
000123fb,body,464,232,1330,1166,00012293,ハディード,,14
000123fc,frame,1191,616,1596,1169,,,,14
000123fd,frame,572,790,974,1163,,,,14
