id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001285e,frame,38,659,552,1095,,,,51
0001285f,frame,898,760,1164,1169,,,,51
00012860,text,979,250,1094,540,"ああっ
あっ・・・・・・！",,,51
00012861,frame,432,798,591,978,,,,51
00012862,body,449,175,700,407,,00012249,Others,51
00012863,text,686,130,733,174,・・・・・・砲手,,,51
00012864,text,108,955,125,1074,ミュリエル・・・,,,51
00012865,body,171,719,427,1089,,0001224f,ミュリエル,51
00012866,frame,89,76,324,453,,,,51
00012867,frame,1172,753,1615,1166,,,,51
00012868,body,1387,454,1619,748,,0001224f,ミュリエル,51
00012869,frame,556,608,736,1148,,,,51
0001286a,frame,901,0,1613,471,,,,51
0001286b,text,1432,123,1458,252,ハディード！,,,51
0001286c,frame,903,289,1615,748,,,,51
0001286d,face,295,749,359,815,,0001224f,ミュリエル,51
0001286e,face,455,856,561,966,,0001224f,ミュリエル,51
0001286f,frame,335,76,763,453,,,,51
00012870,body,1207,755,1621,1169,,0001224f,ミュリエル,51
00012871,face,510,201,589,275,,00012249,Others,51
00012872,face,105,184,186,256,,0001256f,クリストフ,51
00012873,face,1022,840,1100,921,,0001256f,クリストフ,51
00012874,body,1163,53,1549,404,,0001224f,ミュリエル,51
00012875,text,365,101,447,409,"オオレのせいじゃありません！
この女が・・・・・・！",,,51
00012876,text,932,801,948,889,ミュリエル,,,51
00012877,face,1180,140,1280,286,,0001224f,ミュリエル,51
00012878,frame,92,466,766,646,,,,51
00012879,text,112,454,256,649,おぐっ・・・・・・・！,,,51
0001287a,body,923,800,1164,1134,,0001256f,クリストフ,51
0001287b,body,423,802,595,980,,0001224f,ミュリエル,51
0001287c,body,99,144,327,450,,0001256f,クリストフ,51
0001287d,face,1269,791,1611,1085,,0001224f,ミュリエル,51
