id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001312b,text,115,98,172,234,俺の部屋インターネットもないしな…,,,31
0001312c,frame,67,716,200,1089,,,,31
0001312d,text,1251,952,1319,1134,一生部屋でゲーム漬けのニートになってやる！！,,,31
0001312e,frame,1177,459,1653,703,,,,31
0001312f,body,1241,726,1650,1142,,00012dbd,瀬守源路,31
00013130,text,693,293,703,357,…………,,,31
00013131,text,632,763,710,913,さらに引きこもった時期が謹慎・反省していた期間と見なされ,,,31
00013132,text,503,325,542,399,勉強でもするか,,,31
00013133,text,242,920,305,1029,名門私立に合格する事ができた,,,31
00013134,face,497,802,586,876,,00012dbd,瀬守源路,31
00013135,frame,208,716,743,1093,,,,31
00013136,frame,67,265,572,700,,,,31
00013137,frame,910,724,1203,1096,,,,31
00013138,frame,66,74,741,246,,,,31
00013139,face,603,363,637,399,,00012dbd,瀬守源路,31
0001313a,text,979,282,1035,396,引きこもった,,,31
0001313b,frame,912,457,1165,703,,,,31
0001313c,body,1425,545,1503,618,,00012dbd,瀬守源路,31
0001313d,text,1189,477,1322,687,…へへ…そうか…そうだよ…俺なんてどうせ世の中に必要ないんだ…,,,31
0001313e,frame,583,264,743,700,,,,31
0001313f,body,1169,88,1462,400,,00012dbd,瀬守源路,31
00013140,face,1037,823,1109,897,,00012dbd,瀬守源路,31
00013141,text,1551,504,1613,614,チキショウ…何でこうなるんだよ…,,,31
00013142,body,246,376,470,699,,00012dbd,瀬守源路,31
00013143,body,334,939,410,1089,,00012d04,Other,31
00013144,text,71,848,157,1085,心機一転新しい生活へと心躍ったが,,,31
00013145,text,113,309,207,569,気をまぎらわす為机に向かっていた所思った以上に学力が向上し,,,31
00013146,body,587,351,701,529,,00012dbd,瀬守源路,31
00013147,body,392,985,437,1090,,00012d04,Other,31
00013148,text,1117,754,1195,856,…とは言えこのゲームクリアする200回目か…,,,31
00013149,frame,1214,723,1653,1169,,,,31
0001314a,face,1308,743,1450,851,,00012dbd,瀬守源路,31
0001314b,body,990,775,1198,1092,,00012dbd,瀬守源路,31
0001314c,body,428,955,529,1088,,00012d04,Other,31
0001314d,text,926,979,1008,1112,…でも新しいソフトを買う金なんてないしなぁ…,,,31
0001314e,text,1520,101,1547,157,俺は,,,31
0001314f,frame,908,1,1652,438,,,,31
00013150,text,634,98,675,228,部屋中の本は読んじまったし,,,31
00013151,text,1543,783,1615,917,いいさ！だったら,,,31
00013152,body,473,771,737,1090,,00012dbd,瀬守源路,31
