id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0001320b,frame,908,445,1650,637,,,,39
0001320c,frame,1326,652,1653,1169,,,,39
0001320d,face,1134,92,1207,169,00012d21,アヴァロン,,39
0001320e,body,1070,78,1358,428,00012d21,アヴァロン,,39
0001320f,body,931,673,1378,1128,00012d09,悪魔獣,,39
00013210,body,268,787,812,1163,00012d21,アヴァロン,,39
00013211,text,1522,66,1599,177,,,何だか…よく分からないが,39
00013212,text,963,470,1055,610,,,手加減は…無用と言う事だ！,39
00013213,body,121,273,389,450,00012d09,悪魔獣,,39
00013214,text,672,32,769,228,,,レーザーフィスト,39
00013215,text,965,126,1042,238,,,一つだけ理解できた事がある…,39
00013216,body,970,876,1212,1140,00012d21,アヴァロン,,39
00013217,frame,9,0,816,304,,,,39
00013218,frame,912,664,1403,1165,,,,39
00013219,frame,5,240,817,1169,,,,39
0001321a,text,83,41,147,267,,,セット！,39
0001321b,text,1509,467,1615,624,,,それは…小さな女の子を襲う貴様のような奴に,39
0001321c,frame,902,0,1653,429,,,,39
0001321d,text,50,436,139,1085,,,ハンドレッド！！,39
0001321e,text,621,285,710,746,,,アヴァロン,39
