id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00013d54,text,150,87,190,178,ツコちゃん　タムちゃん,,,20
00013d55,body,179,100,295,233,,00013b7c,タムちゃん,20
00013d56,body,149,576,261,739,,00013b74,和美ちゃん,20
00013d57,face,1253,884,1313,932,,00013b7c,タムちゃん,20
00013d58,text,513,278,553,367,やだもォ　もりあがってるのにィ,,,20
00013d59,frame,33,823,277,1169,,,,20
00013d5a,body,1246,841,1377,1076,,00013b7c,タムちゃん,20
00013d5b,body,1122,479,1619,769,,000138ed,アイ,20
00013d5c,face,559,310,601,355,,000138f0,お母さん,20
00013d5d,frame,893,115,1141,553,,,,20
00013d5e,text,339,479,378,558,やだーつけないでよアイーっ,,,20
00013d5f,face,654,198,704,235,,000138ea,お父さん,20
00013d60,body,640,231,759,351,,000138df,栗生卓也,20
00013d61,face,270,989,284,1010,,00013b74,和美ちゃん,20
00013d62,body,906,357,958,426,,000138df,栗生卓也,20
00013d63,text,1499,407,1554,497,そうそうそうやって……,,,20
00013d64,face,953,801,981,823,,000138f0,お母さん,20
00013d65,body,365,79,500,276,,00013b74,和美ちゃん,20
00013d66,body,276,148,377,248,,00013b8c,ツコちゃん,20
00013d67,frame,1343,397,1566,505,,,,20
00013d68,text,456,93,470,181,和美ちゃん,,,20
00013d69,face,292,1022,324,1043,,00013b8c,ツコちゃん,20
00013d6a,text,1353,281,1403,373,ふーってするの　ね？,,,20
00013d6b,text,70,889,87,1016,お母さん……？,,,20
00013d6c,body,84,598,161,730,,00013b7c,タムちゃん,20
00013d6d,face,517,564,669,681,,000138e1,栗生瞳,20
00013d6e,body,67,825,275,1169,,000138f0,お母さん,20
00013d6f,text,1529,873,1555,946,ぷ…っ,,,20
00013d70,face,1005,374,1051,410,,00013b8c,ツコちゃん,20
00013d71,body,1481,243,1566,343,,000138ed,アイ,20
00013d72,body,898,782,1002,970,,000138f0,お母さん,20
00013d73,face,968,282,1013,308,,00013b74,和美ちゃん,20
00013d74,text,304,872,324,892,瞳,,,20
00013d75,frame,861,475,1618,770,,,,20
00013d76,face,921,377,947,391,,000138df,栗生卓也,20
00013d77,face,232,529,302,574,,00013b8c,ツコちゃん,20
00013d78,body,1045,891,1118,975,,000138df,栗生卓也,20
00013d79,frame,85,78,513,278,,,,20
00013d7a,face,238,136,286,174,,00013b7c,タムちゃん,20
00013d7b,body,894,283,962,422,,000138ea,お父さん,20
00013d7c,body,1182,891,1280,1059,,00013b8c,ツコちゃん,20
00013d7d,text,668,313,681,365,卓くん,,,20
00013d7e,frame,468,143,635,489,,,,20
00013d7f,face,1378,187,1471,255,,000138e1,栗生瞳,20
00013d80,body,1024,267,1144,495,,00013b7c,タムちゃん,20
00013d81,face,97,626,137,659,,00013b7c,タムちゃん,20
00013d82,text,976,136,991,208,あっ……,,,20
00013d83,text,1291,330,1304,362,あっ,,,20
00013d84,face,900,299,930,327,,000138ea,お父さん,20
00013d85,body,280,984,405,1168,,000138e1,栗生瞳,20
00013d86,face,1031,321,1093,369,,00013b7c,タムちゃん,20
00013d87,text,299,95,313,140,キャハハハ,,,20
