id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
000145a9,body,397,131,762,452,0001432e,浅井佑之,,59
000145aa,text,1513,84,1559,247,,,アイ!!!,59
000145ab,frame,36,469,245,771,,,,59
000145ac,text,110,305,126,450,,,かばおうにも……,59
000145ad,body,898,254,967,402,000138fd,Other,,59
000145ae,face,1115,848,1238,996,0001432e,浅井佑之,,59
000145af,body,1031,326,1104,404,000138fd,Other,,59
000145b0,body,894,770,1303,1088,0001432e,浅井佑之,,59
000145b1,body,252,95,385,318,0001432e,浅井佑之,,59
000145b2,face,1044,354,1057,374,000138fd,Other,,59
000145b3,frame,893,401,1344,823,,,,59
000145b4,text,402,119,515,381,,,アイは大丈夫よ！あなたがかばってくれたから!!　それよりあなたが……,59
000145b5,body,435,265,605,432,000138ed,アイ,,59
000145b6,body,990,113,1213,344,0001432e,浅井佑之,,59
000145b7,body,214,464,517,1167,000138e1,栗生瞳,,59
000145b8,frame,862,0,1273,403,,,,59
000145b9,body,1027,497,1179,733,000138e1,栗生瞳,,59
000145ba,face,1117,532,1151,558,000138e1,栗生瞳,,59
000145bb,text,108,482,145,557,,,こめんなアイ……,59
000145bc,face,928,274,949,298,000138fd,Other,,59
000145bd,text,731,122,746,191,,,アイは!?,59
000145be,frame,1199,0,1618,1169,,,,59
000145bf,body,89,135,246,454,000138e1,栗生瞳,,59
000145c0,text,392,946,418,1056,,,見えない,59
000145c1,frame,172,456,799,1169,,,,59
000145c2,text,304,330,341,403,,,たまたま…だよ,59
000145c3,body,38,636,198,771,000138ed,アイ,,59
000145c4,frame,390,69,761,451,,,,59
000145c5,face,88,845,301,1029,000138e1,栗生瞳,,59
000145c6,face,509,560,686,794,0001432e,浅井佑之,,59
000145c7,text,1269,857,1335,1068,,,ねえ!!　しっかりして!!,59
000145c8,frame,36,785,340,1169,,,,59
000145c9,face,892,20,917,49,000138fd,Other,,59
000145ca,frame,251,92,391,458,,,,59
000145cb,face,662,203,712,248,0001432e,浅井佑之,,59
000145cc,body,518,166,651,416,000138e1,栗生瞳,,59
000145cd,face,276,97,386,244,0001432e,浅井佑之,,59
000145ce,frame,893,690,1391,1110,,,,59
000145cf,text,217,120,229,174,,,…え？,59
000145d0,face,579,215,628,248,000138e1,栗生瞳,,59
000145d1,face,151,239,244,335,000138e1,栗生瞳,,59
000145d2,text,1229,435,1258,551,,,大丈夫!?,59
000145d3,body,916,0,981,223,000138fd,Other,,59
000145d4,body,863,8,923,316,000138fd,Other,,59
000145d5,body,1021,160,1150,275,000138ed,アイ,,59
000145d6,frame,87,93,248,455,,,,59
000145d7,face,264,667,448,816,000138e1,栗生瞳,,59
000145d8,text,718,551,739,682,,,僕にはアイが,59
000145d9,text,919,744,942,827,,,ねえ!!,59
000145da,body,38,784,310,1071,000138e1,栗生瞳,,59
000145db,body,436,456,799,1169,0001432e,浅井佑之,,59
