id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001555a,text,1448,90,1505,208,えーー従ってこの段におけるぅ,,,27
0001555b,body,1055,667,1216,824,,0001519e,数明先生,27
0001555c,face,54,470,160,567,,000151aa,数明由雁,27
0001555d,body,330,989,384,1053,,000151aa,数明由雁,27
0001555e,text,578,76,603,103,ゆ,,,27
0001555f,face,1088,841,1264,1140,,0001519e,数明先生,27
00015560,frame,913,457,1583,586,,,,27
00015561,text,1267,856,1362,948,ゆ,,,27
00015562,face,253,997,268,1022,,00015563,数明母,27
00015564,text,282,210,328,298,由雁･･････か？,,,27
00015565,text,1125,531,1168,563,ガヤ,,,27
00015566,body,730,609,780,659,,00015246,Other,27
00015567,frame,0,0,823,847,,,,27
00015568,text,938,654,1002,770,今日という今日は許さん絶ーーっ対に,,,27
00015569,text,278,994,302,1032,この子は親を信用しないのか･･･,,,27
0001556a,body,1189,500,1313,562,,0001519e,数明先生,27
0001556b,text,1021,199,1142,380,趣の描写について特徴的な点を挙げると･･･ここは試験に出るぞ,,,27
0001556c,frame,916,311,1583,447,,,,27
0001556d,text,979,479,1036,515,ガヤ,,,27
0001556e,text,21,1040,165,1150,パイロットは脱出した模様ですが詳しい状況について間もなく記者会見が･･････,,,27
0001556f,face,1391,854,1408,875,,00015246,Other,27
00015570,body,1041,794,1431,1168,,0001519e,数明先生,27
00015571,text,199,858,358,978,言えないんだって今日びどこにスパイがいるかわかんないし･･･,,,27
00015572,text,428,952,449,971,行儀悪いよ,,,27
00015573,text,1432,468,1487,502,ガヤ,,,27
00015574,body,831,732,1117,1165,,000151aa,数明由雁,27
00015575,body,0,319,185,733,,000151aa,数明由雁,27
00015576,body,916,477,1008,584,,00015246,Other,27
00015577,frame,913,90,1583,296,,,,27
00015578,body,410,977,561,1095,,0001519e,数明先生,27
00015579,face,741,619,757,643,,00015246,Other,27
0001557a,frame,99,847,828,1093,,,,27
0001557b,text,167,539,235,666,こんちわはは･･･,,,27
0001557c,text,621,859,793,1161,一体 会社で何をやらされとるんだ！？兵隊ゴッコなぞしおってそんな事させるために就職を許した訳では云々云々,,,27
0001557d,face,346,1010,369,1034,,000151aa,数明由雁,27
0001557e,body,1366,833,1454,1087,,00015246,Other,27
0001557f,body,1442,822,1581,950,,0001519e,数明先生,27
00015580,frame,913,604,1359,843,,,,27
00015581,body,1026,520,1101,582,,00015246,Other,27
00015582,frame,98,701,772,832,,,,27
00015583,text,582,727,741,830,航空自衛隊のF２３戦闘機が今日 夕方東京郊外の摩王市内にある山林に墜落しました,,,27
00015584,text,1473,913,1522,1089,どけッッ,,,27
00015585,frame,830,728,1585,1165,,,,27
00015586,frame,1345,602,1582,1099,,,,27
00015587,face,861,826,1004,1073,,000151aa,数明由雁,27
00015588,face,1099,690,1135,737,,0001519e,数明先生,27
00015589,body,1308,533,1384,580,,00015246,Other,27
0001558a,body,203,990,306,1093,,00015563,数明母,27
0001558b,face,484,989,503,1025,,0001519e,数明先生,27
0001558c,body,1406,541,1448,591,,00015246,Other,27
0001558d,body,1465,533,1516,587,,00015246,Other,27
0001558e,body,1200,326,1310,423,,0001519e,数明先生,27
0001558f,frame,0,317,293,765,,,,27
00015590,text,1220,620,1308,733,全く米帝はどいつもこいつも情緒レスな奴ばかりで･･･,,,27
