id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00015fef,body,524,288,588,380,000151f7,須賀クン,,80
00015ff0,body,901,461,1646,790,000151e6,戸沢補佐,,80
00015ff1,text,969,739,1047,894,,,補佐通信回線復帰映像入りますッ,80
00015ff2,face,137,256,164,310,000151aa,数明由雁,,80
00015ff3,frame,313,361,758,899,,,,80
00015ff4,text,394,751,472,893,,,ーーで元のシャトルは洋上に落ちる様プログラムを･･････,80
00015ff5,text,63,1024,165,1157,,,みんながいるから 私はここにいるのだし,80
00015ff6,frame,0,426,326,565,,,,80
00015ff7,frame,0,582,417,1169,,,,80
00015ff8,frame,1106,729,1325,1093,,,,80
00015ff9,text,222,95,318,271,,,わッッ！！？,80
00015ffa,face,1173,487,1257,596,000151e6,戸沢補佐,,80
00015ffb,face,482,960,531,1005,000151e6,戸沢補佐,,80
00015ffc,body,329,2,759,344,000151aa,数明由雁,,80
00015ffd,frame,387,918,762,1169,,,,80
00015ffe,frame,918,695,1098,1095,,,,80
00015fff,body,1107,743,1304,1092,000151f7,須賀クン,,80
00016000,text,212,446,290,556,,,またぁ補佐のサポートがあればこそですよぉ,80
00016001,body,99,483,178,563,000151e6,戸沢補佐,,80
00016002,body,442,543,485,625,000151aa,数明由雁,,80
00016003,frame,170,0,758,417,,,,80
00016004,text,219,592,297,685,,,そう一人じゃないんだ,80
00016005,text,628,7,714,190,,,ばあ。,80
00016006,face,989,963,1022,987,000151e6,戸沢補佐,,80
00016007,body,542,1019,728,1166,000151f7,須賀クン,,80
00016008,body,406,932,592,1169,000151e6,戸沢補佐,,80
00016009,face,1173,830,1256,892,000151f7,須賀クン,,80
0001600a,text,512,388,727,563,,,あのシャトル外装の傷みがひどくてパイロットごと客室モジュールを切り離してSTOMⅡに収容したんですよ,80
0001600b,text,429,1034,555,1161,,,全く何でもこなせちゃうんだから･････････,80
0001600c,body,92,197,226,429,000151aa,数明由雁,,80
0001600d,body,268,263,454,400,000151e6,戸沢補佐,,80
0001600e,face,115,841,324,1046,000151aa,数明由雁,,80
0001600f,body,956,944,1043,1091,000151e6,戸沢補佐,,80
00016010,face,636,1066,679,1114,000151f7,須賀クン,,80
00016011,frame,826,0,1653,798,,,,80
00016012,text,37,29,144,270,,,何だ何があった！？さっきの爆発したシャトルは･･･,80
00016013,text,642,928,727,1033,,,ーーー大丈夫だったでしょ？,80
00016014,face,392,32,674,305,000151aa,数明由雁,,80
00016015,body,25,698,422,1166,000151aa,数明由雁,,80
00016016,text,1525,47,1582,335,,,数明君･･･！！！,80
00016017,text,46,383,82,419,,,まあまあ,80
00016018,frame,915,410,1583,779,,,,80
00016019,face,319,272,346,305,000151e6,戸沢補佐,,80
0001601a,face,127,493,147,519,000151e6,戸沢補佐,,80
0001601b,frame,1254,764,1583,1096,,,,80
0001601c,text,65,503,83,560,,,？あ？？,80
0001601d,frame,0,0,227,448,,,,80
