id,type,xmin,ymin,xmax,ymax,text_content,page_number
00016022,frame,672,0,795,295,,82
00016023,text,103,871,192,1112,もっとも私は その時とてもテレビなんて観てる余裕はなかったんだけど･･････,82
00016024,text,502,35,637,287,その民間ロケットは「月に接近しつつある小惑星の探査機」をのせたものだーーーーとニュースは言っていたらしい,82
00016025,frame,659,288,795,576,,82
00016026,text,722,711,757,821,３主機スタート,82
00016027,text,502,986,553,1096,０！,82
00016028,frame,0,0,688,1169,,82
00016029,text,677,1018,726,1092,２･･･１･･･,82
0001602a,frame,630,594,798,763,,82
0001602b,text,662,483,705,551,燃料系異常なし,82
0001602c,frame,587,757,796,1169,,82
0001602d,text,726,630,741,651,４,82
0001602e,text,753,26,789,145,カウントダウンXマイナス１０秒,82
0001602f,text,714,239,743,295,９８,82
