id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00016f51,body,1475,662,1578,1094,00016385,国樹由香,,53
00016f52,text,913,919,1002,1080,,,おい！ザンコクだろうだいたい生ぐさくないのか？,53
00016f53,text,1326,710,1368,856,,,またまたトラブルまたれよ次号！,53
00016f54,text,1524,95,1562,262,,,そしてグラミィはというと,53
00016f55,body,896,272,1034,516,00016385,国樹由香,,53
00016f56,frame,1295,535,1403,1097,,,,53
00016f57,text,1151,88,1242,261,,,何故か向かって右の角を自分のポジションと決めたらしく,53
00016f58,body,1076,328,1133,406,00016387,熱帯魚,,53
00016f59,text,1035,545,1146,567,,,今月の余談,53
00016f5a,body,1276,207,1640,442,00016387,熱帯魚,,53
00016f5b,body,903,585,1289,1094,00016811,Other,,53
00016f5c,face,1072,686,1188,812,00016811,Other,,53
00016f5d,text,1207,824,1279,1086,,,生魚ネックレス。,53
00016f5e,frame,1258,82,1577,517,,,,53
00016f5f,text,1293,110,1484,205,,,ゆうぜん…,53
00016f60,text,1500,548,1565,733,,,という風にとっても平和な状態の水槽だったのだが,53
00016f61,text,1180,305,1219,493,,,ずっと上下移動,53
00016f62,frame,1408,535,1578,1090,,,,53
00016f63,text,904,583,973,734,,,うちにあるアメリカの雑誌に載っていた写真,53
00016f64,text,1438,1001,1469,1067,,,あ!!,53
00016f65,face,1525,825,1575,933,00016385,国樹由香,,53
00016f66,text,1397,447,1558,501,,,これ（だからヒレ）をぐーっと左右に広げてみたりする。気持ち良さそう。,53
00016f67,text,949,116,989,208,,,遊んでるのかな？,53
00016f68,body,1084,207,1128,272,00016387,熱帯魚,,53
00016f69,frame,898,537,1289,1095,,,,53
00016f6a,frame,898,86,1253,516,,,,53
