id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001715c,text,203,886,217,916,えっ,,,62
0001715d,frame,893,86,1432,295,,,,62
0001715e,text,680,581,744,710,早く新しいクーラー買わないと,,,62
0001715f,text,1360,627,1425,718,仕事部屋のクーラーが壊れました,,,62
00017160,text,113,98,203,286,電気屋さんに調べてもらったところ完全に壊れていると判明,,,62
00017161,body,715,397,762,537,,00016a46,O田,62
00017162,text,375,562,442,692,というわけで洗濯物の山と格闘していたら,,,62
00017163,text,182,971,200,1050,動かない？,,,62
00017164,body,891,630,1031,930,,00016a46,O田,62
00017165,body,893,422,1089,578,,0001638a,小太郎,62
00017166,body,894,86,1370,289,,00016385,国樹由香,62
00017167,frame,894,316,1161,579,,,,62
00017168,text,484,970,572,1060,やたら汗かくから洗濯物はたまるし,,,62
00017169,text,1518,606,1558,752,なんとこの猛暑のさなか,,,62
0001716a,body,116,678,212,797,,00016391,喜国雅彦,62
0001716b,face,1262,425,1358,526,,00016391,喜国雅彦,62
0001716c,face,626,470,648,508,,00016385,国樹由香,62
0001716d,face,1144,804,1193,851,,00016385,国樹由香,62
0001716e,text,1157,602,1276,734,アシスタントのO田くんと２人で仕事していた時のこと,,,62
0001716f,frame,894,950,1319,1099,,,,62
00017170,text,1157,974,1293,1066,そんなはずないよクーラーの設定温度１６度にしてるもん,,,62
00017171,text,115,395,132,468,とにかく,,,62
00017172,text,343,95,453,319,あっホラ熱帯魚水槽の水温も上がりまくってるし‼,,,62
00017173,text,372,841,438,931,じゃ乾燥機使っちゃお,,,62
00017174,frame,1172,312,1430,577,,,,62
00017175,frame,462,555,762,1096,,,,62
00017176,text,1023,630,1064,773,…妙に暑くないっすか!?,,,62
00017177,text,1295,642,1314,687,回想,,,62
00017178,text,944,1004,963,1072,16度!?,,,62
00017179,text,608,106,745,239,だったらますますおかしいじゃないですかこの熱気！,,,62
0001717a,body,592,887,677,1051,,0001638a,小太郎,62
0001717b,body,1424,976,1527,1095,,00016385,国樹由香,62
0001717c,frame,499,84,764,540,,,,62
0001717d,text,502,399,542,510,いつになく汗をかくと思った,,,62
0001717e,frame,1438,86,1571,576,,,,62
0001717f,text,112,577,176,668,だからこんなに蒸したのか,,,62
00017180,text,251,583,291,602,あ雨,,,62
00017181,body,228,632,349,797,,00016385,国樹由香,62
00017182,face,726,440,757,476,,00016a46,O田,62
00017183,frame,158,820,305,1099,,,,62
00017184,body,1186,339,1432,577,,00016391,喜国雅彦,62
00017185,face,680,813,759,890,,00016391,喜国雅彦,62
00017186,body,1102,692,1279,932,,00016385,国樹由香,62
00017187,body,569,447,658,538,,00016385,国樹由香,62
00017188,frame,86,84,228,533,,,,62
00017189,frame,84,555,453,800,,,,62
0001718a,frame,313,818,453,1097,,,,62
0001718b,frame,242,84,491,537,,,,62
0001718c,frame,84,816,149,1095,,,,62
0001718d,text,1056,853,1064,896,えー,,,62
0001718e,body,170,834,305,1097,,00016385,国樹由香,62
0001718f,body,604,732,760,1095,,00016391,喜国雅彦,62
00017190,text,1363,113,1404,189,蒸し暑い～,,,62
00017191,frame,896,595,1323,932,,,,62
00017192,text,575,301,616,430,言われてみれぱそーね,,,62
00017193,text,487,579,576,708,ドライ機能使えないせいで湿気がひどいしね,,,62
00017194,text,467,1103,755,1139,他にもクーラーついてる部屋はあるが、我々は1日の大半を仕事部屋で過ごしているのだ（遊ぶ時も）。,,,62
00017195,frame,1334,597,1573,1097,,,,62
00017196,body,162,330,223,531,,0001638a,小太郎,62
00017197,face,1130,103,1235,211,,00016385,国樹由香,62
00017198,text,272,405,321,493,うそっまたあ!?,,,62
00017199,face,513,808,541,869,,00016385,国樹由香,62
0001719a,body,457,736,611,939,,00016385,国樹由香,62
