id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00017b65,text,1512,734,1559,843,今日の練習はこれまで！,,,26
00017b66,text,651,196,747,342,なんかあの人キャプテンってゆーよリマネージャーってカンジだな,,,26
00017b67,text,676,966,743,1091,でもバスケは好きだからガンバるけどさ,,,26
00017b68,text,995,287,1038,387,点取り返すぞ！,,,26
00017b69,body,928,2,1170,263,,00017b38,緑川純一,26
00017b6a,text,1492,520,1581,662,そう僕はキャプテンありながら補欠だったんだ！！,,,26
00017b6b,text,624,381,752,545,黒田のヤロー１年でレギュラーになったからっていい気になりやがって,,,26
00017b6c,face,920,315,963,380,,00017b6d,黒田,26
00017b6e,text,899,811,930,893,いいんすかーー？,,,26
00017b6f,frame,28,574,598,1167,,,,26
00017b70,body,1225,511,1608,712,,00017b38,緑川純一,26
00017b71,text,1385,991,1430,1080,お疲れさまでした！,,,26
00017b72,body,533,631,674,869,,00017b38,緑川純一,26
00017b73,body,273,74,467,351,,00017b74,男D,26
00017b75,frame,886,511,1631,711,,,,26
00017b76,text,1279,739,1356,886,後片付けはオレがやるから先にあがっていいよ,,,26
00017b77,face,1053,651,1076,682,,00017b51,男A,26
00017b78,text,1121,300,1164,353,わりー黒田,,,26
00017b79,frame,888,734,1360,900,,,,26
00017b7a,face,1308,69,1437,178,,00017b6d,黒田,26
00017b7b,body,1109,574,1250,710,,0001786a,other,26
00017b7c,frame,500,888,758,1168,,,,26
00017b7d,face,612,752,641,790,,00017b38,緑川純一,26
00017b7e,text,1026,922,1049,973,お疲れ,,,26
00017b7f,frame,886,289,1177,492,,,,26
00017b80,frame,56,2,762,350,,,,26
00017b81,face,129,204,180,248,,00017b38,緑川純一,26
00017b82,frame,92,370,760,553,,,,26
00017b83,face,1171,977,1245,1037,,00017b74,男D,26
00017b84,body,493,594,611,869,,00017b6d,黒田,26
00017b85,text,431,577,483,723,気がついた時には楠欠になっていた,,,26
00017b86,body,309,369,579,554,,00017b38,緑川純一,26
00017b87,text,908,527,1017,671,ちっくしょう！１年にへたっぴ呼ばわりされてたまるかーーっ！！,,,26
00017b88,face,1051,447,1086,475,,00017b38,緑川純一,26
00017b89,face,975,416,1004,444,,00017b51,男A,26
00017b8a,text,68,72,104,177,聞こえてるよ！,,,26
00017b8b,frame,892,2,1169,264,,,,26
00017b8c,frame,411,565,755,879,,,,26
00017b8d,body,231,796,446,1169,,00017b38,緑川純一,26
00017b8e,text,217,66,263,160,バカ　黒田聞こえんぞ！,,,26
00017b8f,body,1236,0,1624,491,,00017b6d,黒田,26
00017b90,body,1152,910,1342,1114,,00017b74,男D,26
00017b91,face,1115,1007,1155,1066,,00017b92,男E,26
00017b93,body,932,402,1021,489,,00017b51,男A,26
00017b94,body,1088,353,1172,486,,00017b74,男D,26
00017b95,face,1106,393,1154,438,,00017b74,男D,26
00017b96,face,303,145,380,216,,00017b74,男D,26
00017b97,body,897,293,1097,491,,00017b6d,黒田,26
00017b98,face,1130,614,1177,665,,0001786a,other,26
00017b99,text,652,589,745,738,最初はイイ線いってたんだでも　段々みんなにし身長を迫いこされて,,,26
00017b9a,body,913,976,1048,1114,,00017b38,緑川純一,26
00017b9b,frame,1185,2,1627,487,,,,26
00017b9c,frame,1369,728,1625,1116,,,,26
00017b9d,frame,889,916,1358,1117,,,,26
00017b9e,body,362,10,749,346,,00017b6d,黒田,26
00017b9f,face,337,387,504,529,,00017b38,緑川純一,26
00017ba0,text,1282,932,1349,1063,すいませーんキャプテンお疲れ様っす！,,,26
00017ba1,face,1240,523,1333,612,,00017b38,緑川純一,26
00017ba2,body,980,630,1104,707,,00017b51,男A,26
00017ba3,body,1139,778,1189,895,,000175ff,中里圭太,26
00017ba4,face,981,86,1111,206,,00017b38,緑川純一,26
00017ba5,body,116,143,219,349,,00017b38,緑川純一,26
00017ba6,face,940,1022,994,1067,,00017b38,緑川純一,26
00017ba7,text,122,393,180,524,今に見てろよオレだって,,,26
00017ba8,text,1502,61,1571,211,あんなへたっぴシュート止めろよ,,,26
00017ba9,body,1038,416,1115,493,,00017b38,緑川純一,26
00017baa,body,1055,968,1196,1114,,00017b92,男E,26
00017bab,face,503,84,592,177,,00017b6d,黒田,26
