id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00018606,body,1155,548,1349,1163,00018599,落合遥,,74
00018607,face,1378,1030,1410,1071,00018599,落合遥,,74
00018608,body,885,547,1112,1165,00018599,落合遥,,74
00018609,text,951,271,987,352,,,そりゃそーだけど,74
0001860a,text,381,481,472,631,,,明日は休館日だからプールの大そうじを頼みたいんだけどいーかな？,74
0001860b,frame,1200,277,1583,526,,,,74
0001860c,face,358,894,401,965,0001860d,男Q,,74
0001860e,text,721,739,756,852,,,じゃよろしく頼むね,74
0001860f,text,701,477,744,531,,,そんなある日,74
00018610,face,1498,976,1551,1044,00018557,今泉潤,,74
00018611,body,28,725,191,1116,00018557,今泉潤,,74
00018612,face,548,311,594,358,00018557,今泉潤,,74
00018613,body,888,332,1054,524,00018557,今泉潤,,74
00018614,body,1442,449,1498,523,0001786a,other,,74
00018615,frame,885,1,1554,254,,,,74
00018616,frame,475,2,770,255,,,,74
00018617,frame,883,547,1111,1162,,,,74
00018618,face,1020,345,1070,423,00018553,男P,,74
00018619,text,1090,286,1186,526,,,だって　ちょっとカワイー娘がいても仕事上声かけらんないしストレスたまるぜ！,74
0001861a,face,313,924,361,989,0001861b,男R,,74
0001861c,body,1366,1005,1446,1168,00018599,落合遥,,74
0001861d,frame,503,465,765,702,,,,74
0001861e,body,1223,449,1286,520,0001786a,other,,74
0001861f,body,191,1,424,441,00018599,落合遥,,74
00018620,body,1296,458,1352,521,0001786a,other,,74
00018621,face,926,382,979,427,00018557,今泉潤,,74
00018622,text,678,1030,713,1104,,,ちょーカッタリーな,74
00018623,face,1198,626,1273,704,00018599,落合遥,,74
00018624,text,1047,537,1064,627,,,なあに？,74
00018625,body,303,904,384,1036,0001861b,男R,,74
00018626,face,551,992,623,1057,00018557,今泉潤,,74
00018627,text,1416,62,1542,259,,,ーーと　意気ごんだけど結局クラブの仲間とおつもつるんでいて彼女と話す機会はほとんどなかった,74
00018628,text,726,934,743,986,,,パタン,74
00018629,face,277,77,373,167,00018599,落合遥,,74
0001862a,body,1360,286,1429,487,0001786a,other,,74
0001862b,body,1366,544,1573,765,00018557,今泉潤,,74
0001862c,body,355,855,503,1044,0001860d,男Q,,74
0001862d,text,1512,568,1573,733,,,でもオレはさりげなく目の保養してるもんな,74
0001862e,body,577,726,685,904,0001862f,男S,,74
00018630,text,89,633,103,683,,,はーい,74
00018631,text,691,306,752,403,,,さっビート板の管理をしなきゃ,74
00018632,body,517,940,704,1113,00018557,今泉潤,,74
00018633,text,1432,790,1573,936,,,仕事帰りでもバイト中ても気がつくと遥さんを目で追っていたりする,74
00018634,frame,1366,548,1582,763,,,,74
00018635,face,224,983,261,1024,0001786a,other,,74
00018636,frame,885,277,1187,524,,,,74
00018637,frame,30,722,505,1113,,,,74
00018638,text,728,85,741,180,,,あ・・・・いえ,74
00018639,face,895,660,1108,907,00018599,落合遥,,74
0001863a,face,101,787,160,862,00018557,今泉潤,,74
0001863b,text,1211,298,1264,432,,,おまえそりゃ八ツ当たりだろ,74
0001863c,body,1292,305,1384,487,0001786a,other,,74
0001863d,face,1251,482,1280,508,0001786a,other,,74
0001863e,text,211,726,245,851,,,そーゆーおめーらこそな！,74
0001863f,face,1382,305,1398,333,0001786a,other,,74
00018640,body,471,1,738,257,00018557,今泉潤,,74
00018641,body,1465,909,1623,1167,00018557,今泉潤,,74
00018642,text,313,795,335,875,,,頼むよ〜,74
00018643,frame,1367,786,1623,1164,,,,74
00018644,frame,82,4,456,443,,,,74
00018645,frame,518,927,767,1110,,,,74
00018646,text,90,77,154,210,,,相変わらず遥さんの前だとあがっちゃうんだ,74
00018647,face,1394,608,1484,701,00018557,今泉潤,,74
00018648,frame,471,277,769,438,,,,74
00018649,text,1483,288,1565,533,,,ちくしょーカップルは　こんなプールへ来んな！海へ行けってんだ！子供の教育上よくない！,74
0001864a,text,425,742,485,835,,,みんなサボるのナシだぞ！,74
0001864b,face,1352,321,1374,350,0001786a,other,,74
0001864c,body,1017,292,1129,523,00018553,男P,,74
0001864d,face,586,772,649,843,0001862f,男S,,74
0001864e,text,422,132,445,195,,,・・・・・・,74
0001864f,face,548,84,662,193,00018557,今泉潤,,74
00018650,frame,64,461,487,705,,,,74
00018651,frame,517,722,766,905,,,,74
00018652,body,530,280,654,443,00018557,今泉潤,,74
00018653,body,209,953,311,1113,0001786a,other,,74
00018654,frame,1127,542,1354,1169,,,,74
