id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
00019b42,text,922,10,1000,130,親分はその２年ですっかり変わっちまってた…,,,83
00019b43,face,1198,530,1399,734,,00018bdb,草壁鉄太,83
00019b44,body,44,440,104,706,,00018be2,神代ユウキ,83
00019b45,body,1499,541,1643,786,,00018bdb,草壁鉄太,83
00019b46,frame,481,57,755,453,,,,83
00019b47,body,669,891,751,1039,,00018bdb,草壁鉄太,83
00019b48,text,676,95,717,228,ノイズ狩りって何だよ…！,,,83
00019b49,body,980,171,1029,297,,00018aa5,嘩形弾,83
00019b4a,text,112,809,170,917,マーリーさんなら 何か知らしないかな…？,,,83
00019b4b,face,1177,871,1268,944,,00018b78,椿又右衛門,83
00019b4c,frame,38,3,471,763,,,,83
00019b4d,frame,527,785,753,1081,,,,83
00019b4e,text,1557,403,1616,545,今の椿さんはオイラの知ってた親分じゃない…！,,,83
00019b4f,text,239,21,282,232,何があの人を変えちまったんだよォ…,,,83
00019b50,body,1025,195,1062,285,,00018bdb,草壁鉄太,83
00019b51,body,949,187,988,287,,00018be2,神代ユウキ,83
00019b52,body,45,324,184,653,,00018aa5,嘩形弾,83
00019b53,text,1458,14,1538,133,椿さんはオイラが昔からつるんでた親分だったんだ,,,83
00019b54,frame,74,785,516,1079,,,,83
00019b55,face,1290,968,1365,1028,,00018bdb,草壁鉄太,83
00019b56,body,484,133,720,448,,00018bdb,草壁鉄太,83
00019b57,body,487,482,750,758,,00018aa5,嘩形弾,83
00019b58,frame,481,476,753,761,,,,83
00019b59,body,612,841,724,928,,00018aa5,嘩形弾,83
00019b5a,body,1114,820,1464,1084,,00018b78,椿又右衛門,83
00019b5b,text,1247,161,1332,330,オイラ２年前にココに入学させられた椿の頼分を追って入学した,,,83
00019b5c,text,1127,17,1140,48,でも,,,83
00019b5d,frame,1179,31,1583,352,,,,83
00019b5e,face,1543,560,1594,615,,00018bdb,草壁鉄太,83
00019b5f,face,558,515,745,745,,00018aa5,嘩形弾,83
00019b60,body,41,308,468,751,,00018bdb,草壁鉄太,83
00019b61,frame,903,374,1401,793,,,,83
00019b62,face,206,384,291,460,,00018bdb,草壁鉄太,83
00019b63,body,1015,381,1396,790,,00018bdb,草壁鉄太,83
00019b64,body,200,790,512,1077,,00018be2,神代ユウキ,83
00019b65,text,1482,838,1540,938,親分はもっと優しかったんだ…,,,83
00019b66,text,974,900,1056,1043,強くて懐が広くて…とにかく よく笑う人でよ…,,,83
00019b67,frame,1411,376,1646,793,,,,83
00019b68,text,434,809,471,927,ひょっとして…だけど…,,,83
00019b69,body,1421,664,1518,788,,00018b78,椿又右衛門,83
00019b6a,body,583,933,749,1077,,00018be2,神代ユウキ,83
00019b6b,body,1256,909,1415,1086,,00018bdb,草壁鉄太,83
00019b6c,frame,903,816,1583,1091,,,,83
00019b6d,text,965,401,1045,560,何かが親分を変えちまった…,,,83
00019b6e,face,610,972,650,1011,,00018be2,神代ユウキ,83
00019b6f,text,555,842,614,945,"……
ねェ…",,,83
00019b70,face,265,864,443,1060,,00018be2,神代ユウキ,83
00019b71,frame,903,1,1167,353,,,,83
00019b72,face,648,883,693,925,,00018aa5,嘩形弾,83
00019b73,face,74,372,134,420,,00018aa5,嘩形弾,83
