id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
00019d45,body,908,76,1339,1167,00018aa5,嘩形弾,,93
00019d46,body,9,121,332,803,00018aa5,嘩形弾,,93
00019d47,face,1534,544,1582,584,00018aa5,嘩形弾,,93
00019d48,frame,492,0,758,808,,,,93
00019d49,body,496,294,756,805,00018aa5,嘩形弾,,93
00019d4a,frame,905,1,1362,1168,,,,93
00019d4b,text,667,69,717,205,,,俺はこの手を信じてる！,93
00019d4c,text,172,924,266,1006,,,…成程,93
00019d4d,face,391,920,596,1137,00018e22,加納才蔵,,93
00019d4e,frame,342,74,485,807,,,,93
00019d4f,text,186,96,278,303,,,クソッ喰らえだ!!,93
00019d50,text,1072,1,1354,702,,,白いマフラーの男！,93
00019d51,face,910,348,1183,895,00018aa5,嘩形弾,,93
00019d52,face,589,345,694,469,00018aa5,嘩形弾,,93
00019d53,body,302,834,754,1166,00018e22,加納才蔵,,93
00019d54,frame,1217,0,1645,1169,,,,93
00019d55,body,1487,252,1647,1095,00018aa5,嘩形弾,,93
00019d56,body,374,398,482,805,00018e22,加納才蔵,,93
00019d57,face,389,431,458,504,00018e22,加納才蔵,,93
00019d58,frame,79,830,756,1169,,,,93
00019d59,text,396,145,435,314,,,てめェらの作った枠組みなんてよ,93
00019d5a,text,512,157,595,337,,,混沌の中から最高のモノを掴み出すってな!!,93
00019d5b,body,1266,305,1644,1110,00018e22,加納才蔵,,93
00019d5c,frame,7,3,332,809,,,,93
00019d5d,face,107,357,331,734,00018aa5,嘩形弾,,93
