id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001a079,text,333,881,375,1010,おう・・・いつもより多い,,,11
0001a07a,text,451,1002,535,1114,おい！なんか試験官が…,,,11
0001a07b,text,1258,771,1336,898,1時限目さえ乗りきりゃなんとかなる！,,,11
0001a07c,text,65,881,128,1032,ちっばれたか,,,11
0001a07d,face,1430,946,1499,1007,,00019e5b,吉田花子,11
0001a07e,face,1209,580,1262,642,,00019dea,Other,11
0001a07f,body,517,862,649,1081,,00019dea,Other,11
0001a080,face,370,976,430,1089,,00019dea,Other,11
0001a081,body,1211,372,1261,436,,00019e5b,吉田花子,11
0001a082,frame,51,403,749,837,,,,11
0001a083,frame,493,84,750,381,,,,11
0001a084,face,584,92,733,320,,00019dcf,若松潤子,11
0001a085,body,621,970,746,1132,,00019dea,Other,11
0001a086,frame,887,264,1589,756,,,,11
0001a087,body,1163,554,1307,710,,00019dea,Other,11
0001a088,face,1480,1047,1569,1125,,00019dc9,大福満太,11
0001a089,body,475,411,660,830,,0001a08a,中島先生,11
0001a08b,body,1412,940,1510,1086,,00019e5b,吉田花子,11
0001a08c,text,1409,1041,1431,1110,プシー,,,11
0001a08d,body,1448,1021,1582,1127,,00019dc9,大福満太,11
0001a08e,face,284,85,453,310,,0001a08a,中島先生,11
0001a08f,face,1250,1019,1314,1104,,0001a090,他人A,11
0001a091,face,190,434,254,512,,0001a092,先生A,11
0001a093,face,680,1028,742,1130,,00019dea,Other,11
0001a094,body,163,403,301,825,,0001a092,先生A,11
0001a095,body,316,940,437,1132,,00019dea,Other,11
0001a096,face,564,869,640,945,,00019dea,Other,11
0001a097,text,1340,955,1386,1103,死相がでとる・・・,,,11
0001a098,body,536,88,746,375,,00019dcf,若松潤子,11
0001a099,body,931,757,1236,1165,,00019dcf,若松潤子,11
0001a09a,body,99,86,291,375,,0001a092,先生A,11
0001a09b,body,284,427,534,710,,00019dcf,若松潤子,11
0001a09c,face,1218,385,1255,407,,00019e5b,吉田花子,11
0001a09d,body,272,86,486,375,,0001a08a,中島先生,11
0001a09e,frame,826,0,1653,346,,,,11
0001a09f,frame,272,85,525,376,,,,11
0001a0a0,text,646,449,737,632,これより今年度の学年末試験を行います,,,11
0001a0a1,frame,46,860,303,1168,,,,11
0001a0a2,face,995,809,1107,934,,00019dcf,若松潤子,11
0001a0a3,body,1249,991,1337,1123,,0001a090,他人A,11
0001a0a4,face,531,428,608,516,,0001a08a,中島先生,11
0001a0a5,frame,1249,940,1585,1125,,,,11
0001a0a6,text,54,430,153,807,みなさんくれぐれも不正行為のないよう日頃の勉強の成果を存分に発揮してください,,,11
0001a0a7,text,1556,961,1578,1031,プシー,,,11
0001a0a8,text,696,870,744,959,ザワ,,,11
0001a0a9,frame,19,70,293,375,,,,11
0001a0aa,text,1492,781,1583,892,今日は英語・理科・美術,,,11
0001a0ab,frame,888,753,1237,1165,,,,11
0001a0ac,face,364,462,426,534,,00019dcf,若松潤子,11
0001a0ad,body,950,428,1066,580,,0001a090,他人A,11
0001a0ae,face,1207,442,1263,488,,00019dc9,大福満太,11
0001a0af,text,648,932,688,1013,ザワ,,,11
0001a0b0,frame,1250,757,1586,914,,,,11
0001a0b1,face,134,142,267,338,,0001a092,先生A,11
0001a0b2,body,1340,759,1492,911,,00019dc9,大福満太,11
0001a0b3,face,1358,775,1480,889,,00019dc9,大福満太,11
0001a0b4,body,1185,420,1298,557,,00019dc9,大福満太,11
0001a0b5,face,196,865,290,993,,00019dea,Other,11
0001a0b6,face,982,442,1034,498,,0001a090,他人A,11
0001a0b7,frame,313,861,750,1134,,,,11
0001a0b8,body,174,864,303,1168,,00019dea,Other,11
