id,type,xmin,ymin,xmax,ymax,character_id,character_name,page_number
0001ab36,face,889,94,1047,308,0001aa12,牛丸太郎,59
0001ab37,frame,1226,855,1653,1169,,,59
0001ab38,frame,188,653,495,935,,,59
0001ab39,face,273,698,313,739,0001aa12,牛丸太郎,59
0001ab3a,face,594,537,715,653,00019dc9,大福満太,59
0001ab3b,frame,1,428,221,957,,,59
0001ab3c,frame,467,669,746,933,,,59
0001ab3d,body,973,979,1154,1138,00019dc9,大福満太,59
0001ab3e,body,206,759,383,937,00019dc9,大福満太,59
0001ab3f,frame,884,684,1653,843,,,59
0001ab40,body,987,681,1178,840,0001aa12,牛丸太郎,59
0001ab41,frame,434,426,746,661,,,59
0001ab42,body,222,436,435,636,0001aa12,牛丸太郎,59
0001ab43,frame,1240,461,1653,655,,,59
0001ab44,frame,888,869,1236,1168,,,59
0001ab45,frame,211,405,477,632,,,59
0001ab46,body,889,460,1210,653,0001aa12,牛丸太郎,59
0001ab47,body,1303,959,1653,1169,00019dc9,大福満太,59
0001ab48,face,1512,491,1621,633,00019dc9,大福満太,59
0001ab49,face,1501,109,1650,268,00019dc9,大福満太,59
0001ab4a,body,47,956,345,1131,0001aa12,牛丸太郎,59
0001ab4b,frame,0,960,748,1167,,,59
0001ab4c,body,196,681,488,905,0001aa12,牛丸太郎,59
0001ab4d,body,437,509,748,661,00019dc9,大福満太,59
0001ab4e,body,1242,923,1613,1169,0001aa12,牛丸太郎,59
0001ab4f,body,889,35,1530,435,0001aa12,牛丸太郎,59
0001ab50,body,545,685,748,935,0001aa12,牛丸太郎,59
0001ab51,body,1028,65,1651,433,00019dc9,大福満太,59
0001ab52,frame,887,0,1653,709,,,59
0001ab53,frame,887,460,1276,657,,,59
0001ab54,frame,0,0,751,424,,,59
0001ab55,body,1399,460,1651,655,00019dc9,大福満太,59
0001ab56,body,1399,727,1547,840,00019dc9,大福満太,59
0001ab57,face,899,492,1037,633,0001aa12,牛丸太郎,59
0001ab58,body,482,965,647,1135,00019dc9,大福満太,59
