id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0001ab59,frame,0,321,413,702,,,,60
0001ab5a,body,21,936,248,1107,00019dc9,大福満太,,60
0001ab5b,text,1179,921,1334,1078,,,いつの間にかおれが大悪人になっている！！！,60
0001ab5c,body,1104,626,1213,778,00019dea,Other,,60
0001ab5d,frame,900,805,1375,1109,,,,60
0001ab5e,body,0,648,267,970,0001aa12,牛丸太郎,,60
0001ab5f,body,1558,983,1596,1092,00019dea,Other,,60
0001ab60,face,68,113,219,319,00019dc9,大福満太,,60
0001ab61,text,74,435,102,570,,,問答無用！！,60
0001ab62,face,1362,557,1410,607,00019dea,Other,,60
0001ab63,body,0,361,393,626,0001aa12,牛丸太郎,,60
0001ab64,body,253,653,461,1000,0001aa12,牛丸太郎,,60
0001ab65,body,1150,483,1286,655,00019dea,Other,,60
0001ab66,text,259,92,391,307,,,"てめェきたねェぞ
いつの間に大衆側についた！？",60
0001ab67,frame,1261,0,1601,429,,,,60
0001ab68,body,1480,930,1536,1064,00019dea,Other,,60
0001ab69,body,1028,488,1117,652,00019dea,Other,,60
0001ab6a,frame,252,651,753,1003,,,,60
0001ab6b,frame,1384,807,1596,1169,,,,60
0001ab6c,frame,422,0,753,627,,,,60
0001ab6d,body,905,822,1157,1105,00019dc9,大福満太,,60
0001ab6e,face,905,944,1136,1102,00019dc9,大福満太,,60
0001ab6f,text,362,402,390,480,,,黙れ！！,60
0001ab70,body,1277,57,1602,428,00019dc9,大福満太,,60
0001ab71,face,1381,81,1493,187,00019dc9,大福満太,,60
0001ab72,body,948,678,1073,781,00019dea,Other,,60
0001ab73,frame,0,0,413,339,,,,60
0001ab74,face,1058,511,1095,558,00019dea,Other,,60
0001ab75,frame,242,922,753,1166,,,,60
0001ab76,body,1304,545,1472,710,00019dea,Other,,60
0001ab77,face,1015,701,1058,775,00019dea,Other,,60
0001ab78,body,384,702,587,987,00019dc9,大福満太,,60
0001ab79,body,933,63,1248,430,0001aa12,牛丸太郎,,60
0001ab7a,text,431,338,521,592,,,"そういうことや！！
今やお前はクラス全員の敵なんだよ！！",60
0001ab7b,body,902,502,962,628,00019dea,Other,,60
0001ab7c,frame,902,0,1247,431,,,,60
0001ab7d,body,1385,809,1553,1169,00019dc9,大福満太,,60
0001ab7e,face,1012,133,1104,207,0001aa12,牛丸太郎,,60
0001ab7f,body,0,68,269,336,00019dc9,大福満太,,60
0001ab80,frame,903,458,1600,779,,,,60
0001ab81,face,538,90,631,185,0001aa12,牛丸太郎,,60
0001ab82,face,195,362,303,544,0001aa12,牛丸太郎,,60
0001ab83,body,1418,982,1487,1078,00019dea,Other,,60
0001ab84,text,705,80,733,258,,,ハッハッハー,60
0001ab85,frame,0,647,266,1110,,,,60
0001ab86,body,469,18,754,624,0001aa12,牛丸太郎,,60
