id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001b99d,text,911,956,981,1032,い…いやどーも助かるよ,,,53
0001b99e,body,512,506,750,1084,,0001b32a,杠　龍星,53
0001b99f,frame,92,94,751,413,,,,53
0001b9a0,text,1509,573,1533,604,！,,,53
0001b9a1,text,1250,564,1276,610,ん？,,,53
0001b9a2,face,317,234,427,316,,0001b98c,天宮沙羅,53
0001b9a3,face,991,785,1069,843,,0001b98c,天宮沙羅,53
0001b9a4,face,461,190,562,294,,0001b32a,杠　龍星,53
0001b9a5,frame,35,699,338,1168,,,,53
0001b9a6,frame,515,426,751,1085,,,,53
0001b9a7,text,604,106,736,336,あのさ電車の中で杠　天羽の小説呼んでたろ　ファン？,,,53
0001b9a8,face,1051,260,1218,388,,0001b32a,杠　龍星,53
0001b9a9,frame,902,540,1295,1075,,,,53
0001b9aa,frame,902,86,1258,530,,,,53
0001b9ab,body,429,760,545,1022,,0001b32a,杠　龍星,53
0001b9ac,body,420,118,642,411,,0001b32a,杠　龍星,53
0001b9ad,text,1491,108,1541,201,じゃあ同じ方角だ,,,53
0001b9ae,face,348,820,438,901,,0001b98c,天宮沙羅,53
0001b9af,body,903,742,1128,1074,,0001b98c,天宮沙羅,53
0001b9b0,text,971,509,1113,642,そのことをし知っているのはむろんごくわずかの人間だけである,,,53
0001b9b1,text,923,101,1008,384,野郎同士の相合傘なんて色気ないけど　濡れるよりましだろ,,,53
0001b9b2,body,273,160,487,408,,0001b98c,天宮沙羅,53
0001b9b3,text,1208,82,1361,202,そのせいか少しばかり人と違ったカを持って生まれてきたのだが,,,53
0001b9b4,text,1337,345,1381,455,よかったらはいってけよ,,,53
0001b9b5,frame,1305,541,1562,1075,,,,53
0001b9b6,body,1307,635,1562,1076,,0001b98c,天宮沙羅,53
0001b9b7,text,105,120,209,345,うんまあね　ひょっとして君も？,,,53
0001b9b8,face,1361,747,1526,877,,0001b98c,天宮沙羅,53
0001b9b9,frame,1266,88,1561,530,,,,53
0001b9ba,frame,304,697,545,1084,,,,53
0001b9bb,face,455,798,531,875,,0001b32a,杠　龍星,53
0001b9bc,frame,91,423,567,686,,,,53
0001b9bd,face,1196,756,1265,805,,0001b32a,杠　龍星,53
0001b9be,body,1094,708,1295,1074,,0001b32a,杠　龍星,53
0001b9bf,text,666,442,736,534,ああ好きっていうか……,,,53
0001b9c0,body,905,137,1257,529,,0001b32a,杠　龍星,53
0001b9c1,body,307,762,516,1083,,0001b98c,天宮沙羅,53
0001b9c2,face,541,661,721,848,,0001b32a,杠　龍星,53
