id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0001bf45,frame,1166,0,1618,650,,,,100
0001bf46,frame,30,1,753,1087,,,,100
0001bf47,body,1054,627,1297,1082,0001b32a,杠　龍星,,100
0001bf48,face,1071,317,1133,364,0001b324,篠原涼子,,100
0001bf49,frame,906,93,1171,611,,,,100
0001bf4a,body,910,783,1086,1079,0001b324,篠原涼子,,100
0001bf4b,body,908,164,1070,608,0001b32a,杠　龍星,,100
0001bf4c,text,203,379,225,437,,,それは,100
0001bf4d,frame,1178,2,1347,503,,,,100
0001bf4e,face,968,828,1047,894,0001b324,篠原涼子,,100
0001bf4f,text,96,768,242,899,,,あの男との出会いを予期してのことだったのかもしれない,100
0001bf50,frame,906,623,1296,1083,,,,100
0001bf51,text,1443,671,1529,961,,,空模様もあやしくなってきたし　嵐がくるかもしれないわね,100
0001bf52,text,1064,118,1141,214,,,やだ急に風がで出てきたわ,100
0001bf53,text,556,161,695,257,,,その時漠然とした不安がおれの心をよぎった,100
0001bf54,frame,1306,625,1563,1085,,,,100
0001bf55,face,935,216,999,274,0001b32a,杠　龍星,,100
0001bf56,body,264,241,489,1138,0001b32a,杠　龍星,,100
0001bf57,face,369,311,448,369,0001b32a,杠　龍星,,100
0001bf58,text,1249,662,1278,721,,,嵐……,100
0001bf59,body,1176,1,1346,485,0001b324,篠原涼子,,100
0001bf5a,text,1209,343,1232,407,,,キャッ,100
0001bf5b,face,1084,701,1199,805,0001b32a,杠　龍星,,100
0001bf5c,body,971,257,1167,611,0001b324,篠原涼子,,100
