id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0001d119,body,1177,845,1295,971,0001cc1d,エドワード王子,,77
0001d11a,body,464,354,669,478,0001c09a,other,,77
0001d11b,body,336,733,419,827,0001c09a,other,,77
0001d11c,face,495,926,527,967,0001c09a,other,,77
0001d11d,face,145,738,241,821,0001cb9e,乞食のトム,,77
0001d11e,text,1012,698,1079,829,,,となりのへやだな,77
0001d11f,body,594,904,723,1045,0001cb9e,乞食のトム,,77
0001d120,frame,56,863,741,1095,,,,77
0001d121,text,236,626,295,691,,,動くでないっ,77
0001d122,body,652,606,739,751,0001bf65,クローディアス,,77
0001d123,body,225,990,321,1097,0001cc1d,エドワード王子,,77
0001d124,face,520,741,572,791,0001c09a,other,,77
0001d125,face,414,788,473,838,0001cc1d,エドワード王子,,77
0001d126,frame,896,78,1588,1096,,,,77
0001d127,body,499,714,659,801,0001c09a,other,,77
0001d128,body,328,899,447,1014,0001bf65,クローディアス,,77
0001d129,body,466,650,534,728,0001c09a,other,,77
0001d12a,body,145,347,368,576,0001cf71,戴冠式の人,,77
0001d12b,face,239,909,270,948,0001c09a,other,,77
0001d12c,body,413,763,500,839,0001cc1d,エドワード王子,,77
0001d12d,face,122,947,152,977,0001c09a,other,,77
0001d12e,face,1213,874,1263,923,0001cc1d,エドワード王子,,77
0001d12f,face,390,701,414,727,0001c09a,other,,77
0001d130,text,1423,174,1535,301,,,どけーどけどけどけっ,77
0001d131,face,549,369,598,441,0001c09a,other,,77
0001d132,text,80,86,147,156,,,はっいちにいの･･･,77
0001d133,frame,59,338,741,577,,,,77
0001d134,face,556,521,620,570,0001cb9e,乞食のトム,,77
0001d135,face,251,122,301,178,0001cf71,戴冠式の人,,77
0001d136,text,680,94,722,131,,,王冠を･･･,77
0001d137,face,243,1010,284,1051,0001cc1d,エドワード王子,,77
0001d138,face,413,472,473,528,0001cc1d,エドワード王子,,77
0001d139,body,509,78,655,316,0001c09a,other,,77
0001d13a,body,148,79,384,317,0001cf71,戴冠式の人,,77
0001d13b,face,395,915,433,949,0001bf65,クローディアス,,77
0001d13c,body,57,895,179,1043,0001c09a,other,,77
0001d13d,body,368,490,648,579,0001cb9e,乞食のトム,,77
0001d13e,face,554,126,607,189,0001c09a,other,,77
0001d13f,face,202,368,267,436,0001cf71,戴冠式の人,,77
0001d140,body,348,611,450,733,0001c09a,other,,77
0001d141,body,344,189,459,318,0001cb9e,乞食のトム,,77
0001d142,face,477,672,522,713,0001c09a,other,,77
0001d143,face,612,922,649,960,0001cb9e,乞食のトム,,77
0001d144,text,566,617,630,691,,,とりおさえいーっ,77
0001d145,body,394,442,536,579,0001cc1d,エドワード王子,,77
0001d146,face,331,1039,376,1089,0001c09a,other,,77
0001d147,text,67,463,156,560,,,まていっ余こそ国王なるぞ,77
0001d148,face,363,745,406,787,0001c09a,other,,77
0001d149,frame,55,75,741,321,,,,77
0001d14a,frame,58,601,325,837,,,,77
0001d14b,body,192,877,301,999,0001c09a,other,,77
0001d14c,text,1041,229,1159,393,,,あっだれもいないのか,77
0001d14d,frame,332,597,741,841,,,,77
0001d14e,body,97,689,275,835,0001cb9e,乞食のトム,,77
0001d14f,face,385,230,423,267,0001cb9e,乞食のトム,,77
0001d150,face,670,664,737,747,0001cf71,戴冠式の人,,77
0001d151,text,67,610,138,728,,,そのお方こそ国王であらせられるぞ,77
0001d152,body,480,917,587,1032,0001c09a,other,,77
