id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001e57b,text,1570,322,1600,371,おさえておさえて,,,170
0001e57c,face,460,104,613,178,,0001dbc9,サンチョ,170
0001e57d,body,936,526,1055,700,,0001e4e8,医者,170
0001e57e,face,1000,925,1057,993,,0001ded4,ドルシネア姫,170
0001e57f,text,1485,736,1567,814,食欲が出ればいいのだが･･････,,,170
0001e580,text,1272,446,1354,494,ええ･･････思ったより,,,170
0001e581,frame,1153,76,1589,407,,,,170
0001e582,text,1433,64,1588,139,私が会社に行けないのはねーーーあのねー,,,170
0001e583,body,1346,496,1536,704,,0001e4e8,医者,170
0001e584,body,1386,975,1409,1040,,0001e4f5,看護師,170
0001e585,text,1530,599,1568,649,ああは言ったが,,,170
0001e586,frame,1203,727,1587,1093,,,,170
0001e587,body,458,75,611,273,,0001dbc9,サンチョ,170
0001e588,face,1085,189,1137,227,,0001dbc9,サンチョ,170
0001e589,body,675,733,736,909,,0001dbc9,サンチョ,170
0001e58a,frame,915,728,1188,1093,,,,170
0001e58b,frame,56,927,740,1091,,,,170
0001e58c,face,1009,174,1055,242,,0001e4e8,医者,170
0001e58d,body,1195,235,1373,407,,0001ded4,ドルシネア姫,170
0001e58e,face,933,160,956,188,,0001e4f5,看護師,170
0001e58f,face,1272,588,1311,629,,0001e4f5,看護師,170
0001e590,frame,914,426,1236,703,,,,170
0001e591,body,994,275,1138,406,,0001ded4,ドルシネア姫,170
0001e592,text,335,85,453,156,ホントに何も憶えてないんで？,,,170
0001e593,face,1519,192,1576,263,,0001e4e8,医者,170
0001e594,text,918,434,1038,528,そうね面会人もいないだろうけど,,,170
0001e595,body,1236,984,1278,1045,,0001c09a,other,170
0001e596,body,1058,865,1188,1094,,0001dbc9,サンチョ,170
0001e597,face,241,994,356,1055,,0001dbc9,サンチョ,170
0001e598,body,495,761,617,911,,0001ded4,ドルシネア姫,170
0001e599,face,450,1005,541,1090,,0001ded4,ドルシネア姫,170
0001e59a,text,71,76,175,117,何を？････････････,,,170
0001e59b,body,303,739,382,906,,0001dbc9,サンチョ,170
0001e59c,body,1415,971,1435,1039,,0001e4e8,医者,170
0001e59d,face,1390,528,1454,614,,0001e4e8,医者,170
0001e59e,body,239,964,358,1090,,0001dbc9,サンチョ,170
0001e59f,body,939,917,1087,1054,,0001ded4,ドルシネア姫,170
0001e5a0,frame,1247,430,1590,704,,,,170
0001e5a1,body,1355,185,1549,372,,0001dbc9,サンチョ,170
0001e5a2,face,1103,902,1185,992,,0001dbc9,サンチョ,170
0001e5a3,text,464,376,654,546,何か長い長い･･････不思議な夢を見ていたような気持ちが･･････,,,170
0001e5a4,frame,62,299,382,907,,,,170
0001e5a5,frame,914,78,1137,406,,,,170
0001e5a6,face,174,768,237,839,,0001ded4,ドルシネア姫,170
0001e5a7,body,148,765,268,907,,0001ded4,ドルシネア姫,170
0001e5a8,face,1236,241,1308,335,,0001ded4,ドルシネア姫,170
0001e5a9,face,682,751,735,818,,0001dbc9,サンチョ,170
0001e5aa,text,1040,74,1127,170,それじゃ何かあったら呼んでください,,,170
0001e5ab,text,1103,437,1189,500,面会謝絶にしておきますか,,,170
0001e5ac,face,311,765,376,837,,0001dbc9,サンチョ,170
0001e5ad,face,1396,196,1515,279,,0001dbc9,サンチョ,170
0001e5ae,body,420,1004,739,1091,,0001ded4,ドルシネア姫,170
0001e5af,text,580,937,684,1015,多分つまらぬ子供の夢だったのだろう,,,170
0001e5b0,body,1297,990,1318,1032,,0001c09a,other,170
0001e5b1,body,1484,165,1596,396,,0001e4e8,医者,170
0001e5b2,body,1331,149,1433,360,,0001e4f5,看護師,170
0001e5b3,face,532,765,588,829,,0001ded4,ドルシネア姫,170
0001e5b4,text,1251,755,1421,844,何か献立を考えてみますそうしてくれ,,,170
0001e5b5,face,185,170,287,268,,0001ded4,ドルシネア姫,170
0001e5b6,frame,63,72,734,274,,,,170
0001e5b7,body,1085,183,1139,291,,0001dbc9,サンチョ,170
0001e5b8,body,1247,560,1341,702,,0001e4f5,看護師,170
0001e5b9,body,914,144,968,301,,0001e4f5,看護師,170
0001e5ba,text,1154,130,1226,202,えーえー大ヘマでしたよ,,,170
0001e5bb,face,973,555,1027,626,,0001e4e8,医者,170
0001e5bc,body,147,167,421,271,,0001ded4,ドルシネア姫,170
0001e5bd,text,1480,431,1572,491,体力がかなり弱っているな,,,170
0001e5be,face,1051,281,1112,356,,0001ded4,ドルシネア姫,170
0001e5bf,text,371,935,409,1000,そうすか･･･,,,170
0001e5c0,frame,398,296,735,910,,,,170
0001e5c1,body,1043,528,1172,702,,0001e4f5,看護師,170
0001e5c2,text,925,332,981,389,少し休みますわい,,,170
0001e5c3,text,1261,71,1357,142,どうせヘマをしたんだろう,,,170
0001e5c4,text,139,465,218,525,しかし思い出せない･･･,,,170
0001e5c5,text,89,933,218,1014,大将がそういうんならそうなんでやしょ･･･,,,170
0001e5c6,face,1102,563,1123,608,,0001e4f5,看護師,170
0001e5c7,body,963,160,1072,357,,0001e4e8,医者,170
0001e5c8,face,1360,171,1399,213,,0001e4f5,看護師,170
0001e5c9,text,70,226,111,263,そう･･････,,,170
