id,type,xmin,ymin,xmax,ymax,text_content,character_id,character_name,page_number
0001eb2f,text,721,92,786,225,あった!!ありました,,,22
0001eb30,body,1228,928,1330,1120,,0001e769,Other,22
0001eb31,text,383,31,474,238,犯人の要求文です！,,,22
0001eb32,text,259,859,272,953,うい～～～～,,,22
0001eb33,frame,5,77,147,440,,,,22
0001eb34,text,1234,862,1258,888,はぁ,,,22
0001eb35,text,468,844,548,1035,展望デッキから内線!! 犯人からの手紙を発見!!,,,22
0001eb36,text,1259,638,1283,675,はっ,,,22
0001eb37,body,1055,0,1474,324,,0001e7cd,早乙女乙女,22
0001eb38,frame,867,814,1108,1167,,,,22
0001eb39,text,1519,51,1594,187,全部見せてくれる・・・・・・・？,,,22
0001eb3a,face,114,989,184,1071,,0001e769,Other,22
0001eb3b,text,138,695,176,769,・・・・・・・・なにっ!?,,,22
0001eb3c,text,978,719,995,752,はっ,,,22
0001eb3d,face,617,936,758,1096,,0001e769,Other,22
0001eb3e,body,236,911,558,1167,,0001eb3f,安井忠俊,22
0001eb40,body,873,908,1102,1169,,0001e769,Other,22
0001eb41,frame,572,826,784,1124,,,,22
0001eb42,frame,165,0,481,440,,,,22
0001eb43,text,1519,846,1542,886,はっ,,,22
0001eb44,text,294,620,345,699,はいっコントロールタワー,,,22
0001eb45,text,941,78,959,167,えっ・・・・,,,22
0001eb46,text,883,836,941,992,こっ・・・・・これだーっ!!,,,22
0001eb47,body,468,596,589,800,,0001e769,Other,22
0001eb48,text,1154,963,1175,989,はぁ,,,22
0001eb49,frame,0,828,220,1169,,,,22
0001eb4a,frame,234,825,560,1169,,,,22
0001eb4b,text,33,932,74,1035,ああ・・・・・・・・知ってる・・・,,,22
0001eb4c,frame,1313,812,1570,1124,,,,22
0001eb4d,frame,870,361,1565,791,,,,22
0001eb4e,text,893,1118,928,1161,!!,,,22
0001eb4f,face,924,999,1090,1164,,0001e769,Other,22
0001eb50,face,540,628,578,665,,0001e769,Other,22
0001eb51,text,883,660,903,694,はっ,,,22
0001eb52,frame,90,490,782,800,,,,22
0001eb53,face,1247,938,1288,975,,0001e769,Other,22
0001eb54,body,619,224,752,441,,0001e769,Other,22
0001eb55,body,93,957,219,1169,,0001e769,Other,22
0001eb56,frame,871,0,1566,325,,,,22
0001eb57,face,1069,46,1371,306,,0001e7cd,早乙女乙女,22
0001eb58,frame,1108,816,1327,1121,,,,22
0001eb59,text,1371,1059,1391,1094,はっ,,,22
0001eb5a,body,575,857,787,1123,,0001e769,Other,22
0001eb5b,face,671,323,713,364,,0001e769,Other,22
0001eb5c,text,731,843,771,921,わかった・・・・・!!,,,22
0001eb5d,frame,504,84,781,441,,,,22
0001eb5e,text,162,846,204,959,副室長っ大変ですっ!!,,,22
0001eb5f,face,289,1007,477,1167,,0001eb3f,安井忠俊,22
0001eb60,text,1486,649,1503,675,はっ,,,22
