id,type,xmin,ymin,xmax,ymax,character_id,character_name,text_content,page_number
0001ec58,face,67,20,226,152,0001e769,Other,,27
0001ec59,text,1281,36,1344,124,,,無事解決した暁には・・・・,27
0001ec5a,frame,76,1043,771,1166,,,,27
0001ec5b,frame,874,736,1050,1121,,,,27
0001ec5c,frame,873,507,1574,708,,,,27
0001ec5d,body,1246,87,1567,321,0001eb3f,安井忠俊,,27
0001ec5e,text,891,118,931,255,,,・・・・・・・・・・・わかったよ・・・・,27
0001ec5f,text,29,220,88,336,,,その時は515人が死んだ!!515人だぞっ!!,27
0001ec60,text,1489,547,1553,660,,,これなら・・・・宇宙から・・・・でも・・・・,27
0001ec61,face,1359,117,1522,296,0001eb3f,安井忠俊,,27
0001ec62,text,625,1057,668,1144,,,頼むぜェ・・・・・・・,27
0001ec63,frame,1032,738,1653,1165,,,,27
0001ec64,body,874,10,1220,484,0001e7f7,峰岸英太郎,,27
0001ec65,frame,1249,301,1568,483,,,,27
0001ec66,body,30,0,267,186,0001e769,Other,,27
0001ec67,body,544,677,763,1009,0001e769,Other,,27
0001ec68,text,104,530,171,776,,,乗員乗客一人残らずだぞ!!,27
0001ec69,frame,79,445,773,1011,,,,27
0001ec6a,face,888,4,979,94,0001e7cd,早乙女乙女,,27
0001ec6b,frame,0,0,376,196,,,,27
0001ec6c,text,275,315,305,362,,,ピッ,27
0001ec6d,text,1049,755,1096,879,,,よし!!,27
0001ec6e,text,665,600,691,719,,,・・・・・・・・・,27
0001ec6f,body,209,445,711,1011,0001e750,聖愛,,27
0001ec70,face,335,1078,603,1168,0001e7f7,峰岸英太郎,,27
0001ec71,text,435,191,486,326,,,本気で言ってるのかっ!?,27
0001ec72,face,1094,900,1479,1167,0001e7f7,峰岸英太郎,,27
0001ec73,frame,1246,85,1565,320,,,,27
0001ec74,text,717,36,776,167,,,不時着だと～～～～!?,27
0001ec75,frame,3,174,390,416,,,,27
0001ec76,face,572,751,685,859,0001e769,Other,,27
0001ec77,body,288,1044,619,1169,0001e7f7,峰岸英太郎,,27
0001ec78,body,1038,740,1585,1169,0001e7f7,峰岸英太郎,,27
0001ec79,text,271,26,351,163,,,１９９２年パンゲア航空機が燃料澗れで海上に不時着した!!,27
0001ec7a,face,566,73,639,138,0001e750,聖愛,,27
0001ec7b,face,274,617,595,877,0001e750,聖愛,,27
0001ec7c,text,1260,314,1276,411,,,・・・・・・・・・,27
0001ec7d,text,1487,353,1549,474,,,電話代・・・・・・ちゃんと払ってくださいな・・・,27
0001ec7e,frame,873,0,1220,486,,,,27
0001ec7f,text,1518,78,1582,211,,,・・・・なら共和国領海域に不時着なさい!!,27
0001ec80,text,1526,784,1606,995,,,バンバンつながります,27
0001ec81,frame,384,0,774,419,,,,27
0001ec82,body,525,29,694,414,0001e750,聖愛,,27
0001ec83,text,901,1020,926,1097,,,ふ・・・,27
0001ec84,body,874,1,990,99,0001e7cd,早乙女乙女,,27
0001ec85,face,995,78,1115,186,0001e7f7,峰岸英太郎,,27
0001ec86,text,937,640,982,685,,,・・・・・・・・・・・,27
